political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,party code,early_votes,election_votes
Republican Party,3/1/2022,Republican Primary,4,2,1 8 12,5120,"United States Representative, District No. 21",Dana Zavorka,,44,44
Republican Party,3/1/2022,Republican Primary,4,2,1 8 12,5120,"United States Representative, District No. 21",Chip Roy,,760,653
Republican Party,3/1/2022,Republican Primary,4,2,1 8 12,5120,"United States Representative, District No. 21",Robert Lowry,,38,38
Republican Party,3/1/2022,Republican Primary,4,2,1 8 12,5120,"United States Representative, District No. 21",Michael Alexander French,,25,16
Republican Party,3/1/2022,Republican Primary,4,2,1 8 12,5120,Governor,Rick Perry,,46,36
Republican Party,3/1/2022,Republican Primary,4,2,1 8 12,5120,Governor,Allen B. West,,154,204
Republican Party,3/1/2022,Republican Primary,4,2,1 8 12,5120,Governor,Kandy Kaye Horn,,11,9
Republican Party,3/1/2022,Republican Primary,4,2,1 8 12,5120,Governor,Paul Belew,,2,3
Republican Party,3/1/2022,Republican Primary,4,2,1 8 12,5120,Governor,Danny Harrison,,5,8
Republican Party,3/1/2022,Republican Primary,4,2,1 8 12,5120,Governor,Don Huffines,,76,78
Republican Party,3/1/2022,Republican Primary,4,2,1 8 12,5120,Governor,Chad Prather,,37,26
Republican Party,3/1/2022,Republican Primary,4,2,1 8 12,5120,Governor,Greg Abbott,,574,425
Republican Party,3/1/2022,Republican Primary,4,2,1 8 12,5120,Lieutenant Governor,Aaron Sorrells,,37,57
Republican Party,3/1/2022,Republican Primary,4,2,1 8 12,5120,Lieutenant Governor,Todd M. Bullis,,22,14
Republican Party,3/1/2022,Republican Primary,4,2,1 8 12,5120,Lieutenant Governor,Trayce Bradford,,42,70
Republican Party,3/1/2022,Republican Primary,4,2,1 8 12,5120,Lieutenant Governor,Dan Patrick,,642,507
Republican Party,3/1/2022,Republican Primary,4,2,1 8 12,5120,Lieutenant Governor,Zach Vance,,26,17
Republican Party,3/1/2022,Republican Primary,4,2,1 8 12,5120,Lieutenant Governor,Daniel Miller,,81,63
Republican Party,3/1/2022,Republican Primary,4,2,1 8 12,5120,Attorney General,George P. Bush,,223,170
Republican Party,3/1/2022,Republican Primary,4,2,1 8 12,5120,Attorney General,Louie Gohmert,,161,208
Republican Party,3/1/2022,Republican Primary,4,2,1 8 12,5120,Attorney General,Eva Guzman,,161,124
Republican Party,3/1/2022,Republican Primary,4,2,1 8 12,5120,Attorney General,Ken Paxton,,349,265
Republican Party,3/1/2022,Republican Primary,4,2,1 8 12,5120,Comptroller of Public Accounts,Glenn Hegar,,688,556
Republican Party,3/1/2022,Republican Primary,4,2,1 8 12,5120,Comptroller of Public Accounts,Mark V. Goloby,,84,100
Republican Party,3/1/2022,Republican Primary,4,2,1 8 12,5120,Commissioner of the General Land Office,Rufus Lopez,,19,11
