000000000040000000000400000000000000000PRECINCTS COUNTED - TOTAL                               PRECINCTS COUNTED - TOTAL                                      00 
00010010004000360400040003604          REGISTERED VOTERS - TOTAL                               REGISTERED VOTERS - TOTAL                                      00 
00020010004000000000040000000          REGISTERED VOTERS - Republican Party                    REGISTERED VOTERS - Republican Party                           00 
00030010004000000000040000000          REGISTERED VOTERS - Democratic Party                    REGISTERED VOTERS - Democratic Party                           00 
00040010004000360400040003604          REGISTERED VOTERS - NONPARTISAN                         REGISTERED VOTERS - NONPARTISAN                                00 
0005001000400008610004000000           BALLOTS CAST - TOTAL                                    BALLOTS CAST - TOTAL                                           00 
0006001000400008390004000000 REP       BALLOTS CAST - Republican Party                         BALLOTS CAST - Republican Party                                00 
0007001000400000220004000000 DEM       BALLOTS CAST - Democratic Party                         BALLOTS CAST - Democratic Party                                00 
0008001000400000000004000000 NON       BALLOTS CAST - NONPARTISAN                              BALLOTS CAST - NONPARTISAN                                     00 
0009001000400000000004000000           BALLOTS CAST - BLANK                                    BALLOTS CAST - BLANK                                           00 
0010001000400007670004000000 REP       REP US Representative, District 13                      Ronny Jackson                                                  01 
0011001000400000430004000000 REP       REP Governor                                            Don Huffines                                                   01 
0011002000400006230004000000 REP       REP Governor                                            Greg Abbott                                                    01 
0011003000400000060004000000 REP       REP Governor                                            Kandy Kaye Horn                                                01 
0011004000400000470004000000 REP       REP Governor                                            Allen B. West                                                  01 
0011005000400000620004000000 REP       REP Governor                                            Chad Prather                                                   01 
0011006000400000000004000000 REP       REP Governor                                            Danny Harrison                                                 01 
0011007000400000020004000000 REP       REP Governor                                            Paul Belew                                                     01 
0011008000400000420004000000 REP       REP Governor                                            Rick Perry                                                     01 
0012001000400000830004000000 REP       REP Lieutenant Governor                                 Trayce Bradford                                                01 
0012002000400000530004000000 REP       REP Lieutenant Governor                                 Daniel Miller                                                  01 
0012003000400000190004000000 REP       REP Lieutenant Governor                                 Aaron Sorrells                                                 01 
0012004000400000080004000000 REP       REP Lieutenant Governor                                 Zach Vance                                                     01 
0012005000400000080004000000 REP       REP Lieutenant Governor                                 Todd M. Bullis                                                 01 
0012006000400005720004000000 REP       REP Lieutenant Governor                                 Dan Patrick                                                    01 
0013001000400001760004000000 REP       REP Attorney General                                    Eva Guzman                                                     01 
0013002000400004090004000000 REP       REP Attorney General                                    Ken Paxton                                                     01 
0013003000400001610004000000 REP       REP Attorney General                                    George P. Bush                                                 01 
0013004000400000570004000000 REP       REP Attorney General                                    Louie Gohmert                                                  01 
0014001000400006320004000000 REP       REP Comptroller of Public Accounts                      Glenn Hegar                                                    01 
0014002000400000630004000000 REP       REP Comptroller of Public Accounts                      Mark V. Goloby                                                 01 
0015001000400002360004000000 REP       REP Comm General Land Office                            Dawn Buckingham                                                01 
0015002000400000820004000000 REP       REP Comm General Land Office                            Don W. Minton                                                  01 
0015003000400000290004000000 REP       REP Comm General Land Office                            Weston Martinez                                                01 
0015004000400000920004000000 REP       REP Comm General Land Office                            Jon Spiers                                                     01 
0015005000400000210004000000 REP       REP Comm General Land Office                            Victor Avila                                                   01 
0015006000400000040004000000 REP       REP Comm General Land Office                            Ben Armenta                                                    01 
0015007000400000140004000000 REP       REP Comm General Land Office                            Rufus Lopez                                                    01 
0015008000400001410004000000 REP       REP Comm General Land Office                            Tim Westley                                                    01 
0016001000400000910004000000 REP       REP Commissioner of Agriculture                         Carey A. Counsil                                               01 
0016002000400002380004000000 REP       REP Commissioner of Agriculture                         James White                                                    01 
0016003000400003850004000000 REP       REP Commissioner of Agriculture                         Sid Miller                                                     01 
0017001000400003130004000000 REP       REP Railroad Commissioner                               Wayne Christian                                                01 
0017002000400000990004000000 REP       REP Railroad Commissioner                               Dawayne Tipton                                                 01 
0017003000400000780004000000 REP       REP Railroad Commissioner                               Marvin "Sarge" Summers                                         01 
0017004000400000740004000000 REP       REP Railroad Commissioner                               Sarah Stogner                                                  01 
0017005000400000770004000000 REP       REP Railroad Commissioner                               Tom Slocum Jr                                                  01 
0018001000400007050004000000 REP       REP Justice, Supreme Court, Pl 3                        Debra Lehrmann                                                 01 
0019001000400007050004000000 REP       REP Justice, Supreme Court, Pl 5                        Rebeca Huddle                                                  01 
0020001000400003440004000000 REP       REP Justice, Supreme Court, Pl 9                        David J. Schenck                                               01 
0020002000400003090004000000 REP       REP Justice, Supreme Court, Pl 9                        Evan Young                                                     01 
0021001000400006950004000000 REP       REP Judge, Ct of Crim App, Pl 2                         Mary Lou Keel                                                  01 
0022001000400003330004000000 REP       REP Judge, Ct of Crim App, Pl 5                         Clint Morgan                                                   01 
0022002000400003210004000000 REP       REP Judge, Ct of Crim App, Pl 5                         Scott Walker                                                   01 
0023001000400006910004000000 REP       REP Judge, Ct of Crim App, Pl 6                         Jesse F. McClure, III                                          01 
0024001000400003970004000000 REP       REP Member, State BoE, Dist 15                          Aaron Kinsey                                                   01 
0024002000400002630004000000 REP       REP Member, State BoE, Dist 15                          Jay Johnson                                                    01 
0025001000400007560004000000 REP       REP State Senator, Dist 28                              Charles Perry                                                  01 
0026001000400005440004000000 REP       REP State Representative, Dist 88                       Ken King                                                       01 
0026002000400002230004000000 REP       REP State Representative, Dist 88                       Ted Hutto                                                      01 
0027001000400006970004000000 REP       REP Justice, 7th Ct of App Dist, Pl 4                   Larry Doss                                                     01 
