00000000013000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001300000000000000000PRECINCTS COUNTED - TOTAL                               PRECINCTS COUNTED - TOTAL                                      00 
0001001001300359550000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000130035955          REGISTERED VOTERS - TOTAL                               REGISTERED VOTERS - TOTAL                                      00 
0002001001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000130000000          REGISTERED VOTERS - Republican Party                    REGISTERED VOTERS - Republican Party                           00 
0003001001300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000130000000          REGISTERED VOTERS - Democratic Party                    REGISTERED VOTERS - Democratic Party                           00 
0004001001300359550000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000130035955          REGISTERED VOTERS - NONPARTISAN                         REGISTERED VOTERS - NONPARTISAN                                00 
000500100130008869000050500037200004644000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           BALLOTS CAST - TOTAL                                    BALLOTS CAST - TOTAL                                           00 
000600100130007577000025500032040004118000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       BALLOTS CAST - Republican Party                         BALLOTS CAST - Republican Party                                00 
000700100130001292000025000005160000526000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 DEM       BALLOTS CAST - Democratic Party                         BALLOTS CAST - Democratic Party                                00 
000800100130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 NON       BALLOTS CAST - NONPARTISAN                              BALLOTS CAST - NONPARTISAN                                     00 
000900100130000001000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           BALLOTS CAST - BLANK                                    BALLOTS CAST - BLANK                                           00 
001000100130000107000000100000500000056000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP US Rep, District 15                                 Aizar Cavazos                                                  01 
001000200130000077000000200000370000038000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP US Rep, District 15                                 Vangela Churchill                                              01 
001000300130000324000000600001360000182000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP US Rep, District 15                                 Steve Schmuker Jr                                              01 
001000400130000071000000100000370000033000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP US Rep, District 15                                 Angela Juarez                                                  01 
001000500130000993000006600004780000449000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP US Rep, District 15                                 Mauro Garza                                                    01 
001000600130002618000006300010720001483000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP US Rep, District 15                                 Monica De La Cruz                                              01 
001000700130001953000008600008970000970000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP US Rep, District 15                                 Sara Canady                                                    01 
001000800130000750000001700002610000472000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP US Rep, District 15                                 Ryan Krause                                                    01 
001000900130000121000000400000460000071000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP US Rep, District 15                                 John C. Lerma                                                  01 
001001000130000003000000000000020000001000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP US Rep, District 15                                 OVER VOTES                                                     01 
001001100130000560000000900001880000363000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP US Rep, District 15                                 UNDER VOTES                                                    01 
001100100130000326000000200001100000214000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Governor                                            Chad Prather                                                   01 
001100200130000594000001900002500000325000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Governor                                            Don Huffines                                                   01 
001100300130000030000000000000130000017000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Governor                                            Danny Harrison                                                 01 
001100400130000013000000200000070000004000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Governor                                            Paul Belew                                                     01 
001100500130000784000001600003630000405000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Governor                                            Allen B. West                                                  01 
001100600130000082000000000000430000039000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Governor                                            Kandy Kaye Horn                                                01 
001100700130000238000000900000990000130000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Governor                                            Rick Perry                                                     01 
001100800130005371000020000022660002905000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Governor                                            Greg Abbott                                                    01 
001100900130000002000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Governor                                            OVER VOTES                                                     01 
001101000130000137000000700000530000077000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Governor                                            UNDER VOTES                                                    01 
001200100130000251000000900000910000151000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Lieutenant Governor                                 Todd M. Bullis                                                 01 
001200200130000363000000800001780000177000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Lieutenant Governor                                 Trayce Bradford                                                01 
001200300130000202000000600000920000104000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Lieutenant Governor                                 Aaron Sorrells                                                 01 
001200400130000148000000800000530000087000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Lieutenant Governor                                 Zach Vance                                                     01 
001200500130005631000020000024270003004000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Lieutenant Governor                                 Dan Patrick                                                    01 
001200600130000489000000900001940000286000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Lieutenant Governor                                 Daniel Miller                                                  01 
001200700130000001000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Lieutenant Governor                                 OVER VOTES                                                     01 
