"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,30 ,"R- US Senator" ,10 ,"David Dewhurst" ,"NP" ,"Election Day" ,101 ,
"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,30 ,"R- US Senator" ,10 ,"David Dewhurst" ,"NP" ,"Early Voting" ,96 ,
"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,30 ,"R- US Senator" ,10 ,"David Dewhurst" ,"NP" ,"EV Mail" ,14 ,
"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,30 ,"R- US Senator" ,10 ,"David Dewhurst" ,"NP" ,"Provisional" ,0 ,
"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,30 ,"R- US Senator" ,10 ,"David Dewhurst" ,"NP" ,"Total" ,211 ,
"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,30 ,"R- US Senator" ,20 ,"Ted Cruz" ,"NP" ,"Election Day" ,207 ,
"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,30 ,"R- US Senator" ,20 ,"Ted Cruz" ,"NP" ,"Early Voting" ,186 ,
"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,30 ,"R- US Senator" ,20 ,"Ted Cruz" ,"NP" ,"EV Mail" ,7 ,
"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,30 ,"R- US Senator" ,20 ,"Ted Cruz" ,"NP" ,"Provisional" ,0 ,
"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,30 ,"R- US Senator" ,20 ,"Ted Cruz" ,"NP" ,"Total" ,400 ,
"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,40 ,"D- US Senator" ,10 ,"Grady Yarbrough" ,"NP" ,"Election Day" ,12 ,
"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,40 ,"D- US Senator" ,10 ,"Grady Yarbrough" ,"NP" ,"Early Voting" ,5 ,
"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,40 ,"D- US Senator" ,10 ,"Grady Yarbrough" ,"NP" ,"EV Mail" ,1 ,
"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,40 ,"D- US Senator" ,10 ,"Grady Yarbrough" ,"NP" ,"Provisional" ,0 ,
"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,40 ,"D- US Senator" ,10 ,"Grady Yarbrough" ,"NP" ,"Total" ,18 ,
"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,40 ,"D- US Senator" ,20 ,"Paul Sadler" ,"NP" ,"Election Day" ,24 ,
"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,40 ,"D- US Senator" ,20 ,"Paul Sadler" ,"NP" ,"Early Voting" ,16 ,
"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,40 ,"D- US Senator" ,20 ,"Paul Sadler" ,"NP" ,"EV Mail" ,2 ,
"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,40 ,"D- US Senator" ,20 ,"Paul Sadler" ,"NP" ,"Provisional" ,0 ,
"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,40 ,"D- US Senator" ,20 ,"Paul Sadler" ,"NP" ,"Total" ,42 ,
"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,90 ,"R- Railroad Comm" ,10 ,"Warren Chisum" ,"NP" ,"Election Day" ,105 ,
"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,90 ,"R- Railroad Comm" ,10 ,"Warren Chisum" ,"NP" ,"Early Voting" ,92 ,
"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,90 ,"R- Railroad Comm" ,10 ,"Warren Chisum" ,"NP" ,"EV Mail" ,7 ,
"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,90 ,"R- Railroad Comm" ,10 ,"Warren Chisum" ,"NP" ,"Provisional" ,0 ,
"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,90 ,"R- Railroad Comm" ,10 ,"Warren Chisum" ,"NP" ,"Total" ,204 ,
"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,90 ,"R- Railroad Comm" ,20 ,"Christi Craddick" ,"NP" ,"Election Day" ,167 ,
"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,90 ,"R- Railroad Comm" ,20 ,"Christi Craddick" ,"NP" ,"Early Voting" ,181 ,
"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,90 ,"R- Railroad Comm" ,20 ,"Christi Craddick" ,"NP" ,"EV Mail" ,13 ,
"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,90 ,"R- Railroad Comm" ,20 ,"Christi Craddick" ,"NP" ,"Provisional" ,0 ,
"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,90 ,"R- Railroad Comm" ,20 ,"Christi Craddick" ,"NP" ,"Total" ,361 ,
"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,110 ,"R- Railroad Comm-Unexp" ,10 ,"Barry Smitherman" ,"NP" ,"Election Day" ,161 ,
"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,110 ,"R- Railroad Comm-Unexp" ,10 ,"Barry Smitherman" ,"NP" ,"Early Voting" ,176 ,
"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,110 ,"R- Railroad Comm-Unexp" ,10 ,"Barry Smitherman" ,"NP" ,"EV Mail" ,7 ,
"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,110 ,"R- Railroad Comm-Unexp" ,10 ,"Barry Smitherman" ,"NP" ,"Provisional" ,0 ,
"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,110 ,"R- Railroad Comm-Unexp" ,10 ,"Barry Smitherman" ,"NP" ,"Total" ,344 ,
"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,110 ,"R- Railroad Comm-Unexp" ,20 ,"Greg Parker" ,"NP" ,"Election Day" ,106 ,
"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,110 ,"R- Railroad Comm-Unexp" ,20 ,"Greg Parker" ,"NP" ,"Early Voting" ,92 ,
"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,110 ,"R- Railroad Comm-Unexp" ,20 ,"Greg Parker" ,"NP" ,"EV Mail" ,12 ,
"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,110 ,"R- Railroad Comm-Unexp" ,20 ,"Greg Parker" ,"NP" ,"Provisional" ,0 ,
"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,110 ,"R- Railroad Comm-Unexp" ,20 ,"Greg Parker" ,"NP" ,"Total" ,210 ,
"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,150 ,"R- Justice Supreme Court 4" ,10 ,"David Medina" ,"NP" ,"Election Day" ,112 ,
"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,150 ,"R- Justice Supreme Court 4" ,10 ,"David Medina" ,"NP" ,"Early Voting" ,106 ,
"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,150 ,"R- Justice Supreme Court 4" ,10 ,"David Medina" ,"NP" ,"EV Mail" ,5 ,
"Code 1 - Boxes 101, 102, 103, 104, 206, 207" ,150 ,"R- Justice Supreme Court 4" ,10 ,"David Medina" ,"NP" ,"Provisional" ,0 ,
