"PCT 41" ,230 ,"Proposition - Wylie ISD" ,10 ,"For" ,"NP" ,"Polling" ,3 ,
"PCT 41" ,230 ,"Proposition - Wylie ISD" ,10 ,"For" ,"NP" ,"Paper" ,0 ,
"PCT 41" ,230 ,"Proposition - Wylie ISD" ,10 ,"For" ,"NP" ,"Early" ,21 ,
"PCT 41" ,230 ,"Proposition - Wylie ISD" ,10 ,"For" ,"NP" ,"Mail" ,0 ,
"PCT 41" ,230 ,"Proposition - Wylie ISD" ,10 ,"For" ,"NP" ,"Total" ,24 ,
"PCT 41" ,230 ,"Proposition - Wylie ISD" ,20 ,"Against" ,"NP" ,"Polling" ,3 ,
"PCT 41" ,230 ,"Proposition - Wylie ISD" ,20 ,"Against" ,"NP" ,"Paper" ,0 ,
"PCT 41" ,230 ,"Proposition - Wylie ISD" ,20 ,"Against" ,"NP" ,"Early" ,4 ,
"PCT 41" ,230 ,"Proposition - Wylie ISD" ,20 ,"Against" ,"NP" ,"Mail" ,0 ,
"PCT 41" ,230 ,"Proposition - Wylie ISD" ,20 ,"Against" ,"NP" ,"Total" ,7 ,
"PCT 27" ,230 ,"Proposition - Wylie ISD" ,10 ,"For" ,"NP" ,"Polling" ,16 ,
"PCT 27" ,230 ,"Proposition - Wylie ISD" ,10 ,"For" ,"NP" ,"Paper" ,0 ,
"PCT 27" ,230 ,"Proposition - Wylie ISD" ,10 ,"For" ,"NP" ,"Early" ,37 ,
"PCT 27" ,230 ,"Proposition - Wylie ISD" ,10 ,"For" ,"NP" ,"Mail" ,0 ,
"PCT 27" ,230 ,"Proposition - Wylie ISD" ,10 ,"For" ,"NP" ,"Total" ,53 ,
"PCT 27" ,230 ,"Proposition - Wylie ISD" ,20 ,"Against" ,"NP" ,"Polling" ,7 ,
"PCT 27" ,230 ,"Proposition - Wylie ISD" ,20 ,"Against" ,"NP" ,"Paper" ,0 ,
"PCT 27" ,230 ,"Proposition - Wylie ISD" ,20 ,"Against" ,"NP" ,"Early" ,14 ,
"PCT 27" ,230 ,"Proposition - Wylie ISD" ,20 ,"Against" ,"NP" ,"Mail" ,2 ,
"PCT 27" ,230 ,"Proposition - Wylie ISD" ,20 ,"Against" ,"NP" ,"Total" ,23 ,
"PCT 33" ,230 ,"Proposition - Wylie ISD" ,10 ,"For" ,"NP" ,"Polling" ,7 ,
"PCT 33" ,230 ,"Proposition - Wylie ISD" ,10 ,"For" ,"NP" ,"Paper" ,0 ,
"PCT 33" ,230 ,"Proposition - Wylie ISD" ,10 ,"For" ,"NP" ,"Early" ,8 ,
"PCT 33" ,230 ,"Proposition - Wylie ISD" ,10 ,"For" ,"NP" ,"Mail" ,0 ,
"PCT 33" ,230 ,"Proposition - Wylie ISD" ,10 ,"For" ,"NP" ,"Total" ,15 ,
"PCT 33" ,230 ,"Proposition - Wylie ISD" ,20 ,"Against" ,"NP" ,"Polling" ,4 ,
"PCT 33" ,230 ,"Proposition - Wylie ISD" ,20 ,"Against" ,"NP" ,"Paper" ,0 ,
"PCT 33" ,230 ,"Proposition - Wylie ISD" ,20 ,"Against" ,"NP" ,"Early" ,1 ,
"PCT 33" ,230 ,"Proposition - Wylie ISD" ,20 ,"Against" ,"NP" ,"Mail" ,0 ,
"PCT 33" ,230 ,"Proposition - Wylie ISD" ,20 ,"Against" ,"NP" ,"Total" ,5 ,
"PCT 56" ,230 ,"Proposition - Wylie ISD" ,10 ,"For" ,"NP" ,"Polling" ,73 ,
"PCT 56" ,230 ,"Proposition - Wylie ISD" ,10 ,"For" ,"NP" ,"Paper" ,0 ,
"PCT 56" ,230 ,"Proposition - Wylie ISD" ,10 ,"For" ,"NP" ,"Early" ,87 ,
"PCT 56" ,230 ,"Proposition - Wylie ISD" ,10 ,"For" ,"NP" ,"Mail" ,0 ,
"PCT 56" ,230 ,"Proposition - Wylie ISD" ,10 ,"For" ,"NP" ,"Total" ,160 ,
"PCT 56" ,230 ,"Proposition - Wylie ISD" ,20 ,"Against" ,"NP" ,"Polling" ,25 ,
"PCT 56" ,230 ,"Proposition - Wylie ISD" ,20 ,"Against" ,"NP" ,"Paper" ,0 ,
"PCT 56" ,230 ,"Proposition - Wylie ISD" ,20 ,"Against" ,"NP" ,"Early" ,27 ,
"PCT 56" ,230 ,"Proposition - Wylie ISD" ,20 ,"Against" ,"NP" ,"Mail" ,2 ,
"PCT 56" ,230 ,"Proposition - Wylie ISD" ,20 ,"Against" ,"NP" ,"Total" ,54 ,
"PCT 83" ,230 ,"Proposition - Wylie ISD" ,10 ,"For" ,"NP" ,"Polling" ,58 ,
"PCT 83" ,230 ,"Proposition - Wylie ISD" ,10 ,"For" ,"NP" ,"Paper" ,0 ,
"PCT 83" ,230 ,"Proposition - Wylie ISD" ,10 ,"For" ,"NP" ,"Early" ,85 ,
