id,Political,Election,Election,Total,Total Prvsnls,precinct_number,reg_voters,race_name,candidate_name,party_code,early_votes,election_votes
1,Anderson,11/3/20,General Election,13,7,1,1835,President,Donald J. Trump / Mike Pence,Rep,679,112
2,Anderson,,General Election,,,1,,President,Joseph R. Biden / Kamala D. Harris,Dem,308,49
3,Anderson,,General Election,,,1,,President,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Lib,11,2
4,Anderson,,General Election,,,1,,President,Howie Hawkins / Angela Walker,Grn,0,1
6,Anderson,,General Election,,,1,,President,President R. Boddie/Eric C. Stoneham,,0,0
7,Anderson,,General Election,,,1,,President,Brian Carroll/Amar Patel,,2,0
8,Anderson,,General Election,,,1,,President,Todd Cella/Tim Cella,,0,0
9,Anderson,,General Election,,,1,,President,Jesse Cuellar/Jimmy Monreal,,0,0
10,Anderson,,General Election,,,1,,President,Tom Hoefling/Andy Prior,,0,0
11,Anderson,,General Election,,,1,,President,Gloria La Riva/Leonard Peltier,,0,0
12,Anderson,,General Election,,,1,,President,Abram Loeb/Jennifer Jairala,,0,0
13,Anderson,,General Election,,,1,,President,Robert Morrow/Anne Beckett,,0,0
14,Anderson,,General Election,,,1,,President,Kasey Wells/Rachel Wells,,0,0
16,Anderson,,General Election,,,1,,United States Senator,John Coryn,Rep,682,105
17,Anderson,,General Election,,,1,,United States Senator,"Mary ""MJ"" Hegar",Dem,290,44
18,Anderson,,General Election,,,1,,United States Senator,Kerry Douglas Mckennon,Lib,21,3
19,Anderson,,General Election,,,1,,United States Senator,David B. Collins,Grn,5,3
21,Anderson,,General Election,,,1,,United States Senator,Ricardo Turullols-Bonilla,,,
23,Anderson,,General Election,,,1,,U.S.Rep Dist 5,Lance Gooden,Rep,676,111
24,Anderson,,General Election,,,1,,U.S.Rep Dist 5,Carolyn Salter,Dem,303,41
25,Anderson,,General Election,,,1,,U.S.Rep Dist 5,Kevin A. Hale,Lib,19,5
27,Anderson,,General Election,,,1,,Railroad Commissioner,"James ""Jim"" Wright",Rep,681,107
28,Anderson,,General Election,,,1,,Railroad Commissioner,Chrysta Castaneda,Dem,282,42
29,Anderson,,General Election,,,1,,Railroad Commissioner,Matt Sterett,Lib,22,6
30,Anderson,,General Election,,,1,,Railroad Commissioner,"Katija ""Kat"" Gruene",Grn,6,0
32,Anderson,,General Election,,,1,,"Chief Justice, Supreme Court",Nathan Hecht,Rep,672,106
33,Anderson,,General Election,,,1,,"Chief Justice, Supreme Court",Amy Clark Meachum,Dem,289,44
34,Anderson,,General Election,,,1,,"Chief Justice, Supreme Court",Mark Ash,Lib,22,6
36,Anderson,,General Election,,,1,,"Justice, Supreme Court",Jane Bland,Rep,698,113
37,Anderson,,General Election,,,1,,Place 6,Kathy Cheng,Dem,278,42
39,Anderson,,General Election,,,1,,"Justice, Supreme Court",Jeff Boyd,Rep,678,106
40,Anderson,,General Election,,,1,,Place 7,Staci Williams,Dem,283,41
41,Anderson,,General Election,,,1,,Place 7,William Bryan Strange III,Lib,22,7
43,Anderson,,General Election,,,1,,"Justice, Supreme Court",Brett Busby,Rep,674,105
44,Anderson,,General Election,,,1,,Place 8,Gisela D. Triana,Dem,279,40
45,Anderson,,General Election,,,1,,Place 8,Tom Oxford,Lib,31,10
47,Anderson,,General Election,,,1,,"Judge, Court of Criminal Appeals, Pl 3",Bert Richardson,Rep,686,109
48,Anderson,,General Election,,,1,, ,Elizabeth Davis Frizell,Dem,293,45
50,Anderson,,General Election,,,1,,"Judge, Court of Criminal Appeals, Pl 4",Kevin Patrick Yeary,Rep,699,112
51,Anderson,,General Election,,,1,, ,Tina Clinton,Dem,276,43
53,Anderson,,General Election,,,1,,"Judge, Court of Criminal Appleals,Pl 9",David Newell,Rep,687,118
54,Anderson,,General Election,,,1,,"Judge, Court of Criminal Appleals,Pl 9",Brandon Birmingham,Dem,285,37
56,Anderson,,General Election,,,1,,"State Board of Education, District 9",Kevin M. Ellis,Rep,687,113
57,Anderson,,General Election,,,1,,"State Board of Education, District 9",Brenda Davis,Dem,295,42
59,Anderson,,General Election,,,1,,"State Rep, District 8",Cody Harris,Rep,766,124
60,Anderson,,General Election,,,1,,"State Rep, District 8",R. Edwin Adams,Lib,170,33
62,Anderson,,General Election,,,1,,"Chief Justice,12 Crt of App District",Jim Worthen,Rep,836,130
64,Anderson,,General Election,,,1,,"District Judge, 3rd Judicial District",Mark A. Calhoon,Rep,835,129
66,Anderson,,General Election,,,1,,"District Judge, 349th Judicial District",Pam Foster Fletcher,Rep,837,133
68,Anderson,,General Election,,,1,,Sheriff,Rudy Flores,Rep,866,139
70,Anderson,,General Election,,,1,,Tax Assessor Collector,Margie H. Grissom,Rep,826,133
72,Anderson,,General Election,,,1,,Commissioner Pct 1,Greg Chapin,Rep,818,133
74,Anderson,,General Election,,,1,,Constable Pct 1,David Franklin,Rep,831,133
76,Anderson,11/3/20,General Election,14,10,2,2645,President,Donald J. Trump / Mike Pence,Rep,1104,444
77,Anderson,,General Election,,,2,,President,Joseph R. Biden / Kamala D. Harris,Dem,170,35
