political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,party code,early_votes,election_votes,Absentee Voting Votes,Early Voting Votes
Zapata County Courthouse,11/3/2020,General Election,7,7,1,1817,President and Vice President,"Donald J. Trump
Michael R. Pence",REP,287,173,25,262
Zapata County Courthouse,11/3/2020,General Election,7,7,1,1817,President and Vice President,"Joseph R. Biden
Kamala D. Harris",DEM,332,105,41,291
Zapata County Courthouse,11/3/2020,General Election,7,7,1,1817,President and Vice President,"Jo Jorgensen
Jeremy ""Spike"" Cohen",LIB,2,0,1,1
Zapata County Courthouse,11/3/2020,General Election,7,7,1,1817,President and Vice President,"Howie Hawkins
Angela Walker",GRN,0,1,0,0
Zapata County Courthouse,11/3/2020,General Election,7,7,1,1817,President and Vice President,Rejected write-ins,,0,0,0,0
Zapata County Courthouse,11/3/2020,General Election,7,7,1,1817,President and Vice President,Unassigned write-ins,,2,2,0,2
Zapata County Courthouse,11/3/2020,General Election,7,7,1,1817,United States Senator,John Cornyn,REP,234,99,21,213
Zapata County Courthouse,11/3/2020,General Election,7,7,1,1817,United States Senator,"Mary ""MJ"" Hegar",DEM,319,116,35,284
Zapata County Courthouse,11/3/2020,General Election,7,7,1,1817,United States Senator,Kerry Douglas McKennon,LIB,3,9,0,3
Zapata County Courthouse,11/3/2020,General Election,7,7,1,1817,United States Senator,David B. Collins,GRN,5,6,0,5
Zapata County Courthouse,11/3/2020,General Election,7,7,1,1817,United States Senator,Rejected write-ins,,0,0,0,0
Zapata County Courthouse,11/3/2020,General Election,7,7,1,1817,United States Senator,Unassigned write-ins,,0,1,0,0
Zapata County Courthouse,11/3/2020,General Election,7,7,1,1817,"United States Representative, District No. 28",Sandra Whitten,REP,175,81,12,163
Zapata County Courthouse,11/3/2020,General Election,7,7,1,1817,"United States Representative, District No. 28",Henry Cuellar,DEM,414,176,50,364
Zapata County Courthouse,11/3/2020,General Election,7,7,1,1817,"United States Representative, District No. 28",Bekah Congdon,LIB,5,3,0,5
Zapata County Courthouse,11/3/2020,General Election,7,7,1,1817,Railroad Commissioner,"James ""Jim"" Wright",REP,200,100,14,186
Zapata County Courthouse,11/3/2020,General Election,7,7,1,1817,Railroad Commissioner,Chrysta Castañeda,DEM,341,114,39,302
Zapata County Courthouse,11/3/2020,General Election,7,7,1,1817,Railroad Commissioner,Matt Sterett,LIB,9,7,0,9
Zapata County Courthouse,11/3/2020,General Election,7,7,1,1817,Railroad Commissioner,"Katija ""Kat: Gruene",GRN,6,4,1,5
Zapata County Courthouse,11/3/2020,General Election,7,7,1,1817,"Chief Justice, Supreme Court",Nathan Hecht,REP,205,91,15,190
Zapata County Courthouse,11/3/2020,General Election,7,7,1,1817,"Chief Justice, Supreme Court",Amy Clark Meachum,DEM,335,125,38,297
Zapata County Courthouse,11/3/2020,General Election,7,7,1,1817,"Chief Justice, Supreme Court",Mark Ash,LIB,14,8,1,13
Zapata County Courthouse,11/3/2020,General Election,7,7,1,1817,"Justice, Supreme Court, Place No. 6
Unexpired Term",Jane Bland,REP,226,105,18,208
Zapata County Courthouse,11/3/2020,General Election,7,7,1,1817,"Justice, Supreme Court, Place No. 6
Unexpired Term",Kathy Cheng,DEM,327,114,36,291
Zapata County Courthouse,11/3/2020,General Election,7,7,1,1817,"Justice, Supreme Court, Place No. 7",Jeff Boyd,REP,211,95,16,195
Zapata County Courthouse,11/3/2020,General Election,7,7,1,1817,"Justice, Supreme Court, Place No. 7",Staci Williams,DEM,327,119,37,290
Zapata County Courthouse,11/3/2020,General Election,7,7,1,1817,"Justice, Supreme Court, Place No. 7",William Bryan Strange III,LIB,9,6,0,9
Zapata County Courthouse,11/3/2020,General Election,7,7,1,1817,"Justice, Supreme Court, Place No. 8",Brett Busby,REP,203,84,18,185
Zapata County Courthouse,11/3/2020,General Election,7,7,1,1817,"Justice, Supreme Court, Place No. 8",Gisela D. Triana,DEM,334,127,36,298
Zapata County Courthouse,11/3/2020,General Election,7,7,1,1817,"Justice, Supreme Court, Place No. 8",Tom Oxford,LIB,9,9,0,9
