COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,President / Vice-President,President / Vice-President,President / Vice-President,President / Vice-President,US Senator,US Senator,US Senator,US Senator,"US Representative, Dist 19","US Representative, Dist 19","US Representative, Dist 19",Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,"Chief Justice, Supreme Court","Chief Justice, Supreme Court","Chief Justice, Supreme Court","Justice, Supreme Court, Pl 6","Justice, Supreme Court, Pl 6","Justice, Supreme Court, Pl 7","Justice, Supreme Court, Pl 7","Justice, Supreme Court, Pl 7","Justice, Supreme Court, Pl 8","Justice, Supreme Court, Pl 8","Justice, Supreme Court, Pl 8","Judge, Ct of Crim App, Pl 3","Judge, Ct of Crim App, Pl 3","Judge, Ct of Crim App, Pl 4","Judge, Ct of Crim App, Pl 4","Judge, Ct of Crim App, Pl 9","Judge, Ct of Crim App, Pl 9","Member, State BoE, Dist 15","Member, State BoE, Dist 15","State Senator, Dist 28","State Representative, Dist 68","State Representative, Dist 68","Justice, 11th Ct of App Dist, Pl 2","Justice, 11th Ct of App Dist, Pl 3","Dist Judge, 32nd Judicial Dist","Dist Attorney, 32nd Judicial Dist",
,,,,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,
,,,VOTERS,REP Donald J. Trump / Michael R. Pence,DEM Joseph R. Biden / Kamala D. Harris,"LIB Jo Jorgensen / Jeremy ""Spike"" Cohen",GRN Howie Hawkins / Angela Walker,REP John Cornyn,"DEM Mary ""MJ"" Hegar",LIB Kerry Douglas McKennon,GRN David B. Collins,REP Jodey C. Arrington,DEM Tom Watson,LIB Joe Burnes,"REP James ""Jim"" Wright",DEM Chrysta Castaneda,LIB Matt Sterett,"GRN Katija ""Kat"" Gruene",REP Nathan Hecht,DEM Amy Clark Meachum,LIB Mark Ash,REP Jane Bland,DEM Kathy Cheng,REP Jeff Boyd,DEM Staci Williams,LIB William Bryan Strange III,REP Brett Busby,DEM Gisela D. Triana,LIB Tom Oxford,REP Bert Richardson,DEM Elizabeth Davis Frizell,REP Kevin Patrick Yeary,DEM Tina Clinton,REP David Newell,DEM Brandon Birmingham,REP Jay Johnson,DEM John Betancourt,REP Charles Perry,REP Drew Springer,DEM Patsy Ledbetter,REP Bruce Williams,REP W. Stacy Trotter,REP Glen Harrison,REP Ricky Nolan Thompson,
FISHE,0001,Box 1,681,272,42,0,0,269,39,3,0,268,38,3,264,41,6,1,267,42,3,268,43,263,44,2,264,42,4,265,44,266,42,265,42,267,43,288,270,39,288,287,286,287,
FISHE,0001,Box 1,681,39,15,1,0,41,14,1,0,43,12,1,40,13,3,0,41,13,1,44,12,42,13,1,43,12,1,43,13,42,13,43,13,43,13,48,42,12,48,48,48,48,
FISHE,0001,Box 1,681,94,15,0,0,87,20,1,0,91,17,2,88,19,1,0,87,19,1,91,19,88,19,2,89,20,1,89,21,90,20,91,18,91,18,104,90,19,104,103,102,101,
FISHE,0001,Box 1,681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FISHE,0001,Box 1,681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FISHE,0001,Box 1,681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FISHE,0002,Box 4,733,285,47,5,1,282,50,4,0,289,47,3,283,46,5,0,275,53,5,285,48,278,46,8,280,46,6,282,50,281,50,277,54,280,55,306,287,48,306,305,300,306,
FISHE,0002,Box 4,733,16,25,0,0,14,24,2,0,17,24,0,17,24,0,0,15,26,0,17,24,15,25,0,16,23,0,15,24,15,24,15,24,16,23,19,16,21,18,18,21,19,
FISHE,0002,Box 4,733,119,18,2,1,113,17,5,2,119,13,5,113,17,2,1,112,19,4,116,19,111,19,3,114,17,2,114,19,115,19,115,19,115,18,133,116,20,131,132,135,131,
FISHE,0002,Box 4,733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FISHE,0002,Box 4,733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FISHE,0002,Box 4,733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FISHE,0003,Box 10,551,148,44,7,1,148,45,4,1,153,43,4,146,43,7,0,143,45,7,145,47,144,46,5,145,45,5,148,47,146,46,148,45,148,48,173,145,47,172,169,169,173,
FISHE,0003,Box 10,551,17,16,1,0,21,12,0,0,20,14,0,18,14,1,0,16,17,0,18,15,17,16,0,19,14,0,17,16,16,17,17,16,16,17,26,18,14,26,23,24,25,
FISHE,0003,Box 10,551,109,28,1,0,102,28,3,2,106,25,2,100,28,3,3,101,31,1,102,29,102,27,2,100,30,2,102,30,102,30,100,32,97,31,124,104,28,123,120,123,122,
FISHE,0003,Box 10,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FISHE,0003,Box 10,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FISHE,0003,Box 10,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FISHE,0004,Box 12,681,220,46,3,1,214,48,2,1,217,43,4,209,42,7,2,212,47,4,220,43,210,47,4,215,44,3,219,45,214,48,218,46,215,47,242,217,45,243,240,241,242,
FISHE,0004,Box 12,681,25,27,0,0,26,24,0,0,26,24,0,27,23,0,0,24,24,0,25,25,25,25,0,27,23,0,26,24,26,23,23,24,25,25,29,26,24,27,27,28,27,
FISHE,0004,Box 12,681,104,29,1,1,101,30,3,1,102,26,5,101,27,5,1,99,30,4,100,31,100,29,4,102,29,3,102,31,101,31,102,31,102,31,120,103,30,121,119,118,122,
FISHE,0004,Box 12,681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FISHE,0004,Box 12,681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FISHE,0004,Box 12,681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FISHE,ZZZ,COUNTY TOTALS,2646,1448,352,21,5,1418,351,28,7,1451,326,29,1406,337,40,8,1392,366,30,1431,355,1395,356,31,1414,345,27,1422,364,1414,363,1414,364,1415,369,1612,1434,347,1607,1591,1595,1603,
