Summary Results Report,,,,,,,,UNOFFICIAL RESULTS,
20201103_Crane County_General Election,,,,,,,,,
"November 3, 2020",,,,,,,,Crane County 2020,
Precinct 1,,,,,,,,,
STATISTICS,,,,,,,,,
,,TOTAL,,Election Day,,Early Voting,,,Absentee
Registered Voters - Total,,0,,,,,,,
Ballots Cast - Total,,469,,135,,314,,,20
Ballots Cast - Blank,,0,,0,,0,,,0
Voter Turnout - Total,,0.00%,,,,,,,
President / Vice-President,,,,,,,,,
Vote For 1,,,,,,,,,
,,,TOTAL,,Election Day,,Early Voting,,Absentee
REP Donald J. Trump / Michael R. Pence,,,405,,111,,279,,15
DEM Joseph R. Biden / Kamala D. Harris,,,54,,19,,31,,4
"LIB Jo Jorgensen / Jeremy ""Spike"" Cohen",,,4,,2,,2,,0
GRN Howie Hawkins / Angela Walker,,,2,,1,,1,,0
Write-In Totals,,,1,,0,,1,,0
,   Write-In: President R. Boddie/ Eric C. Stoneham,,0,,0,,0,,0
,   Write-In: Brian Carroll/ Amar Patel,,0,,0,,0,,0
,   Write-In: Todd Cella/ Tim Cella,,0,,0,,0,,0
,   Write-In: Jesse Cuellar/ Jimmy Monreal,,0,,0,,0,,0
,   Write-In: Tom Hoefling/ Andy Prior,,0,,0,,0,,0
,   Write-In: Gloria La Riva/ Leonard Peltier,,1,,0,,1,,0
,   Write-In: Abram Loeb/ Jennifer Jairala,,0,,0,,0,,0
,   Write-In: Robert Morrow/ Anne Beckett,,0,,0,,0,,0
,   Write-In: Kasey Wells/ Rachel Wells,,0,,0,,0,,0
,  Not Assigned,,0,,0,,0,,0
Summary Results Report,,,,,UNOFFICIAL RESULTS,
20201103_Crane County_General Election,,,,,,
"November 3, 2020",,,,,Crane County 2020,
Precinct 1,,,,,,
US Senator,,,,,,
Vote For 1,,,,,,
,,TOTAL,Election Day,Early Voting,,Absentee
REP John Cornyn,,400,110,275,,15
"DEM Mary ""MJ"" Hegar",,52,18,31,,3
LIB Kerry Douglas McKennon,,6,4,2,,0
GRN David B. Collins,,3,1,2,,0
Write-In Totals,,0,0,0,,0
,   Write-In: Ricardo Turullols-Bonilla,0,0,0,,0
,  Not Assigned,0,0,0,,0
"US Representative, Dist 23",,,,,,
Vote For 1,,,,,,
,,TOTAL,Election Day,Early Voting,,Absentee
REP Tony Gonzales,,395,111,271,,13
DEM Gina Ortiz Jones,,58,20,33,,5
LIB Beto Villela,,5,2,3,,0
Railroad Commissioner,,,,,,
Vote For 1,,,,,,
,,TOTAL,Election Day,Early Voting,,Absentee
"REP James ""Jim"" Wright",,391,113,263,,15
DEM Chrysta Castaneda,,53,17,33,,3
LIB Matt Sterett,,8,2,6,,0
"GRN Katija ""Kat"" Gruene",,1,0,1,,0
Summary Results Report,,,,UNOFFICIAL RESULTS,
20201103_Crane County_General Election,,,,,
"November 3, 2020",,,,Crane County 2020,
Precinct 1,,,,,
"Chief Justice, Supreme Court",,,,,
Vote For 1,,,,,
,TOTAL,Election Day,Early Voting,,Absentee
REP Nathan Hecht,390,112,264,,14
DEM Amy Clark Meachum,63,20,39,,4
LIB Mark Ash,7,1,6,,0
"Justice, Supreme Court, Pl 6",,,,,
Vote For 1,,,,,
,TOTAL,Election Day,Early Voting,,Absentee
REP Jane Bland,402,114,273,,15
DEM Kathy Cheng,55,19,33,,3
"Justice, Supreme Court, Pl 7",,,,,
Vote For 1,,,,,
,TOTAL,Election Day,Early Voting,,Absentee
REP Jeff Boyd,399,116,270,,13
DEM Staci Williams,54,16,33,,5
LIB William Bryan Strange III,6,1,5,,0
"Justice, Supreme Court, Pl 8",,,,,
Vote For 1,,,,,
,TOTAL,Election Day,Early Voting,,Absentee
REP Brett Busby,387,112,262,,13
DEM Gisela D. Triana,58,20,34,,4
LIB Tom Oxford,8,1,7,,0
Summary Results Report,,,,UNOFFICIAL RESULTS,
20201103_Crane County_General Election,,,,,
"November 3, 2020",,,,Crane County 2020,
Precinct 1,,,,,
"Judge, Ct of Crim App, Pl 3",,,,,
Vote For 1,,,,,
,TOTAL,Election Day,Early Voting,,Absentee
REP Bert Richardson,394,114,265,,15
DEM Elizabeth Davis Frizell,60,19,39,,2
"Judge, Ct of Crim App, Pl 4",,,,,
Vote For 1,,,,,
,TOTAL,Election Day,Early Voting,,Absentee
REP Kevin Patrick Yeary,400,116,271,,13
DEM Tina Clinton,56,16,36,,4
"Judge, Ct of Crim App, Pl 9",,,,,
Vote For 1,,,,,
,TOTAL,Election Day,Early Voting,,Absentee
REP David Newell,400,117,269,,14
DEM Brandon Birmingham,54,16,35,,3
"Member, State BoE, Dist 1",,,,,
Vote For 1,,,,,
,TOTAL,Election Day,Early Voting,,Absentee
REP Jennifer Ivey,389,109,266,,14
DEM Georgina Perez,67,24,40,,3
"State Senator, Dist 28",,,,,
Vote For 1,,,,,
,TOTAL,Election Day,Early Voting,,Absentee
REP Charles Perry,435,126,292,,17
Summary Results Report,,,,UNOFFICIAL RESULTS,
20201103_Crane County_General Election,,,,,
"November 3, 2020",,,,Crane County 2020,
Precinct 1,,,,,
"State Representative, Dist 82",,,,,
Vote For 1,,,,,
,TOTAL,Election Day,Early Voting,,Absentee
REP Tom Craddick,438,124,298,,16
"Chief Justice, 8 Ct of App Dist",,,,,
Vote For 1,,,,,
,TOTAL,Election Day,Early Voting,,Absentee
REP Jeff Alley,388,110,261,,17
DEM Yvonne Rodriguez,65,22,42,,1
"Dist Attorney, 109 Judicial Dist",,,,,
