Summary Results Report,,,,OFFICIAL RESULTS,,
2020 General Election,,,,,,
3-Nov-20,,,,Fayette,,
01 East La Grange,,,,,,
President / Vice-President,,,,,,
Vote For 1,,,,,,
,TOTAL,VOTE %,Absentee,,Early Voting,Election Day
REP Donald J. Trump / Michael R. Pence,545,80.38%,34,,415,96
DEM Joseph R. Biden / Kamala D.Harris,123,18.14%,31,,71,21
"LIB Jo Jorgensen / Jeremy ""Spike"" Cohen",8,1.18%,1,,5,2
GRN Howie Hawkins / Angela Walker,1,0.15%,0,,1,0
Write-In Totals,1,0.15%,0,,0,1
Total Votes Cast,678,100.00%,66,,492,120
US Senator,,,,,,
Vote For 1,,,,,,
,TOTAL,VOTE %,Absentee,,Early Voting,Election Day
REP John Cornyn,538,80.42%,37,,407,94
"DEM Mary ""MJ"" Hegar",115,17.19%,26,,69,20
LIB Kerry Douglas McKennon,14,2.09%,2,,8,4
GRN David B. Collins,2,0.30%,1,,1,0
Write-In Totals,0,0.00%,0,,0,0
Total Votes Cast,669,100.00%,66,,485,118
"US Representative, Dist 10",,,,,,
Vote For 1,,,,,,
,TOTAL,VOTE %,Absentee,,Early Voting,Election Day
REP Michael McCaul,536,81.71%,39,,399,98
DEM Mike Siegel,111,16.92%,24,,70,17
LIB Roy Ericksen,9,1.37%,1,,6,2
Total Votes Cast,656,100.00%,64,,475,117
Summary Results Report,,,,OFFICIAL RESULTS,,
2020 General Election,,,,,,
3-Nov-20,,,,Fayette,,
01 East La Grange,,,,,,
Railroad Commissioner,,,,,,
Vote For 1,,,,,,
,TOTAL,VOTE %,Absentee,,Early Voting,Election Day
"REP James ""Jim"" Wright",520,79.15%,38,,395,87
DEM Chrysta Castaneda,128,19.48%,24,,78,26
LIB Matt Sterett,7,1.07%,1,,4,2
"GRN Katija ""Kat"" Gruene",2,0.30%,1,,0,1
Total Votes Cast,657,100.00%,64,,477,116
"Chief Justice, Supreme Court",,,,,,
Vote For 1,,,,,,
,TOTAL,VOTE %,Absentee,,Early Voting,Election Day
REP Nathan Hecht,531,81.19%,34,,404,93
DEM Amy Clark Meachum,113,17.28%,29,,65,19
LIB Mark Ash,10,1.53%,1,,5,4
Total Votes Cast,654,100.00%,64,,474,116
"Justice, Supreme Court, Pl 6",,,,,,
Vote For 1,,,,,,
,TOTAL,VOTE %,Absentee,,Early Voting,Election Day
REP Jane Bland,541,82.85%,38,,408,95
DEM Kathy Cheng,112,17.15%,26,,68,18
Total Votes Cast,653,100.00%,64,,476,113
Summary Results Report,,,,OFFICIAL RESULTS,,
2020 General Election,,,,,,
3-Nov-20,,,,Fayette,,
01 East La Grange,,,,,,
"Justice, Supreme Court, Pl 7",,,,,,
Vote For 1,,,,,,
,TOTAL,VOTE %,Absentee,,Early Voting,Election Day
REP Jeff Boyd,532,81.35%,35,,403,94
DEM Staci Williams,113,17.28%,27,,69,17
LIB William Bryan Strange III,9,1.38%,1,,5,3
Total Votes Cast,654,100.00%,63,,477,114
"Justice, Supreme Court, Pl 8",,,,,,
Vote For 1,,,,,,
,TOTAL,VOTE %,Absentee,,Early Voting,Election Day
REP Brett Busby,533,81.75%,37,,405,91
DEM Gisela D. Triana,108,16.56%,26,,64,18
LIB Tom Oxford,11,1.69%,1,,6,4
Total Votes Cast,652,100.00%,64,,475,113
"Judge, Ct of Crim App, Pl 3",,,,,,
Vote For 1,,,,,,
,TOTAL,VOTE %,Absentee,,Early Voting,Election Day
REP Bert Richardson,539,82.42%,37,,406,96
DEM Elizabeth Davis Frizell,115,17.58%,27,,70,18
Total Votes Cast,654,100.00%,64,,476,114
"Judge, Ct of Crim App, Pl 4",,,,,,
Vote For 1,,,,,,
,TOTAL,VOTE %,Absentee,,Early Voting,Election Day
REP Kevin Patrick Yeary,535,81.93%,37,,405,93
DEM Tina Clinton,118,18.07%,27,,71,20
Total Votes Cast,653,100.00%,64,,476,113
Summary Results Report,,,,OFFICIAL RESULTS,,
2020 General Election,,,,,,
3-Nov-20,,,,Fayette,,
01 East La Grange,,,,,,
"Judge, Ct of Crim App, Pl 9",,,,,,
Vote For 1,,,,,,
,TOTAL,VOTE %,Absentee,,Early Voting,Election Day
REP David Newell,539,82.92%,34,,410,95
DEM Brandon Birmingham,111,17.08%,28,,65,18
Total Votes Cast,650,100.00%,62,,475,113
"Member, State BoE, Dist 10",,,,,,
Vote For 1,,,,,,
,TOTAL,VOTE %,Absentee,,Early Voting,Election Day
REP Tom Maynard,520,79.75%,33,,392,95
DEM Marsha Burnett-Webster,120,18.40%,30,,73,17
LIB Trip Seibold,12,1.84%,1,,7,4
Total Votes Cast,652,100.00%,64,,472,116
"State Senator, Dist 18",,,,,,
Vote For 1,,,,,,
,TOTAL,VOTE %,Absentee,,Early Voting,Election Day
REP Lois W. Kolkhorst,557,84.91%,43,,414,100
DEM Michael Antalan,99,15.09%,22,,59,18
Total Votes Cast,656,100.00%,65,,473,118
"State Representative, Dist 13",,,,,,
Vote For 1,,,,,,
,TOTAL,VOTE %,Absentee,,Early Voting,Election Day
REP Ben Leman,609,100.00%,52,,451,106
Total Votes Cast,609,100.00%,52,,451,106
Summary Results Report,,,,OFFICIAL RESULTS,,
2020 General Election,,,,,,
3-Nov-20,,,,Fayette,,
01 East La Grange,,,,,,
"Chief Justice, 3rd Ct of App Dist",,,,,,
Vote For 1,,,,,,
,TOTAL,VOTE %,Absentee,,Early Voting,Election Day
REP Jeff Rose,542,83.38%,38,,407,97
DEM Darlene Byrne,108,16.62%,25,,65,18
Total Votes Cast,650,100.00%,63,,472,115
County Attorney,,,,,,
Vote For 1,,,,,,
,TOTAL,VOTE %,Absentee,,Early Voting,Election Day
DEM Peggy S. Supak,539,100.00%,52,,393,94
Total Votes Cast,539,100.00%,52,,393,94
Sheriff,,,,,,
Vote For 1,,,,,,
,TOTAL,VOTE %,Absentee,,Early Voting,Election Day
REP Keith Korenek,627,100.00%,57,,461,109
Total Votes Cast,627,100.00%,57,,461,109
County Tax Assessor-Collector,,,,,,
Vote For 1,,,,,,
,TOTAL,VOTE %,Absentee,,Early Voting,Election Day
REP Rosalinda G. Adamcik,550,100.00%,35,,419,96
Total Votes Cast,550,100.00%,35,,419,96
Constable Pct 2,,,,,,
Vote For 1,,,,,,
,TOTAL,VOTE %,Absentee,,Early Voting,Election Day
REP Roger Wunderlich,612,100.00%,53,,453,106
Total Votes Cast,612,100.00%,53,,453,106
Summary Results Report,,,,OFFICIAL RESULTS,,
2020 General Election,,,,,,
3-Nov-20,,,,Fayette,,
01 North La Grange,,,,,,
President / Vice-President,,,,,,
Vote For 1,,,,,,
,TOTAL,VOTE %,Absentee,,Early Voting,Election Day
REP Donald J. Trump / Michael R. Pence,"1,131",70.06%,89,,887,155
DEM Joseph R. Biden / Kamala D.Harris,469,29.01%,113,,286,70
"LIB Jo Jorgensen / Jeremy ""Spike"" Cohen",9,0.56%,0,,6,3
GRN Howie Hawkins / Angela Walker,2,0.12%,0,,2,0
Write-In Totals,4,0.25%,0,,2,2
Total Votes Cast,"1,615",100.00%,202,,"1,183",230
US Senator,,,,,,
Vote For 1,,,,,,
,TOTAL,VOTE %,Absentee,,Early Voting,Election Day
REP John Cornyn,"1,127",70.33%,95,,877,155
"DEM Mary ""MJ"" Hegar",450,28.04%,105,,279,66
LIB Kerry Douglas McKennon,20,1.25%,0,,15,5
GRN David B. Collins,6,0.37%,0,,5,1
Write-In Totals,0,0.00%,0,,0,0
Total Votes Cast,"1,603",100.00%,200,,"1,176",227
"US Representative, Dist 10",,,,,,
Vote For 1,,,,,,
,TOTAL,VOTE %,Absentee,,Early Voting,Election Day
REP Michael McCaul,"1,141",71.74%,95,,891,155
