Polictical_Subdivision,Election_Date,Election_Name,Total Provisional Ballots,Total Provisional Ballots Counted,Precint__Number,Reg_Voters,Race_Name,Canadidate_Name,Party Code,Election_Votes,Early_Votes
Roberts County,3/3/2020,Republican Primary,0,0,1,152,President,Donald J. Trump,,60,52
Roberts County,3/3/2020,Republican Primary,0,0,1,152,President,"Roque ""Rocky"" De La Fuente Guerra",,0,0
Roberts County,3/3/2020,Republican Primary,0,0,1,152,President,Zoltan G. Istvan,,0,0
Roberts County,3/3/2020,Republican Primary,0,0,1,152,President,Joe Walsh,,0,1
Roberts County,3/3/2020,Republican Primary,0,0,1,152,President,Bill Weld,,0,0
Roberts County,3/3/2020,Republican Primary,0,0,1,152,President,Matthew John Matern,,0,0
Roberts County,3/3/2020,Republican Primary,0,0,1,152,President,Bob Ely,,0,0
Roberts County,3/3/2020,Republican Primary,0,0,1,152,President,Uncommitted,,1,0
Roberts County,3/3/2020,Republican Primary,0,0,1,152,United States Senator,John Cornyn,,43,46
Roberts County,3/3/2020,Republican Primary,0,0,1,152,United States Senator,Mark Yancey,,6,1
Roberts County,3/3/2020,Republican Primary,0,0,1,152,United States Senator,Virgil Bierschwale,,1,1
Roberts County,3/3/2020,Republican Primary,0,0,1,152,United States Senator,Dwayne Stovall,,6,1
Roberts County,3/3/2020,Republican Primary,0,0,1,152,United States Senator,John Anthony Castro,,2,1
Roberts County,3/3/2020,Republican Primary,0,0,1,152,"United States Representative,
District No. 13",Chris Ekstrom,,13,13
Roberts County,3/3/2020,Republican Primary,0,0,1,152,"United States Representative,
District No. 13",Vance Snider II,,8,9
Roberts County,3/3/2020,Republican Primary,0,0,1,152,"United States Representative,
District No. 13",Josh Winegarner,,26,28
Roberts County,3/3/2020,Republican Primary,0,0,1,152,"United States Representative,
District No. 13",Monique Worthy,,0,0
Roberts County,3/3/2020,Republican Primary,0,0,1,152,"United States Representative,
District No. 13",Jason Foglesong,,0,0
Roberts County,3/3/2020,Republican Primary,0,0,1,152,"United States Representative,
District No. 13",Lee Harvey,,2,1
Roberts County,3/3/2020,Republican Primary,0,0,1,152,"United States Representative,
District No. 13",Jamie Culley,,2,0
Roberts County,3/3/2020,Republican Primary,0,0,1,152,"United States Representative,
District No. 13",Matt McArthur,,0,0
Roberts County,3/3/2020,Republican Primary,0,0,1,152,"United States Representative,
District No. 13",Elaine Hays,,1,0
Roberts County,3/3/2020,Republican Primary,0,0,1,152,"United States Representative,
District No. 13",Mark Neese,,0,0
Roberts County,3/3/2020,Republican Primary,0,0,1,152,"United States Representative,
District No. 13",Richard Herman,,0,0
Roberts County,3/3/2020,Republican Primary,0,0,1,152,"United States Representative,
District No. 13",Asusena Reséndiz,,1,0
Roberts County,3/3/2020,Republican Primary,0,0,1,152,"United States Representative,
District No. 13","Catherine ""I Swear"" Carr",,3,0
Roberts County,3/3/2020,Republican Primary,0,0,1,152,"United States Representative,
District No. 13",Diane Knowlton,,0,0
Roberts County,3/3/2020,Republican Primary,0,0,1,152,"United States Representative,
District No. 13",Ronny Jackson,,3,2
Roberts County,3/3/2020,Republican Primary,0,0,1,152,Railroad Commissioner,Ryan Sitton,,26,16
Roberts County,3/3/2020,Republican Primary,0,0,1,152,Railroad Commissioner,"James ""Jim"" Wright",,27,30
Roberts County,3/3/2020,Republican Primary,0,0,1,152,"Chief Justice, Supreme Court",Nathan Hecht,,55,43
