00000000045000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004500000000000000000PRECINCTS COUNTED - TOTAL                               PRECINCTS COUNTED - TOTAL                                      00 
0001001004500865340000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000450086534          REGISTERED VOTERS - TOTAL                               REGISTERED VOTERS - TOTAL                                      00 
0002001004500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000450000000          REGISTERED VOTERS - Republican Party                    REGISTERED VOTERS - Republican Party                           00 
000300100450020428000078500109840008659000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       BALLOTS CAST - Republican Party                         BALLOTS CAST - Republican Party                                00 
000400100450000024000000100000140000009000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP President                                           Bob Ely                                                        01 
000400200450000021000000100000120000008000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP President                                           Matthew John Matern                                            01 
000400300450000082000000300000380000041000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP President                                           Roque Rocky DeLa Fuente Guerra                                 01 
000400400450000190000000300001080000079000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP President                                           Bill Weld                                                      01 
000400500450000014000000100000060000007000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP President                                           Zoltan G. Istvan                                               01 
000400600450018832000073200101100007990000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP President                                           Donald J. Trump                                                01 
000400700450000175000000100000990000075000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP President                                           Joe Walsh                                                      01 
000400800450000969000003400005310000404000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP President                                           Uncommitted                                                    01 
000500100450001084000001100005060000567000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP US Senator                                          John Anthony Castro                                            01 
000500200450001232000002600005320000674000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP US Senator                                          Mark Yancey                                                    01 
000500300450002500000004900011760001275000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP US Senator                                          Dwayne Stovall                                                 01 
000500400450014798000065800083780005762000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP US Senator                                          John Cornyn                                                    01 
000500500450000174000000500000800000089000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP US Senator                                          Virgil Bierschwale                                             01 
000600100450008506000042300048120003271000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP US Representative, Dist 11                          August Pfluger                                                 01 
000600200450005327000009400026730002560000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP US Representative, Dist 11                          Brandon Batch                                                  01 
000600300450000282000000800001200000154000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP US Representative, Dist 11                          Robert Tucker                                                  01 
000600400450002215000009000012520000873000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP US Representative, Dist 11                          J.Ross Lacy                                                    01 
000600500450000348000000900001820000157000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP US Representative, Dist 11                          Ned Luscombe                                                   01 
000600600450001032000006400006190000349000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP US Representative, Dist 11                          J.D. Faircloth                                                 01 
000600700450001429000005300007190000657000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP US Representative, Dist 11                          Jamie Berryhill                                                01 
000600800450000540000000500002820000253000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP US Representative, Dist 11                          Wesley W. Virdell                                              01 
000600900450000083000000100000360000046000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP US Representative, Dist 11                          Gene Barber                                                    01 
000601000450000410000000800001890000213000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP US Representative, Dist 11                          Casey Gray                                                     01 
000700100450011568000041800059010005249000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP Railroad Commissioner                               James "Jim" Wright                                             01 
000700200450007469000027200043490002848000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP Railroad Commissioner                               Ryan Sitton                                                    01 
000800100450019038000063300102460008159000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP Chief Justice, Supreme Court                        Nathan Hecht                                                   01 
000900100450018936000062300101800008133000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP Justice, Supreme Court, Pl 6                        Jane Bland                                                     01 
001000100450018969000062600102030008140000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP Justice, Supreme Court, Pl 7                        Jeff Boyd                                                      01 
001100100450018946000062100101880008137000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP Justice, Supreme Court, Pl 8                        Brett Busby                                                    01 
001200100450009629000029600051150004218000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP Judge, Ct of Crim App, Pl 3                         Gina Parker                                                    01 
001200200450008675000035300046870003635000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP Judge, Ct of Crim App, Pl 3                         Bert Richardson                                                01 
001300100450018831000061400101210008096000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP Judge, Ct of Crim App, Pl 4                         Kevin Patrick Yeary                                            01 
001400100450018840000062000101240008096000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP Judge, Ct of Crim App, Pl 9                         David Newell                                                   01 
001500100450018823000061400101020008107000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP Member, State BoE, Dist 15                          Jay Johnson                                                    01 
001600100450019067000064700102240008196000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP State Representative, Dist 82                       Tom Craddick                                                   01 
001700100450004130000013100021460001853000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP Justice, 11th Ct of App Dist, Pl 2                  Frank Hunold                                                   01 
001700200450014079000050900076560005914000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP Justice, 11th Ct of App Dist, Pl 2                  Bruce Williams                                                 01 
001800100450018791000062100100930008077000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP Justice, 11th Ct of App Dist, Pl 3                  W. Stacy Trotter                                               01 
001900100450009360000040100051900003769000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP Dist Judge, 142nd Judicial Dist                     David G. Rogers                                                01 
001900200450007953000024600044160003291000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP Dist Judge, 142nd Judicial Dist                     Mary Baker                                                     01 
001900300450002126000007500009430001108000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP Dist Judge, 142nd Judicial Dist                     Wayne Frost                                                    01 
002000100450015171000055900082640006348000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP Dist Attorney, 142nd Judicial Dist                  Laura A. Nodolf                                                01 
002000200450004098000014500021720001781000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP Dist Attorney, 142nd Judicial Dist                  O. Machelle Morris                                             01 
002100100450011082000046800061310004483000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP County Attorney                                     Russell Malm                                                   01 
002100200450008165000023300042780003654000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP County Attorney                                     Rebecca Patterson Linehan                                      01 
002200100450002541000006700012660001208000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP Sheriff                                             Tom Hain                                                       01 
002200200450010361000029200057100004359000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP Sheriff                                             David Criner                                                   01 
002200300450000350000001800001440000188000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP Sheriff                                             Joe D. Lozano                                                  01 
002200400450006822000036900037180002735000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP Sheriff                                             Rory McKinney                                                  01 
002300100450019210000064600103230008241000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP County Tax Assessor-Collector                       Karen Hood                                                     01 
002400100110002969000012900014410001399000000000000000000000000000000000000000000000000000000000000000000000000000000011000000 REPCOMPCT1REP County Commissioner Pct 1                           Scott Ramsey                          Pct 1                    01 
002400200110001223000007800007080000437000000000000000000000000000000000000000000000000000000000000000000000000000000011000000 REPCOMPCT1REP County Commissioner Pct 1                           Leonard Dumire                        Pct 1                    01 
002500100110004085000017500020850001825000000000000000000000000000000000000000000000000000000000000000000000000000000011000000 REPCONPCT1REP Constable Pct 1                                     Douglas M. Brown                      Pct 1                    01 
002600100110006424000018800035480002688000000000000000000000000000000000000000000000000000000000000000000000000000000011000000 REPCONPCT2REP Constable Pct 2                                     Mark Wohleking                        Pct 2                    01 
002700100120006844000021500037160002913000000000000000000000000000000000000000000000000000000000000000000000000000000012000000 REPCONPCT4REP Constable Pct 4                                     Jamie Beth Hall                       Pct 4                    01 
002800100450018884000062400101500008110000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP County Chair                                        Sherri B. Merket                                               01 
002900100450017696000067200095510007473000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP Proposition 1                                       Yes                                                            01Y
002900200450002581000009800013510001132000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP Proposition 1                                       No                                                             01Y
003000100450017109000064700091550007307000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP Proposition 2                                       Yes                                                            01Y
003000200450003091000011800016930001280000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP Proposition 2                                       No                                                             01Y
003100100450018817000075000100590008008000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP Proposition 3                                       Yes                                                            01Y
003100200450001263000001800007110000534000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP Proposition 3                                       No                                                             01Y
003200100450018492000073400099280007830000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP Proposition 4                                       Yes                                                            01Y
003200200450001686000003900009140000733000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP Proposition 4                                       No                                                             01Y
003300100450018055000067000096760007709000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP Proposition 5                                       Yes                                                            01Y
003300200450002058000009400011250000839000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP Proposition 5                                       No                                                             01Y
003400100450018997000073100101640008102000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP Proposition 6                                       Yes                                                            01Y
003400200450001109000003100006130000465000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP Proposition 6                                       No                                                             01Y
003500100450019681000075400105540008373000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP Proposition 7                                       Yes                                                            01Y
003500200450000478000001500002660000197000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP Proposition 7                                       No                                                             01Y
003600100450019824000076700106210008436000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP Proposition 8                                       Yes                                                            01Y
003600200450000373000000600002180000149000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP Proposition 8                                       No                                                             01Y
003700100450019071000073700102440008090000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP Proposition 9                                       Yes                                                            01Y
003700200450001062000002900005600000473000000000000000000000000000000000000000000000000000000000000000000000000000000045000000 REP       REP Proposition 9                                       No                                                             01Y
