political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,,candidate_name,party code,early_votes,election_votes
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,President,,Joseph R. Biden,DEM,#REF!,63
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,President,,Amy Klobuchar,DEM,#REF!,2
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,President,,Robby Wells,DEM,#REF!,0
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,President,,Michael R. Bloomberg,DEM,#REF!,40
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,President,,Andrew Yang,DEM,#REF!,4
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,President,,Marianne Williamson,DEM,#REF!,0
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,President,,Tom Steyer,DEM,#REF!,3
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,President,,Deval Patrick,DEM,#REF!,1
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,President,,"Roque ""Rocky"" De La Fuente",DEM,#REF!,5
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,President,,Pete Buttigieg,DEM,#REF!,2
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,President,,John K. Delaney,DEM,#REF!,0
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,President,,Elizabeth Warren,DEM,#REF!,5
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,President,,Cory Booker,DEM,#REF!,2
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,President,,Bernie Sanders,DEM,#REF!,52
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,President,,Julián Castro,DEM,#REF!,3
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,President,,Michael Bennet,DEM,#REF!,0
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,President,,Tulsi Gabbard,DEM,#REF!,4
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,United States Senator,,Cristina Tzintzun Ramirez,DEM,#REF!,58
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,United States Senator,,Michael Cooper,DEM,#REF!,5
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,United States Senator,,Sema Hernandez,DEM,#REF!,17
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,United States Senator,,Jack Daniel Foster Jr,DEM,#REF!,0
Zapata County Courthouse,3/3/2020,Primary Election,4,1,1,1765,United States Senator,,Chris Bell,DEM,#REF!,6
