"Box 101" ,10 ,"R-President" ,10 ,"R DeLa Fuente Guerra" ,"NP" ,"Election Day" ,0 ,
"Box 101" ,10 ,"R-President" ,10 ,"R DeLa Fuente Guerra" ,"NP" ,"Early Voting" ,0 ,
"Box 101" ,10 ,"R-President" ,10 ,"R DeLa Fuente Guerra" ,"NP" ,"EV Mail" ,0 ,
"Box 101" ,10 ,"R-President" ,10 ,"R DeLa Fuente Guerra" ,"NP" ,"Provisional" ,0 ,
"Box 101" ,10 ,"R-President" ,10 ,"R DeLa Fuente Guerra" ,"NP" ,"Total" ,0 ,
"Box 101" ,10 ,"R-President" ,20 ,"Bill Weld" ,"NP" ,"Election Day" ,1 ,
"Box 101" ,10 ,"R-President" ,20 ,"Bill Weld" ,"NP" ,"Early Voting" ,0 ,
"Box 101" ,10 ,"R-President" ,20 ,"Bill Weld" ,"NP" ,"EV Mail" ,0 ,
"Box 101" ,10 ,"R-President" ,20 ,"Bill Weld" ,"NP" ,"Provisional" ,0 ,
"Box 101" ,10 ,"R-President" ,20 ,"Bill Weld" ,"NP" ,"Total" ,1 ,
"Box 101" ,10 ,"R-President" ,30 ,"Matthew John Matern" ,"NP" ,"Election Day" ,1 ,
"Box 101" ,10 ,"R-President" ,30 ,"Matthew John Matern" ,"NP" ,"Early Voting" ,0 ,
"Box 101" ,10 ,"R-President" ,30 ,"Matthew John Matern" ,"NP" ,"EV Mail" ,0 ,
"Box 101" ,10 ,"R-President" ,30 ,"Matthew John Matern" ,"NP" ,"Provisional" ,0 ,
"Box 101" ,10 ,"R-President" ,30 ,"Matthew John Matern" ,"NP" ,"Total" ,1 ,
"Box 101" ,10 ,"R-President" ,40 ,"Joe Walsh" ,"NP" ,"Election Day" ,1 ,
"Box 101" ,10 ,"R-President" ,40 ,"Joe Walsh" ,"NP" ,"Early Voting" ,0 ,
"Box 101" ,10 ,"R-President" ,40 ,"Joe Walsh" ,"NP" ,"EV Mail" ,0 ,
"Box 101" ,10 ,"R-President" ,40 ,"Joe Walsh" ,"NP" ,"Provisional" ,0 ,
"Box 101" ,10 ,"R-President" ,40 ,"Joe Walsh" ,"NP" ,"Total" ,1 ,
"Box 101" ,10 ,"R-President" ,50 ,"Bob Ely" ,"NP" ,"Election Day" ,0 ,
"Box 101" ,10 ,"R-President" ,50 ,"Bob Ely" ,"NP" ,"Early Voting" ,0 ,
"Box 101" ,10 ,"R-President" ,50 ,"Bob Ely" ,"NP" ,"EV Mail" ,0 ,
"Box 101" ,10 ,"R-President" ,50 ,"Bob Ely" ,"NP" ,"Provisional" ,0 ,
"Box 101" ,10 ,"R-President" ,50 ,"Bob Ely" ,"NP" ,"Total" ,0 ,
"Box 101" ,10 ,"R-President" ,60 ,"Donald J. Trump" ,"NP" ,"Election Day" ,198 ,
"Box 101" ,10 ,"R-President" ,60 ,"Donald J. Trump" ,"NP" ,"Early Voting" ,153 ,
"Box 101" ,10 ,"R-President" ,60 ,"Donald J. Trump" ,"NP" ,"EV Mail" ,11 ,
"Box 101" ,10 ,"R-President" ,60 ,"Donald J. Trump" ,"NP" ,"Provisional" ,0 ,
"Box 101" ,10 ,"R-President" ,60 ,"Donald J. Trump" ,"NP" ,"Total" ,362 ,
"Box 101" ,10 ,"R-President" ,70 ,"Zoltan G. Istvan" ,"NP" ,"Election Day" ,0 ,
"Box 101" ,10 ,"R-President" ,70 ,"Zoltan G. Istvan" ,"NP" ,"Early Voting" ,0 ,
"Box 101" ,10 ,"R-President" ,70 ,"Zoltan G. Istvan" ,"NP" ,"EV Mail" ,0 ,
"Box 101" ,10 ,"R-President" ,70 ,"Zoltan G. Istvan" ,"NP" ,"Provisional" ,0 ,
"Box 101" ,10 ,"R-President" ,70 ,"Zoltan G. Istvan" ,"NP" ,"Total" ,0 ,
"Box 101" ,10 ,"R-President" ,80 ,"Uncommitted" ,"NP" ,"Election Day" ,4 ,
"Box 101" ,10 ,"R-President" ,80 ,"Uncommitted" ,"NP" ,"Early Voting" ,1 ,
"Box 101" ,10 ,"R-President" ,80 ,"Uncommitted" ,"NP" ,"EV Mail" ,0 ,
"Box 101" ,10 ,"R-President" ,80 ,"Uncommitted" ,"NP" ,"Provisional" ,0 ,
"Box 101" ,10 ,"R-President" ,80 ,"Uncommitted" ,"NP" ,"Total" ,5 ,
"Box 101" ,20 ,"D-President" ,10 ,"Bernie Sanders" ,"NP" ,"Election Day" ,41 ,
"Box 101" ,20 ,"D-President" ,10 ,"Bernie Sanders" ,"NP" ,"Early Voting" ,27 ,
"Box 101" ,20 ,"D-President" ,10 ,"Bernie Sanders" ,"NP" ,"EV Mail" ,9 ,
"Box 101" ,20 ,"D-President" ,10 ,"Bernie Sanders" ,"NP" ,"Provisional" ,0 ,
"Box 101" ,20 ,"D-President" ,10 ,"Bernie Sanders" ,"NP" ,"Total" ,77 ,
"Box 101" ,20 ,"D-President" ,20 ,"Michael Bennet" ,"NP" ,"Election Day" ,1 ,
"Box 101" ,20 ,"D-President" ,20 ,"Michael Bennet" ,"NP" ,"Early Voting" ,1 ,
"Box 101" ,20 ,"D-President" ,20 ,"Michael Bennet" ,"NP" ,"EV Mail" ,0 ,
"Box 101" ,20 ,"D-President" ,20 ,"Michael Bennet" ,"NP" ,"Provisional" ,0 ,
