March 2020 Democratic Primary 3/3/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzales County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,REGISTERED VOTERS - Democratic Party,BALLOTS CAST TOTAL,BALLOTS CAST - Democratic Party,BALLOTS CAST BLANK,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,"DEM US Representative, Dist 27","DEM US Representative, Dist 27","DEM US Representative, Dist 34","DEM US Representative, Dist 34","DEM US Representative, Dist 34",DEM Railroad Commissioner,DEM Railroad Commissioner,DEM Railroad Commissioner,DEM Railroad Commissioner,"DEM Chief Justice, Supreme Court","DEM Chief Justice, Supreme Court","DEM Justice, Supreme Court, Pl 6","DEM Justice, Supreme Court, Pl 6","DEM Justice, Supreme Court, Pl 7","DEM Justice, Supreme Court, Pl 7","DEM Justice, Supreme Court, Pl 8","DEM Justice, Supreme Court, Pl 8","DEM Judge, Ct of Crim App, Pl 3","DEM Judge, Ct of Crim App, Pl 3","DEM Judge, Ct of Crim App, Pl 3","DEM Judge, Ct of Crim App, Pl 4","DEM Judge, Ct of Crim App, Pl 4","DEM Judge, Ct of Crim App, Pl 9","DEM State Senator, Dist 18","DEM State Representative, Dist 17","DEM Justice, 13 Ct of App Dist, Pl 4","DEM Justice, 13 Ct of App Dist, Pl 6",DEM Sheriff,DEM Sheriff,DEM County Chair,DEM Proposition #1,DEM Proposition #1,DEM Proposition #2,DEM Proposition #2,DEM Proposition #3,DEM Proposition #3,DEM Proposition #4,DEM Proposition #4,DEM Proposition #5,DEM Proposition #5,DEM Proposition #6,DEM Proposition #6,DEM Proposition #7,DEM Proposition #7,DEM Proposition #8,DEM Proposition #8,DEM Proposition #9,DEM Proposition #9,DEM Proposition #10,DEM Proposition #10,DEM Proposition #11,DEM Proposition #11
,,,,DEM,,DEM,,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM
,,,VOTERS,VOTERS,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,Cory Booker,"Roque ""Rocky"" De La Fuente",Michael R. Bloomberg,Robby Wells,John K. Delaney,Bernie Sanders,Tom Steyer,Julian Castro,Elizabeth Warren,Amy Klobuchar,Michael Bennet,Joseph R. Biden,Andrew Yang,Tulsi Gabbard,Marianne Williamson,Pete Buttigieg,Deval Patrick,D. R. Hunter,Cristina Tzintzun Ramirez,Adrian Ocegueda,Michael Cooper,"Annie ""Mama"" Garcia",Mary (MJ) Hegar,"Jack Daniel Foster, Jr.",Amanda K. Edwards,Royce West,Victor Hugo Harris,Chris Bell,Sema Hernandez,"Ricardo ""Rick"" De La Fuente",Charlie Jackson,Filemon B. Vela,Diego Zavala,Osbert Rodriguez Haro III,Mark Watson,"Roberto R. ""Beto"" Alonzo",Kelly Stone,Chrysta Castaneda,Jerry Zimmerer,Amy Clark Meachum,Larry Praeger,Kathy Cheng,Brandy Voss,Staci Williams,Peter Kelly,Gisela D. Triana,Elizabeth Davis Frizell,William Pieratt Demond,Dan Wood,Steven Miears,Tina Clinton,Brandon Birmingham,Michael Antalan,Madeline Eden,Migdalia Lopez,Nereida Lopez-Singleterry,Floyd Tolliver,Clay Allen III,Yolanda Messman,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No
GONZA,1,Precinct 1- Election Day,2686,0,315,57,1,0,0,7,1,0,13,1,0,4,0,1,26,1,0,1,0,1,3,12,0,2,7,14,2,7,1,0,5,3,33,23,0,0,0,10,14,16,15,19,36,18,37,23,32,25,30,39,6,10,13,42,55,55,54,55,55,32,24,55,54,2,54,2,54,2,55,1,54,2,54,1,52,4,54,2,55,1,52,4,53,3
GONZA,1,Precinct 1- EarlyVoting in Person,2686,0,639,59,0,0,1,13,0,1,7,1,1,9,5,0,14,0,1,2,0,1,4,10,1,3,9,14,1,0,2,1,3,5,25,25,0,0,0,19,15,8,11,18,35,29,25,21,32,26,27,33,4,15,18,34,54,51,51,53,50,35,20,51,55,2,52,5,54,3,52,4,54,1,54,2,55,2,55,2,53,2,54,3,49,6
GONZA,1,Precinct 1- By Mail,2686,0,35,17,0,0,0,7,0,0,2,1,3,1,0,0,3,0,0,0,0,0,1,3,1,0,2,6,0,1,1,0,0,1,11,5,0,0,0,2,4,3,5,4,8,9,4,3,10,6,7,9,2,2,4,9,12,14,12,14,12,10,5,15,13,2,13,2,14,1,14,1,14,1,14,1,13,2,13,2,12,3,13,2,14,1
GONZA,1,Precinct 1- Provisional,2686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GONZA,2,Precinct 2- Election Day,1847,0,190,34,0,0,0,8,0,0,1,0,0,4,0,0,19,1,0,0,0,1,0,4,0,1,2,13,1,2,2,1,1,3,15,13,0,0,0,5,9,7,5,6,20,9,18,9,16,8,18,15,8,4,10,17,27,28,26,28,26,16,10,27,30,2,28,3,28,2,27,2,26,3,28,1,26,2,27,2,26,4,26,3,26,3
GONZA,2,Precinct 2- EarlyVoting in Person,1847,0,394,46,0,0,0,11,0,0,10,0,1,2,1,0,12,0,0,0,9,0,1,7,1,2,7,12,0,6,3,1,1,2,30,13,0,0,0,11,10,11,9,9,34,15,28,15,28,11,30,27,7,8,12,29,41,43,42,42,41,19,22,40,44,2,41,4,43,2,43,3,42,3,44,1,41,3,45,1,43,2,43,3,44,1
GONZA,2,Precinct 2- By Mail,1847,0,23,16,0,0,0,3,0,0,1,1,0,2,0,0,8,0,0,0,0,0,2,2,0,1,0,2,1,2,0,0,1,0,3,9,0,0,0,2,4,4,1,2,9,4,8,2,10,5,6,9,0,3,2,10,12,12,13,12,12,9,5,12,16,0,16,0,15,0,16,0,14,1,15,0,15,0,14,0,15,0,13,2,14,1
GONZA,2,Precinct 2- Provisional,1847,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
