political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,REP Ballots Cast,DEM Ballots Cast,race_name,Contest Party,candidate_name,Absentee Voting Votes,early_votes,election_votes,party code,Total Votes
WISE COUNTY,3/3/2020,PRIMARY ELECTION,3,0,1,0,552,94,PRESIDENT,REP,Matthew John Matern,0,0,0,,0
WISE COUNTY,3/3/2020,PRIMARY ELECTION,3,0,1,0,552,94,PRESIDENT,REP,Joe Walsh,1,0,0,,1
WISE COUNTY,3/3/2020,PRIMARY ELECTION,3,0,1,0,552,94,PRESIDENT,REP,Donald J. Trump,12,328,190,,530
WISE COUNTY,3/3/2020,PRIMARY ELECTION,3,0,1,0,552,94,PRESIDENT,REP,Bob Ely,0,0,0,,0
WISE COUNTY,3/3/2020,PRIMARY ELECTION,3,0,1,0,552,94,PRESIDENT,REP,Bill Weld,0,0,1,,1
WISE COUNTY,3/3/2020,PRIMARY ELECTION,3,0,1,0,552,94,PRESIDENT,REP,Zoltan G. Istvan,0,0,0,,0
WISE COUNTY,3/3/2020,PRIMARY ELECTION,3,0,1,0,552,94,PRESIDENT,REP,"Roque ""Rocky"" De La Fuente Guerra",0,0,0,,0
WISE COUNTY,3/3/2020,PRIMARY ELECTION,3,0,1,0,552,94,PRESIDENT,REP,Uncommitted,2,8,4,,14
WISE COUNTY,3/3/2020,PRIMARY ELECTION,2,0,1,0,552,94,PRESIDENT,DEM,Marianne Williamson,0,0,0,,0
WISE COUNTY,3/3/2020,PRIMARY ELECTION,2,0,1,0,552,94,PRESIDENT,DEM,Julián Castro,0,0,0,,0
WISE COUNTY,3/3/2020,PRIMARY ELECTION,2,0,1,0,552,94,PRESIDENT,DEM,Tom Steyer,0,1,1,,2
WISE COUNTY,3/3/2020,PRIMARY ELECTION,2,0,1,0,552,94,PRESIDENT,DEM,Tulsi Gabbard,0,0,1,,1
WISE COUNTY,3/3/2020,PRIMARY ELECTION,2,0,1,0,552,94,PRESIDENT,DEM,Andrew Yang,0,0,0,,0
WISE COUNTY,3/3/2020,PRIMARY ELECTION,2,0,1,0,552,94,PRESIDENT,DEM,John K. Delaney,0,0,0,,0
WISE COUNTY,3/3/2020,PRIMARY ELECTION,2,0,1,0,552,94,PRESIDENT,DEM,Bernie Sanders,2,16,17,,35
WISE COUNTY,3/3/2020,PRIMARY ELECTION,2,0,1,0,552,94,PRESIDENT,DEM,Pete Buttigieg,1,2,0,,3
WISE COUNTY,3/3/2020,PRIMARY ELECTION,2,0,1,0,552,94,PRESIDENT,DEM,Joseph R. Biden,1,11,18,,30
WISE COUNTY,3/3/2020,PRIMARY ELECTION,2,0,1,0,552,94,PRESIDENT,DEM,Robby Wells,0,0,0,,0
WISE COUNTY,3/3/2020,PRIMARY ELECTION,2,0,1,0,552,94,PRESIDENT,DEM,Cory Booker,0,0,0,,0
WISE COUNTY,3/3/2020,PRIMARY ELECTION,2,0,1,0,552,94,PRESIDENT,DEM,Elizabeth Warren,1,4,1,,6
WISE COUNTY,3/3/2020,PRIMARY ELECTION,2,0,1,0,552,94,PRESIDENT,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,,0
WISE COUNTY,3/3/2020,PRIMARY ELECTION,2,0,1,0,552,94,PRESIDENT,DEM,Deval Patrick,0,0,0,,0
WISE COUNTY,3/3/2020,PRIMARY ELECTION,2,0,1,0,552,94,PRESIDENT,DEM,Michael R. Bloomberg,3,7,5,,15
WISE COUNTY,3/3/2020,PRIMARY ELECTION,2,0,1,0,552,94,PRESIDENT,DEM,Amy Klobuchar,0,1,0,,1
WISE COUNTY,3/3/2020,PRIMARY ELECTION,2,0,1,0,552,94,PRESIDENT,DEM,Michael Bennet,0,0,0,,0
WISE COUNTY,3/3/2020,PRIMARY ELECTION,3,0,1,0,552,94,U.S. SENATOR,REP,Virgil Bierschwale,0,2,3,,5
WISE COUNTY,3/3/2020,PRIMARY ELECTION,3,0,1,0,552,94,U.S. SENATOR,REP,Dwayne Stovall,3,46,51,,100
