political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct number,reg_voters,Race_name,candidate_name,party_code,early_votes,election_votes
Republican,5/29/2012,Primary party election 5/29/2012,0,0,Precinct 1,1948,President,John Davis,REP,0,3
Republican,5/29/2012,Primary party election 5/29/2012,0,0,Precinct 1,1948,President,Jon Huntsman,REP,0,0
Republican,5/29/2012,Primary party election 5/29/2012,0,0,Precinct 1,1948,President,"Charles ""Buddy"" Roemer",REP,0,0
Republican,5/29/2012,Primary party election 5/29/2012,0,0,Precinct 1,1948,President,Rick Santorum,REP,5,9
Republican,5/29/2012,Primary party election 5/29/2012,0,0,Precinct 1,1948,President,Michelle Bachmann,REP,1,1
Republican,5/29/2012,Primary party election 5/29/2012,0,0,Precinct 1,1948,President,Newt Gingrich,REP,4,4
Republican,5/29/2012,Primary party election 5/29/2012,0,0,Precinct 1,1948,President,Ron Paul,REP,5,13
Republican,5/29/2012,Primary party election 5/29/2012,0,0,Precinct 1,1948,President,Mitt Romney,REP,53,55
Republican,5/29/2012,Primary party election 5/29/2012,0,0,Precinct 1,1948,President,Uncommitted,REP,8,2
Republican,5/29/2012,Primary party election 5/29/2012,0,0,Precinct 1,1948,United States Senator,Glenn Addison,REP,1,3
Republican,5/29/2012,Primary party election 5/29/2012,0,0,Precinct 1,1948,United States Senator,Curt Cleaver,REP,2,0
Republican,5/29/2012,Primary party election 5/29/2012,0,0,Precinct 1,1948,United States Senator,David Dewhurst,REP,49,38
Republican,5/29/2012,Primary party election 5/29/2012,0,0,Precinct 1,1948,United States Senator,Craig James,REP,7,11
Republican,5/29/2012,Primary party election 5/29/2012,0,0,Precinct 1,1948,United States Senator,Lela Pittenger,REP,0,3
Republican,5/29/2012,Primary party election 5/29/2012,0,0,Precinct 1,1948,United States Senator,Joe Agris,REP,0,0
Republican,5/29/2012,Primary party election 5/29/2012,0,0,Precinct 1,1948,United States Senator,Ted Cruz,REP,13,18
Republican,5/29/2012,Primary party election 5/29/2012,0,0,Precinct 1,1948,United States Senator,Ben Gambini,REP,0,1
Republican,5/29/2012,Primary party election 5/29/2012,0,0,Precinct 1,1948,United States Senator,Tom Leppert,REP,0,6
Republican,5/29/2012,Primary party election 5/29/2012,0,0,Precinct 1,1948,"United States Representative, District 13",Mac Thornberry,REP,68,65
Republican,5/29/2012,Primary party election 5/29/2012,0,0,Precinct 1,1948,"United States Representative, District 13",Pamela Lee Barlow,REP,8,22
Republican,5/29/2012,Primary party election 5/29/2012,0,0,Precinct 1,1948,Railroad Commissioner,Roland Sledge,REP,3,6
Republican,5/29/2012,Primary party election 5/29/2012,0,0,Precinct 1,1948,Railroad Commissioner,Joe Cotten,REP,7,8
