Political_subdivision,Election_date,Election_name,Total Prov Ballots,Total Prov counted,Precinct_number,Reg_voters,NON Voters,race_name,Candidate_name,Early_votes,Election_votes
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,101,484,0,UNITED STATES SENATOR,"Mary ""MJ"" Hegar",5,0
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,101,484,0,UNITED STATES SENATOR,Royce West,5,0
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,101,484,0,RAILROAD COMMISSIONER,Chrysta Castañeda,4,0
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,101,484,0,RAILROAD COMMISSIONER,"Roberto R. ""Beto"" Alonzo",6,0
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,102,2568,0,UNITED STATES SENATOR,"Mary ""MJ"" Hegar",32,2
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,102,2568,0,UNITED STATES SENATOR,Royce West,11,1
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,102,2568,0,RAILROAD COMMISSIONER,Chrysta Castañeda,14,2
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,102,2568,0,RAILROAD COMMISSIONER,"Roberto R. ""Beto"" Alonzo",29,1
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,103,407,0,UNITED STATES SENATOR,"Mary ""MJ"" Hegar",0,2
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,103,407,0,UNITED STATES SENATOR,Royce West,2,0
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,103,407,0,RAILROAD COMMISSIONER,Chrysta Castañeda,1,2
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,103,407,0,RAILROAD COMMISSIONER,"Roberto R. ""Beto"" Alonzo",1,0
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,104,1599,0,UNITED STATES SENATOR,"Mary ""MJ"" Hegar",15,3
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,104,1599,0,UNITED STATES SENATOR,Royce West,10,2
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,104,1599,0,RAILROAD COMMISSIONER,Chrysta Castañeda,10,4
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,104,1599,0,RAILROAD COMMISSIONER,"Roberto R. ""Beto"" Alonzo",15,1
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,105,1857,0,UNITED STATES SENATOR,"Mary ""MJ"" Hegar",11,6
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,105,1857,0,UNITED STATES SENATOR,Royce West,7,2
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,105,1857,0,RAILROAD COMMISSIONER,Chrysta Castañeda,8,5
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,105,1857,0,RAILROAD COMMISSIONER,"Roberto R. ""Beto"" Alonzo",10,3
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,106,1748,0,UNITED STATES SENATOR,"Mary ""MJ"" Hegar",8,10
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,106,1748,0,UNITED STATES SENATOR,Royce West,6,3
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,106,1748,0,RAILROAD COMMISSIONER,Chrysta Castañeda,8,7
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,106,1748,0,RAILROAD COMMISSIONER,"Roberto R. ""Beto"" Alonzo",3,6
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,106,1748,0,COUNTY COMMISSIONER PRECINCT 1,Ruben Fonseca,8,8
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,106,1748,0,COUNTY COMMISSIONER PRECINCT 1,Sonia Lopez,5,5
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,107,247,0,UNITED STATES SENATOR,"Mary ""MJ"" Hegar",1,0
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,107,247,0,UNITED STATES SENATOR,Royce West,2,0
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,107,247,0,RAILROAD COMMISSIONER,Chrysta Castañeda,0,0
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,107,247,0,RAILROAD COMMISSIONER,"Roberto R. ""Beto"" Alonzo",3,0
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,108,4112,0,UNITED STATES SENATOR,"Mary ""MJ"" Hegar",27,22
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,108,4112,0,UNITED STATES SENATOR,Royce West,18,4
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,108,4112,0,RAILROAD COMMISSIONER,Chrysta Castañeda,26,17
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,108,4112,0,RAILROAD COMMISSIONER,"Roberto R. ""Beto"" Alonzo",19,8
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,109,2946,0,UNITED STATES SENATOR,"Mary ""MJ"" Hegar",23,15
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,109,2946,0,UNITED STATES SENATOR,Royce West,4,5
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,109,2946,0,RAILROAD COMMISSIONER,Chrysta Castañeda,15,13
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,109,2946,0,RAILROAD COMMISSIONER,"Roberto R. ""Beto"" Alonzo",12,7
San Patricio County Democratic Party,7/14/2020,Primary Runoff,1,1,110,1863,0,UNITED STATES SENATOR,"Mary ""MJ"" Hegar",21,28
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,110,1863,0,UNITED STATES SENATOR,Royce West,14,21
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,110,1863,0,RAILROAD COMMISSIONER,Chrysta Castañeda,20,23
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,110,1863,0,RAILROAD COMMISSIONER,"Roberto R. ""Beto"" Alonzo",15,29
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,110,1863,0,COUNTY COMMISSIONER PRECINCT 1,Ruben Fonseca,24,46
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,110,1863,0,COUNTY COMMISSIONER PRECINCT 1,Sonia Lopez,14,18
San Patricio County Democratic Party,7/14/2020,Primary Runoff,,,111,41,0,UNITED STATES SENATOR,"Mary ""MJ"" Hegar",0,0
