tbContestName,Textbox25,Textbox29,Textbox33,ChoiceName,ChoicePartyNames,ID1__Votes,ID1__VotesP,ID2__Votes,ID2__VotesP,ID3__Votes,ID3__VotesP,Textbox46,Textbox54,Textbox31,Textbox32,Textbox34,Textbox35,Textbox36,Textbox38,Textbox47,Textbox55,Textbox3,Textbox5,Textbox7,Textbox13,Textbox17,Textbox19,Textbox22,Textbox49,Textbox50,Textbox56,Textbox87,Textbox93,Textbox53,Textbox57,Textbox59,Textbox61,Textbox67,Textbox69,Textbox71,Textbox73,Textbox75,Textbox81
Rains County Proposition A,Absentee Voting,Early Voting,Election Day Voting,For,,0,0.00%,48,69.57%,24,43.64%,72,57.60%,1,100.00%,69,100.00%,55,100.00%,125,100.00%,0,2,0,2,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
Rains County Proposition A,Absentee Voting,Early Voting,Election Day Voting,Against,,1,100.00%,21,30.43%,31,56.36%,53,42.40%,1,100.00%,69,100.00%,55,100.00%,125,100.00%,0,2,0,2,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
"Trustee, Place 3, 4 Year Term - Vote for none or one",Absentee Voting,Early Voting,Election Day Voting,Jason Hessbrook,,0,0.00%,17,25.00%,7,13.73%,24,20.17%,0,0.00%,68,100.00%,51,100.00%,119,100.00%,1,3,4,8,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
"Trustee, Place 3, 4 Year Term - Vote for none or one",Absentee Voting,Early Voting,Election Day Voting,Harlan Bearden,,0,0.00%,13,19.12%,9,17.65%,22,18.49%,0,0.00%,68,100.00%,51,100.00%,119,100.00%,1,3,4,8,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
"Trustee, Place 3, 4 Year Term - Vote for none or one",Absentee Voting,Early Voting,Election Day Voting,Jim Mack Taylor,,0,0.00%,38,55.88%,35,68.63%,73,61.34%,0,0.00%,68,100.00%,51,100.00%,119,100.00%,1,3,4,8,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
Rains County Proposition A,Absentee Voting,Early Voting,Election Day Voting,For,,0,0.00%,6,85.71%,1,100.00%,7,87.50%,0,0.00%,7,100.00%,1,100.00%,8,100.00%,0,0,0,0,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
Rains County Proposition A,Absentee Voting,Early Voting,Election Day Voting,Against,,0,0.00%,1,14.29%,0,0.00%,1,12.50%,0,0.00%,7,100.00%,1,100.00%,8,100.00%,0,0,0,0,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
"Trustee, Place 3, 4 Year Term - Vote for none or one",Absentee Voting,Early Voting,Election Day Voting,Jason Hessbrook,,0,0.00%,2,28.57%,0,0.00%,2,25.00%,0,0.00%,7,100.00%,1,100.00%,8,100.00%,0,0,0,0,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
"Trustee, Place 3, 4 Year Term - Vote for none or one",Absentee Voting,Early Voting,Election Day Voting,Harlan Bearden,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,7,100.00%,1,100.00%,8,100.00%,0,0,0,0,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
"Trustee, Place 3, 4 Year Term - Vote for none or one",Absentee Voting,Early Voting,Election Day Voting,Jim Mack Taylor,,0,0.00%,5,71.43%,1,100.00%,6,75.00%,0,0.00%,7,100.00%,1,100.00%,8,100.00%,0,0,0,0,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
