"101" ,269 ,"President" ,"NP" ,15 ,"Barack Obama" ,"NP" ,"Election Day TS" ,14 ,
"101" ,269 ,"President" ,"NP" ,15 ,"Barack Obama" ,"NP" ,"Election Day OS" ,0 ,
"101" ,269 ,"President" ,"NP" ,15 ,"Barack Obama" ,"NP" ,"Early Voting" ,0 ,
"101" ,269 ,"President" ,"NP" ,15 ,"Barack Obama" ,"NP" ,"Early Voting Mail" ,0 ,
"101" ,269 ,"President" ,"NP" ,15 ,"Barack Obama" ,"NP" ,"Early Voting" ,6 ,
"101" ,269 ,"President" ,"NP" ,15 ,"Barack Obama" ,"NP" ,"Early Voting Paper Dem" ,0 ,
"101" ,269 ,"President" ,"NP" ,15 ,"Barack Obama" ,"NP" ,"Total" ,20 ,
"101" ,269 ,"President" ,"NP" ,20 ,"Darcy G. Richardson" ,"NP" ,"Election Day TS" ,0 ,
"101" ,269 ,"President" ,"NP" ,20 ,"Darcy G. Richardson" ,"NP" ,"Election Day OS" ,0 ,
"101" ,269 ,"President" ,"NP" ,20 ,"Darcy G. Richardson" ,"NP" ,"Early Voting" ,0 ,
"101" ,269 ,"President" ,"NP" ,20 ,"Darcy G. Richardson" ,"NP" ,"Early Voting Mail" ,0 ,
"101" ,269 ,"President" ,"NP" ,20 ,"Darcy G. Richardson" ,"NP" ,"Early Voting" ,0 ,
"101" ,269 ,"President" ,"NP" ,20 ,"Darcy G. Richardson" ,"NP" ,"Early Voting Paper Dem" ,0 ,
"101" ,269 ,"President" ,"NP" ,20 ,"Darcy G. Richardson" ,"NP" ,"Total" ,0 ,
"101" ,269 ,"President" ,"NP" ,24 ,"Bob Ely" ,"NP" ,"Election Day TS" ,0 ,
"101" ,269 ,"President" ,"NP" ,24 ,"Bob Ely" ,"NP" ,"Election Day OS" ,0 ,
"101" ,269 ,"President" ,"NP" ,24 ,"Bob Ely" ,"NP" ,"Early Voting" ,0 ,
"101" ,269 ,"President" ,"NP" ,24 ,"Bob Ely" ,"NP" ,"Early Voting Mail" ,0 ,
"101" ,269 ,"President" ,"NP" ,24 ,"Bob Ely" ,"NP" ,"Early Voting" ,0 ,
"101" ,269 ,"President" ,"NP" ,24 ,"Bob Ely" ,"NP" ,"Early Voting Paper Dem" ,0 ,
"101" ,269 ,"President" ,"NP" ,24 ,"Bob Ely" ,"NP" ,"Total" ,0 ,
"101" ,269 ,"President" ,"NP" ,29 ,"John Wolfe" ,"NP" ,"Election Day TS" ,0 ,
"101" ,269 ,"President" ,"NP" ,29 ,"John Wolfe" ,"NP" ,"Election Day OS" ,0 ,
"101" ,269 ,"President" ,"NP" ,29 ,"John Wolfe" ,"NP" ,"Early Voting" ,0 ,
"101" ,269 ,"President" ,"NP" ,29 ,"John Wolfe" ,"NP" ,"Early Voting Mail" ,0 ,
"101" ,269 ,"President" ,"NP" ,29 ,"John Wolfe" ,"NP" ,"Early Voting" ,0 ,
"101" ,269 ,"President" ,"NP" ,29 ,"John Wolfe" ,"NP" ,"Early Voting Paper Dem" ,0 ,
"101" ,269 ,"President" ,"NP" ,29 ,"John Wolfe" ,"NP" ,"Total" ,0 ,
"101" ,269 ,"President" ,"NP" ,30 ,"Uncommitted" ,"NP" ,"Election Day TS" ,2 ,
"101" ,269 ,"President" ,"NP" ,30 ,"Uncommitted" ,"NP" ,"Election Day OS" ,0 ,
"101" ,269 ,"President" ,"NP" ,30 ,"Uncommitted" ,"NP" ,"Early Voting" ,0 ,
"101" ,269 ,"President" ,"NP" ,30 ,"Uncommitted" ,"NP" ,"Early Voting Mail" ,0 ,
"101" ,269 ,"President" ,"NP" ,30 ,"Uncommitted" ,"NP" ,"Early Voting" ,0 ,
"101" ,269 ,"President" ,"NP" ,30 ,"Uncommitted" ,"NP" ,"Early Voting Paper Dem" ,0 ,
"101" ,269 ,"President" ,"NP" ,30 ,"Uncommitted" ,"NP" ,"Total" ,2 ,
"101" ,270 ,"United States Senator" ,"NP" ,15 ,"Sean Hubbard" ,"NP" ,"Election Day TS" ,1 ,
"101" ,270 ,"United States Senator" ,"NP" ,15 ,"Sean Hubbard" ,"NP" ,"Election Day OS" ,0 ,
"101" ,270 ,"United States Senator" ,"NP" ,15 ,"Sean Hubbard" ,"NP" ,"Early Voting" ,0 ,
"101" ,270 ,"United States Senator" ,"NP" ,15 ,"Sean Hubbard" ,"NP" ,"Early Voting Mail" ,0 ,
"101" ,270 ,"United States Senator" ,"NP" ,15 ,"Sean Hubbard" ,"NP" ,"Early Voting" ,2 ,
"101" ,270 ,"United States Senator" ,"NP" ,15 ,"Sean Hubbard" ,"NP" ,"Early Voting Paper Dem" ,0 ,
"101" ,270 ,"United States Senator" ,"NP" ,15 ,"Sean Hubbard" ,"NP" ,"Total" ,3 ,
"101" ,270 ,"United States Senator" ,"NP" ,25 ,"Grady Yarbrough" ,"NP" ,"Election Day TS" ,4 ,
"101" ,270 ,"United States Senator" ,"NP" ,25 ,"Grady Yarbrough" ,"NP" ,"Election Day OS" ,0 ,
"101" ,270 ,"United States Senator" ,"NP" ,25 ,"Grady Yarbrough" ,"NP" ,"Early Voting" ,0 ,
"101" ,270 ,"United States Senator" ,"NP" ,25 ,"Grady Yarbrough" ,"NP" ,"Early Voting Mail" ,0 ,
"101" ,270 ,"United States Senator" ,"NP" ,25 ,"Grady Yarbrough" ,"NP" ,"Early Voting" ,3 ,
"101" ,270 ,"United States Senator" ,"NP" ,25 ,"Grady Yarbrough" ,"NP" ,"Early Voting Paper Dem" ,0 ,
"101" ,270 ,"United States Senator" ,"NP" ,25 ,"Grady Yarbrough" ,"NP" ,"Total" ,7 ,
"101" ,270 ,"United States Senator" ,"NP" ,35 ,"Paul Sadler" ,"NP" ,"Election Day TS" ,6 ,
"101" ,270 ,"United States Senator" ,"NP" ,35 ,"Paul Sadler" ,"NP" ,"Election Day OS" ,0 ,
"101" ,270 ,"United States Senator" ,"NP" ,35 ,"Paul Sadler" ,"NP" ,"Early Voting" ,0 ,
"101" ,270 ,"United States Senator" ,"NP" ,35 ,"Paul Sadler" ,"NP" ,"Early Voting Mail" ,0 ,
"101" ,270 ,"United States Senator" ,"NP" ,35 ,"Paul Sadler" ,"NP" ,"Early Voting" ,0 ,
"101" ,270 ,"United States Senator" ,"NP" ,35 ,"Paul Sadler" ,"NP" ,"Early Voting Paper Dem" ,0 ,
"101" ,270 ,"United States Senator" ,"NP" ,35 ,"Paul Sadler" ,"NP" ,"Total" ,6 ,
"101" ,270 ,"United States Senator" ,"NP" ,45 ,"Addie Dainell Allen" ,"NP" ,"Election Day TS" ,2 ,
"101" ,270 ,"United States Senator" ,"NP" ,45 ,"Addie Dainell Allen" ,"NP" ,"Election Day OS" ,0 ,
"101" ,270 ,"United States Senator" ,"NP" ,45 ,"Addie Dainell Allen" ,"NP" ,"Early Voting" ,0 ,
"101" ,270 ,"United States Senator" ,"NP" ,45 ,"Addie Dainell Allen" ,"NP" ,"Early Voting Mail" ,0 ,
"101" ,270 ,"United States Senator" ,"NP" ,45 ,"Addie Dainell Allen" ,"NP" ,"Early Voting" ,1 ,
"101" ,270 ,"United States Senator" ,"NP" ,45 ,"Addie Dainell Allen" ,"NP" ,"Early Voting Paper Dem" ,0 ,
"101" ,270 ,"United States Senator" ,"NP" ,45 ,"Addie Dainell Allen" ,"NP" ,"Total" ,3 ,
"101" ,275 ,"U.S. Rep, Dist 15" ,"NP" ,10 ,"Rubén Hinojosa" ,"NP" ,"Election Day TS" ,8 ,
"101" ,275 ,"U.S. Rep, Dist 15" ,"NP" ,10 ,"Rubén Hinojosa" ,"NP" ,"Election Day OS" ,0 ,
"101" ,275 ,"U.S. Rep, Dist 15" ,"NP" ,10 ,"Rubén Hinojosa" ,"NP" ,"Early Voting" ,0 ,
"101" ,275 ,"U.S. Rep, Dist 15" ,"NP" ,10 ,"Rubén Hinojosa" ,"NP" ,"Early Voting Mail" ,0 ,
"101" ,275 ,"U.S. Rep, Dist 15" ,"NP" ,10 ,"Rubén Hinojosa" ,"NP" ,"Early Voting" ,6 ,
"101" ,275 ,"U.S. Rep, Dist 15" ,"NP" ,10 ,"Rubén Hinojosa" ,"NP" ,"Early Voting Paper Dem" ,0 ,
"101" ,275 ,"U.S. Rep, Dist 15" ,"NP" ,10 ,"Rubén Hinojosa" ,"NP" ,"Total" ,14 ,
"101" ,275 ,"U.S. Rep, Dist 15" ,"NP" ,20 ,"Ruben Ramon Ramirez" ,"NP" ,"Election Day TS" ,1 ,
"101" ,275 ,"U.S. Rep, Dist 15" ,"NP" ,20 ,"Ruben Ramon Ramirez" ,"NP" ,"Election Day OS" ,0 ,
"101" ,275 ,"U.S. Rep, Dist 15" ,"NP" ,20 ,"Ruben Ramon Ramirez" ,"NP" ,"Early Voting" ,0 ,
"101" ,275 ,"U.S. Rep, Dist 15" ,"NP" ,20 ,"Ruben Ramon Ramirez" ,"NP" ,"Early Voting Mail" ,0 ,
"101" ,275 ,"U.S. Rep, Dist 15" ,"NP" ,20 ,"Ruben Ramon Ramirez" ,"NP" ,"Early Voting" ,0 ,
"101" ,275 ,"U.S. Rep, Dist 15" ,"NP" ,20 ,"Ruben Ramon Ramirez" ,"NP" ,"Early Voting Paper Dem" ,0 ,
"101" ,275 ,"U.S. Rep, Dist 15" ,"NP" ,20 ,"Ruben Ramon Ramirez" ,"NP" ,"Total" ,1 ,
"101" ,275 ,"U.S. Rep, Dist 15" ,"NP" ,30 ,"Johnny \"JP\" Partain" ,"NP" ,"Election Day TS" ,0 ,
"101" ,275 ,"U.S. Rep, Dist 15" ,"NP" ,30 ,"Johnny \"JP\" Partain" ,"NP" ,"Election Day OS" ,0 ,
"101" ,275 ,"U.S. Rep, Dist 15" ,"NP" ,30 ,"Johnny \"JP\" Partain" ,"NP" ,"Early Voting" ,0 ,
"101" ,275 ,"U.S. Rep, Dist 15" ,"NP" ,30 ,"Johnny \"JP\" Partain" ,"NP" ,"Early Voting Mail" ,0 ,
"101" ,275 ,"U.S. Rep, Dist 15" ,"NP" ,30 ,"Johnny \"JP\" Partain" ,"NP" ,"Early Voting" ,0 ,
"101" ,275 ,"U.S. Rep, Dist 15" ,"NP" ,30 ,"Johnny \"JP\" Partain" ,"NP" ,"Early Voting Paper Dem" ,0 ,
"101" ,275 ,"U.S. Rep, Dist 15" ,"NP" ,30 ,"Johnny \"JP\" Partain" ,"NP" ,"Total" ,0 ,
"101" ,275 ,"U.S. Rep, Dist 15" ,"NP" ,40 ,"David Cantu" ,"NP" ,"Election Day TS" ,2 ,
"101" ,275 ,"U.S. Rep, Dist 15" ,"NP" ,40 ,"David Cantu" ,"NP" ,"Election Day OS" ,0 ,
"101" ,275 ,"U.S. Rep, Dist 15" ,"NP" ,40 ,"David Cantu" ,"NP" ,"Early Voting" ,0 ,
"101" ,275 ,"U.S. Rep, Dist 15" ,"NP" ,40 ,"David Cantu" ,"NP" ,"Early Voting Mail" ,0 ,
"101" ,275 ,"U.S. Rep, Dist 15" ,"NP" ,40 ,"David Cantu" ,"NP" ,"Early Voting" ,0 ,
"101" ,275 ,"U.S. Rep, Dist 15" ,"NP" ,40 ,"David Cantu" ,"NP" ,"Early Voting Paper Dem" ,0 ,
"101" ,275 ,"U.S. Rep, Dist 15" ,"NP" ,40 ,"David Cantu" ,"NP" ,"Total" ,2 ,
"101" ,275 ,"U.S. Rep, Dist 15" ,"NP" ,50 ,"Jane Cross" ,"NP" ,"Election Day TS" ,2 ,
"101" ,275 ,"U.S. Rep, Dist 15" ,"NP" ,50 ,"Jane Cross" ,"NP" ,"Election Day OS" ,0 ,
"101" ,275 ,"U.S. Rep, Dist 15" ,"NP" ,50 ,"Jane Cross" ,"NP" ,"Early Voting" ,0 ,
"101" ,275 ,"U.S. Rep, Dist 15" ,"NP" ,50 ,"Jane Cross" ,"NP" ,"Early Voting Mail" ,0 ,
"101" ,275 ,"U.S. Rep, Dist 15" ,"NP" ,50 ,"Jane Cross" ,"NP" ,"Early Voting" ,0 ,
"101" ,275 ,"U.S. Rep, Dist 15" ,"NP" ,50 ,"Jane Cross" ,"NP" ,"Early Voting Paper Dem" ,0 ,
"101" ,275 ,"U.S. Rep, Dist 15" ,"NP" ,50 ,"Jane Cross" ,"NP" ,"Total" ,2 ,
"101" ,280 ,"Railroad Commissioner" ,"NP" ,20 ,"Dale Henry" ,"NP" ,"Election Day TS" ,11 ,
"101" ,280 ,"Railroad Commissioner" ,"NP" ,20 ,"Dale Henry" ,"NP" ,"Election Day OS" ,0 ,
"101" ,280 ,"Railroad Commissioner" ,"NP" ,20 ,"Dale Henry" ,"NP" ,"Early Voting" ,0 ,
"101" ,280 ,"Railroad Commissioner" ,"NP" ,20 ,"Dale Henry" ,"NP" ,"Early Voting Mail" ,0 ,
"101" ,280 ,"Railroad Commissioner" ,"NP" ,20 ,"Dale Henry" ,"NP" ,"Early Voting" ,6 ,
"101" ,280 ,"Railroad Commissioner" ,"NP" ,20 ,"Dale Henry" ,"NP" ,"Early Voting Paper Dem" ,0 ,
"101" ,280 ,"Railroad Commissioner" ,"NP" ,20 ,"Dale Henry" ,"NP" ,"Total" ,17 ,
"101" ,282 ,"Justice, Supreme Ct, Pl. 6" ,"NP" ,10 ,"Michele Petty" ,"NP" ,"Election Day TS" ,11 ,
"101" ,282 ,"Justice, Supreme Ct, Pl. 6" ,"NP" ,10 ,"Michele Petty" ,"NP" ,"Election Day OS" ,0 ,
