political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,Pct_seq_nbr,reg_voters,Contest_Id,precinct number,Contest_seq_nbr,Contest_title,candidate_id,candidate_name,party code,total_ballots,total_votes,total_under_votes,total_over_votes,absentee_ballots,early_votes,election_ballots,election_votes
Republican,7/31/2012,Primary party election runoff 7/31/2012,0,0,1,1948,2,Precinct 1,6,United States Senator,3,David Dewhurst,REP,156,87,1,0,0,56,73,31
Republican,7/31/2012,Primary party election runoff 7/31/2012,0,0,1,1948,2,Precinct 1,6,United States Senator,7,Ted Cruz,REP,156,60,1,0,0,19,73,41
Republican,7/31/2012,Primary party election runoff 7/31/2012,0,0,1,1948,38,Precinct 1,8,Railroad Commissioner,5,Warren Chisum,REP,156,74,21,0,0,36,73,38
Republican,7/31/2012,Primary party election runoff 7/31/2012,0,0,1,1948,38,Precinct 1,8,Railroad Commissioner,6,Christi Craddick,REP,156,53,21,0,0,32,73,21
Republican,7/31/2012,Primary party election runoff 7/31/2012,0,0,1,1948,81,Precinct 1,9,"Railroad Commissioner, Unexpired Term",1,Greg Parker,REP,156,69,27,0,0,39,73,30
Republican,7/31/2012,Primary party election runoff 7/31/2012,0,0,1,1948,81,Precinct 1,9,"Railroad Commissioner, Unexpired Term",4,Barry Smitherman,REP,156,52,27,0,0,24,73,28
Republican,7/31/2012,Primary party election runoff 7/31/2012,0,0,1,1948,40,Precinct 1,11,"Justice, Supreme Court, Place 4",3,John Devine,REP,156,68,28,0,0,35,73,33
Republican,7/31/2012,Primary party election runoff 7/31/2012,0,0,1,1948,40,Precinct 1,11,"Justice, Supreme Court, Place 4",1,David Medina,REP,156,52,28,0,0,27,73,25
Republican,7/31/2012,Primary party election runoff 7/31/2012,0,0,1,1948,46,Precinct 1,18,State Representative District 68,2,Trent McKnight,REP,156,113,3,0,0,61,73,52
Republican,7/31/2012,Primary party election runoff 7/31/2012,0,0,1,1948,46,Precinct 1,18,State Representative District 68,1,Drew Springer,REP,156,32,3,0,0,14,73,18
Democratic,7/31/2012,Primary party election runoff 7/31/2012,0,0,1,1948,53,Precinct 1,31,United States Senator,1,Paul Sadler,DEM,156,0,2,0,0,0,73,0
Democratic,7/31/2012,Primary party election runoff 7/31/2012,0,0,1,1948,53,Precinct 1,31,United States Senator,3,Grady Yarbrough,DEM,156,6,2,0,0,5,73,1
Republican,7/31/2012,Primary party election runoff 7/31/2012,0,0,2,780,2,Precinct 7,6,United States Senator,3,David Dewhurst,REP,52,27,1,0,0,19,26,8
