999999 ,"Election Total" ,30 ,"United States Senator" ,"NP" ,999997 ,"Registered Voters" ,"NP" ,"Total" ,75869 ,
999999 ,"Election Total" ,30 ,"United States Senator" ,"NP" ,999996 ,"Times Counted" ,"NP" ,"Total" ,10323 ,
999999 ,"Election Total" ,30 ,"United States Senator" ,"NP" ,999995 ,"Times Blank Voted" ,"NP" ,"Total" ,199 ,
999999 ,"Election Total" ,30 ,"United States Senator" ,"NP" ,20 ,"Ted Cruz" ,"NP" ,"Total" ,5607 ,
999999 ,"Election Total" ,30 ,"United States Senator" ,"NP" ,25 ,"David Dewhurst" ,"NP" ,"Total" ,4517 ,
999999 ,"Election Total" ,40 ,"U.S. Rep, Dist 15" ,"NP" ,999997 ,"Registered Voters" ,"NP" ,"Total" ,61467 ,
999999 ,"Election Total" ,40 ,"U.S. Rep, Dist 15" ,"NP" ,999996 ,"Times Counted" ,"NP" ,"Total" ,8611 ,
999999 ,"Election Total" ,40 ,"U.S. Rep, Dist 15" ,"NP" ,999995 ,"Times Blank Voted" ,"NP" ,"Total" ,757 ,
999999 ,"Election Total" ,40 ,"U.S. Rep, Dist 15" ,"NP" ,5 ,"Dale A. Brueggemann" ,"NP" ,"Total" ,4933 ,
999999 ,"Election Total" ,40 ,"U.S. Rep, Dist 15" ,"NP" ,9 ,"Eddie Zamora" ,"NP" ,"Total" ,2921 ,
999999 ,"Election Total" ,50 ,"Railroad Commissioner" ,"NP" ,999997 ,"Registered Voters" ,"NP" ,"Total" ,75869 ,
999999 ,"Election Total" ,50 ,"Railroad Commissioner" ,"NP" ,999996 ,"Times Counted" ,"NP" ,"Total" ,10322 ,
999999 ,"Election Total" ,50 ,"Railroad Commissioner" ,"NP" ,999995 ,"Times Blank Voted" ,"NP" ,"Total" ,1359 ,
999999 ,"Election Total" ,50 ,"Railroad Commissioner" ,"NP" ,25 ,"Christi Craddick" ,"NP" ,"Total" ,4815 ,
999999 ,"Election Total" ,50 ,"Railroad Commissioner" ,"NP" ,30 ,"Warren Chisum" ,"NP" ,"Total" ,4148 ,
999999 ,"Election Total" ,53 ,"Railroad Commissioner-Unexpired Term" ,"NP" ,999997 ,"Registered Voters" ,"NP" ,"Total" ,75869 ,
999999 ,"Election Total" ,53 ,"Railroad Commissioner-Unexpired Term" ,"NP" ,999996 ,"Times Counted" ,"NP" ,"Total" ,10323 ,
999999 ,"Election Total" ,53 ,"Railroad Commissioner-Unexpired Term" ,"NP" ,999995 ,"Times Blank Voted" ,"NP" ,"Total" ,1492 ,
999999 ,"Election Total" ,53 ,"Railroad Commissioner-Unexpired Term" ,"NP" ,25 ,"Barry Smitherman" ,"NP" ,"Total" ,5751 ,
999999 ,"Election Total" ,53 ,"Railroad Commissioner-Unexpired Term" ,"NP" ,30 ,"Greg Parker" ,"NP" ,"Total" ,3080 ,
999999 ,"Election Total" ,60 ,"Just, Sup Ct, Pl 4" ,"NP" ,999997 ,"Registered Voters" ,"NP" ,"Total" ,75869 ,
999999 ,"Election Total" ,60 ,"Just, Sup Ct, Pl 4" ,"NP" ,999996 ,"Times Counted" ,"NP" ,"Total" ,10323 ,
999999 ,"Election Total" ,60 ,"Just, Sup Ct, Pl 4" ,"NP" ,999995 ,"Times Blank Voted" ,"NP" ,"Total" ,1723 ,
999999 ,"Election Total" ,60 ,"Just, Sup Ct, Pl 4" ,"NP" ,20 ,"David Medina" ,"NP" ,"Total" ,3301 ,
999999 ,"Election Total" ,60 ,"Just, Sup Ct, Pl 4" ,"NP" ,25 ,"John Devine" ,"NP" ,"Total" ,5299 ,
999999 ,"Election Total" ,85 ,"State Senator, Dist 25" ,"NP" ,999997 ,"Registered Voters" ,"NP" ,"Total" ,48534 ,
999999 ,"Election Total" ,85 ,"State Senator, Dist 25" ,"NP" ,999996 ,"Times Counted" ,"NP" ,"Total" ,6111 ,
999999 ,"Election Total" ,85 ,"State Senator, Dist 25" ,"NP" ,999995 ,"Times Blank Voted" ,"NP" ,"Total" ,87 ,
999999 ,"Election Total" ,85 ,"State Senator, Dist 25" ,"NP" ,20 ,"Donna Campbell" ,"NP" ,"Total" ,4282 ,
999999 ,"Election Total" ,85 ,"State Senator, Dist 25" ,"NP" ,25 ,"Jeff Wentworth" ,"NP" ,"Total" ,1742 ,
999999 ,"Election Total" ,155 ,"Dist Jdg, 25th Jud Dist" ,"NP" ,999997 ,"Registered Voters" ,"NP" ,"Total" ,75869 ,
999999 ,"Election Total" ,155 ,"Dist Jdg, 25th Jud Dist" ,"NP" ,999996 ,"Times Counted" ,"NP" ,"Total" ,10323 ,
999999 ,"Election Total" ,155 ,"Dist Jdg, 25th Jud Dist" ,"NP" ,999995 ,"Times Blank Voted" ,"NP" ,"Total" ,637 ,
999999 ,"Election Total" ,155 ,"Dist Jdg, 25th Jud Dist" ,"NP" ,20 ,"Kevin Kolb" ,"NP" ,"Total" ,4518 ,
999999 ,"Election Total" ,155 ,"Dist Jdg, 25th Jud Dist" ,"NP" ,25 ,"Bill Old" ,"NP" ,"Total" ,5168 ,
999999 ,"Election Total" ,200 ,"Commissioner, Pct 1" ,"NP" ,999997 ,"Registered Voters" ,"NP" ,"Total" ,19735 ,
999999 ,"Election Total" ,200 ,"Commissioner, Pct 1" ,"NP" ,999996 ,"Times Counted" ,"NP" ,"Total" ,3988 ,
999999 ,"Election Total" ,200 ,"Commissioner, Pct 1" ,"NP" ,999995 ,"Times Blank Voted" ,"NP" ,"Total" ,208 ,
999999 ,"Election Total" ,200 ,"Commissioner, Pct 1" ,"NP" ,15 ,"Robin Walker" ,"NP" ,"Total" ,1837 ,
999999 ,"Election Total" ,200 ,"Commissioner, Pct 1" ,"NP" ,20 ,"Greg Seidenberger" ,"NP" ,"Total" ,1943 ,
999999 ,"Election Total" ,250 ,"Constable, Pct 3" ,"NP" ,999997 ,"Registered Voters" ,"NP" ,"Total" ,21052 ,
999999 ,"Election Total" ,250 ,"Constable, Pct 3" ,"NP" ,999996 ,"Times Counted" ,"NP" ,"Total" ,2491 ,
999999 ,"Election Total" ,250 ,"Constable, Pct 3" ,"NP" ,999995 ,"Times Blank Voted" ,"NP" ,"Total" ,325 ,
999999 ,"Election Total" ,250 ,"Constable, Pct 3" ,"NP" ,10 ,"Michael Skrobarcek" ,"NP" ,"Total" ,1164 ,
