Contest,PrecinctName,VotingType,Choice,Party,Votes,VotesPercent,TotalVotes,TotalVotesPercent,CastTotal,CastTotalPercent,MainTotal,MainTotalPercent,UnderVotes,TotalUnderVotes,OverVotes,TotalOverVotes,InvalidVotes,TotalInvalidVotes,RejectedWriteInVotes,TotalRejectedWriteInVotes,UnresolvedWriteInVotes,TotalUnresolvedWriteInVotes
United States Senator - Republican Party,121,Absentee Voting,Ted Cruz,,53,84.13%,455,86.01%,63,100.00%,529,100.00%,4,16,0,0,0,0,0,0,0,0
United States Senator - Republican Party,121,Early Voting,Ted Cruz,,223,84.15%,455,86.01%,265,100.00%,529,100.00%,6,16,0,0,0,0,0,0,0,0
United States Senator - Republican Party,121,Election Day Voting,Ted Cruz,,179,89.05%,455,86.01%,201,100.00%,529,100.00%,6,16,0,0,0,0,0,0,0,0
United States Senator - Republican Party,121,Absentee Voting,"Bruce Jacobson, Jr.",,4,6.35%,24,4.54%,63,100.00%,529,100.00%,4,16,0,0,0,0,0,0,0,0
United States Senator - Republican Party,121,Early Voting,"Bruce Jacobson, Jr.",,13,4.91%,24,4.54%,265,100.00%,529,100.00%,6,16,0,0,0,0,0,0,0,0
United States Senator - Republican Party,121,Election Day Voting,"Bruce Jacobson, Jr.",,7,3.48%,24,4.54%,201,100.00%,529,100.00%,6,16,0,0,0,0,0,0,0,0
United States Senator - Republican Party,121,Absentee Voting,Mary Miller,,3,4.76%,32,6.05%,63,100.00%,529,100.00%,4,16,0,0,0,0,0,0,0,0
United States Senator - Republican Party,121,Early Voting,Mary Miller,,21,7.92%,32,6.05%,265,100.00%,529,100.00%,6,16,0,0,0,0,0,0,0,0
United States Senator - Republican Party,121,Election Day Voting,Mary Miller,,8,3.98%,32,6.05%,201,100.00%,529,100.00%,6,16,0,0,0,0,0,0,0,0
United States Senator - Republican Party,121,Absentee Voting,Geraldine Sam,,0,0.00%,6,1.13%,63,100.00%,529,100.00%,4,16,0,0,0,0,0,0,0,0
United States Senator - Republican Party,121,Early Voting,Geraldine Sam,,3,1.13%,6,1.13%,265,100.00%,529,100.00%,6,16,0,0,0,0,0,0,0,0
United States Senator - Republican Party,121,Election Day Voting,Geraldine Sam,,3,1.49%,6,1.13%,201,100.00%,529,100.00%,6,16,0,0,0,0,0,0,0,0
