Political_subdivision,Election_date,Election_name,Total Prov Ballots,Total Prov Counted,Precinct_number,Reg_Voters,Race_name,Candidate_name,Party_code,Early_Votes,Election_votes
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,12,9,101,489,United States Senator,Beto O'Rourke,DEM,4,2
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,United States Senator,Edward Kimbrough,DEM,1,0
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,United States Senator,Sema Hernandez,DEM,9,5
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,"United States Representative, District No. 27",Ronnie McDonald,DEM,1,0
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,"United States Representative, District No. 27",Raul (Roy) Barrera,DEM,11,6
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,"United States Representative, District No. 27",Vanessa Edwards Foster,DEM,0,1
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,"United States Representative, District No. 27",Eric Holguin,DEM,2,0
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,Governor,"Cedric Davis, Sr.",DEM,1,1
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,Governor,Adrian Ocegueda,DEM,0,1
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,Governor,Lupe Valdez,DEM,8,4
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,Governor,Joe Mumbach,DEM,1,0
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,Governor,Tom Wakely,DEM,1,0
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,Governor,Andrew White,DEM,1,1
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,Governor,Grady Yarbrough,DEM,2,0
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,Governor,James Jolly Clark,DEM,0,0
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,Governor,Jeffrey Payne,DEM,0,0
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,Lieutenant Governor,Mike Collier,DEM,10,1
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,Lieutenant Governor,Michael Cooper,DEM,4,6
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,Attorney General,Justin Nelson,DEM,12,6
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,Comptroller of Public Accounts,Joi Chevalier,DEM,1,3
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,Comptroller of Public Accounts,Tim Mahoney,DEM,13,3
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,Commissioner of the General Land Office,Miguel Suazo,DEM,14,6
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,Commissioner of the General Land Office,Tex Morgan,DEM,0,1
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,Commissioner of Agriculture,Kim Olson,DEM,10,6
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,Railroad Commissioner,Roman McAllen,DEM,9,4
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,Railroad Commissioner,Chris Spellmon,DEM,5,3
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,"Justice, Supreme Court, Place 2",Steven Kirkland,DEM,11,6
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,"Justice, Supreme Court, Place 4",R.K. Sandill,DEM,11,6
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,"Justice, Supreme Court, Place 6",Kathy Cheng,DEM,11,6
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,"Presiding Judge, Court of Criminal Appeals",Maria T. (Terri) Jackson,DEM,11,6
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,"Judge, Court of Criminal Appeals, Place 7",Ramona Franklin,DEM,11,6
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,"Member, State Board of Education, District No. 2",Michelle Arévalo Dávila,DEM,7,5
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,"Member, State Board of Education, District No. 2","Ruben Cortez, Jr.",DEM,7,2
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,"State Representative,
District No. 43",Dee Ann Torres Miller,DEM,11,6
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,"Chief Justice, 13th Court of Appeals District",Ray Thomas,DEM,3,1
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,"Chief Justice, 13th Court of Appeals District",Dori Contreras,DEM,11,6
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,"Justice, 13th Court of Appeals District, Place No. 2",Nora Longoria,DEM,11,7
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,"Justice, 13th Court of Appeals District, Place No. 4",Rudy Delgado,DEM,10,6
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,"Justice, 13th Court of Appeals District, Place No. 5",Gina Benavides,DEM,11,6
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,County Clerk,Gracie Alaniz-Gonzales,DEM,11,7
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,"Justice of the Peace,
Precinct No. 2","Daniel ""Danny"" Garza",DEM,11,7
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,Proposition #1,Yes,DEM,12,6
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,Proposition #1,No,DEM,1,1
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,Proposition #2,Yes,DEM,13,7
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,Proposition #2,No,DEM,0,0
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,Proposition #3,Yes,DEM,13,7
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,Proposition #3,No,DEM,1,0
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,Proposition #4,Yes,DEM,14,7
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,Proposition #4,No,DEM,0,0
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,Proposition #5,Yes,DEM,13,6
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,Proposition #5,No,DEM,0,1
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,Proposition #6,Yes,DEM,14,6
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,Proposition #6,No,DEM,0,0
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,Proposition #7,Yes,DEM,14,7
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,Proposition #7,No,DEM,0,0
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,Proposition #8,Yes,DEM,13,6
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,Proposition #8,No,DEM,1,1
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,Proposition #9,Yes,DEM,14,6
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,Proposition #9,No,DEM,0,0
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,Proposition #10,Yes,DEM,13,6
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,Proposition #10,No,DEM,0,0
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,Proposition #11,Yes,DEM,14,6
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,Proposition #11,No,DEM,0,0
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,Proposition #12,Yes,DEM,14,6
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,101,489,Proposition #12,No,DEM,0,0
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,United States Senator,Beto O'Rourke,DEM,13,47
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,United States Senator,Edward Kimbrough,DEM,5,8
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,United States Senator,Sema Hernandez,DEM,30,47
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,"United States Representative, District No. 34",Filemon B. Vela,DEM,44,94
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,Governor,"Cedric Davis, Sr.",DEM,2,6
San Patricio County,3/6/2018,DEMOCRATIC PRIMARY,,,102,2500,Governor,Adrian Ocegueda,DEM,3,5
