Political Subdivision,Election Date,Election Name,Total Provisional Ballots,Total Provional Ballots Counted,Precinct Number,Reg Voters,Race Name,Candidate Name,Party Code,Early Votes,Election Votes
Burleson County,3/6/2018,Democrat Primary,0,0,113,660,United States Senator  ,Beto O'Rourke,DEM,4,3
Burleson County,3/6/2018,Democrat Primary,0,0,113,660,United States Senator  ,Edward Kimbrough,DEM,6,1
Burleson County,3/6/2018,Democrat Primary,0,0,113,660,United States Senator  ,Sema Hernandez,DEM,2,0
Burleson County,3/6/2018,Democrat Primary,0,0,113,660,"United States Representative, District No. 17  ",Dale Mantey,DEM,3,2
Burleson County,3/6/2018,Democrat Primary,0,0,113,660,"United States Representative, District No. 17  ",Rick Kennedy,DEM,9,2
Burleson County,3/6/2018,Democrat Primary,0,0,113,660,Governor  ,Grady Yarbrough,DEM,3,0
Burleson County,3/6/2018,Democrat Primary,0,0,113,660,Governor  ,Jeffrey Payne,DEM,2,1
Burleson County,3/6/2018,Democrat Primary,0,0,113,660,Governor  ,Adrian Ocegueda,DEM,1,0
Burleson County,3/6/2018,Democrat Primary,0,0,113,660,Governor  ,Andrew White,DEM,3,3
Burleson County,3/6/2018,Democrat Primary,0,0,113,660,Governor  ,"Cedric Davis, Sr.",DEM,1,0
Burleson County,3/6/2018,Democrat Primary,0,0,113,660,Governor  ,Lupe Valdez,DEM,0,0
Burleson County,3/6/2018,Democrat Primary,0,0,113,660,Governor  ,Tom Wakely,DEM,1,0
Burleson County,3/6/2018,Democrat Primary,0,0,113,660,Governor  ,Joe Mumbach,DEM,0,0
Burleson County,3/6/2018,Democrat Primary,0,0,113,660,Governor  ,James Jolly Clark,DEM,1,0
Burleson County,3/6/2018,Democrat Primary,0,0,113,660,Lieutenant Governor  ,Mike Collier,DEM,7,3
Burleson County,3/6/2018,Democrat Primary,0,0,113,660,Lieutenant Governor  ,Michael Cooper,DEM,5,1
Burleson County,3/6/2018,Democrat Primary,0,0,113,660,Attorney General  ,Justin Nelson,DEM,12,4
Burleson County,3/6/2018,Democrat Primary,0,0,113,660,Comptroller of Public Accounts  ,Tim Mahoney,DEM,10,3
Burleson County,3/6/2018,Democrat Primary,0,0,113,660,Comptroller of Public Accounts  ,Joi Chevalier,DEM,2,1
Burleson County,3/6/2018,Democrat Primary,0,0,113,660,Commissioner of the General Land Office  ,Miguel Suazo,DEM,1,1
Burleson County,3/6/2018,Democrat Primary,0,0,113,660,Commissioner of the General Land Office  ,Tex Morgan,DEM,10,3
Burleson County,3/6/2018,Democrat Primary,0,0,113,660,Commissioner of Agriculture  ,Kim Olson,DEM,11,4
Burleson County,3/6/2018,Democrat Primary,0,0,113,660,Railroad Commissioner  ,Chris Spellmon,DEM,10,2
Burleson County,3/6/2018,Democrat Primary,0,0,113,660,Railroad Commissioner  ,Roman McAllen,DEM,2,2
Burleson County,3/6/2018,Democrat Primary,0,0,113,660,"Justice, Supreme Court, Place 2  ",Steven Kirkland,DEM,12,4
Burleson County,3/6/2018,Democrat Primary,0,0,113,660,"Justice, Supreme Court, Place 4  ",R.K. Sandill,DEM,12,4
Burleson County,3/6/2018,Democrat Primary,0,0,113,660,"Justice, Supreme Court, Place 6  ",Kathy Cheng,DEM,12,4
Burleson County,3/6/2018,Democrat Primary,0,0,113,660,"Presiding Judge, Court of Criminal Appeals  ",Maria T. (Terri) Jackson,DEM,12,4
Burleson County,3/6/2018,Democrat Primary,0,0,113,660,"Judge, Court of Criminal Appeals, Place 7  ",Ramona Franklin,DEM,12,4
Burleson County,3/6/2018,Democrat Primary,0,0,113,660,"State Representative, District No. 13  ","Cecil Ray Webster, Sr.",DEM,11,4
Burleson County,3/6/2018,Democrat Primary,0,0,113,660,County Chairman  ,Linda R. Arbuckle,DEM,12,4
Burleson County,3/6/2018,Democrat Primary,0,0,113,660,Proposition #1 Right to a 21st Century Public Education:  ,Yes,DEM,11,4
Burleson County,3/6/2018,Democrat Primary,0,0,113,660,Proposition #1 Right to a 21st Century Public Education:  ,No,DEM,0,0
Burleson County,3/6/2018,Democrat Primary,0,0,113,660,Proposition #2 Student Loan Debt:  ,Yes,DEM,9,3
Burleson County,3/6/2018,Democrat Primary,0,0,113,660,Proposition #2 Student Loan Debt:  ,No,DEM,2,1
Burleson County,3/6/2018,Democrat Primary,0,0,113,660,Proposition #3 Right to Healthcare:  ,Yes,DEM,10,4
Burleson County,3/6/2018,Democrat Primary,0,0,113,660,Proposition #3 Right to Healthcare:  ,No,DEM,1,0
Burleson County,3/6/2018,Democrat Primary,0,0,113,660,Proposition #4 Right to Economic Security:  ,Yes,DEM,10,4
Burleson County,3/6/2018,Democrat Primary,0,0,113,660,Proposition #4 Right to Economic Security:  ,No,DEM,1,0
Burleson County,3/6/2018,Democrat Primary,0,0,113,660,Proposition #5 National Jobs Program:  ,Yes,DEM,11,4
