	P	ection				
	Y	"nty, Texas"				
	M	18				
Run Date:03/22/18 12:38 PM	S					
0001 PRECINCT 101						
TOTA	L VOTES	EV Plains	EV Den. City	EV	ED Plains	ED Den.City
						
REGISTERED VOTERS - TOTAL .  .  .  .  .  .	"1,069"					
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .	270	13	166	179	0	91
BALLOTS CAST - REPUBLICAN PARTY .  .  .  .	270	13	166	179	0	91
BALLOTS CAST - DEMOCRATIC PARTY .  .  .  .	0	0	0	0	0	0
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .				0		
				0		
0001 PRECINCT 101				0		
TOTA	L VOTES	EV Plains	EV Den. City	#VALUE!	ED Plains	ED Den.City
				0		
United States Senator				0		
Vote for  1				0		
Ted Cruz.  .  .  .  .  .  .  .  .  .  .  .	221	8	137	145	0	76
Geraldine Sam .  .  .  .  .  .  .  .  .  .	4	0	4	4	0	0
"Bruce Jacobson, Jr. .  .  .  .  .  .  .  ."	6	2	3	5	0	1
Stefano de Stefano  .  .  .  .  .  .  .  .	1	0	0	0	0	1
Mary Miller.  .  .  .  .  .  .  .  .  .  .	13	1	8	9	0	4
Total .  .  .  .  .  .  .  .  .  .	245	11	152	163	0	82
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	25	2	14	16	0	9
				0		
				0		
"US Representative, District 19"				0		
Vote for  1				0		
Jodey Arrington  .  .  .  .  .  .  .  .  .	214	7	135	142	0	72
Total .  .  .  .  .  .  .  .  .  .	214	7	135	142	0	72
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	56	6	31	37	0	19
				0		
				0		
Governor				0		
Vote for  1				0		
Greg Abbott.  .  .  .  .  .  .  .  .  .  .	195	8	121	129	0	66
SECEDE Kilgore.  .  .  .  .  .  .  .  .  .	13	0	8	8	0	5
Barbara Krueger  .  .  .  .  .  .  .  .  .	26	2	16	18	0	8
Total .  .  .  .  .  .  .  .  .  .	234	10	145	155	0	79
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	36	3	21	24	0	12
				0		
				0		
Lieutenant Governor				0		
Vote for  1				0		
Scott Milder  .  .  .  .  .  .  .  .  .  .	89	3	55	58	0	31
Dan Patrick.  .  .  .  .  .  .  .  .  .  .	146	7	89	96	0	50
Total .  .  .  .  .  .  .  .  .  .	235	10	144	154	0	81
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	35	3	22	25	0	10
				0		
				0		
Attorney General				0		
Vote for  1				0		
Ken Paxton .  .  .  .  .  .  .  .  .  .  .	206	7	129	136	0	70
Total .  .  .  .  .  .  .  .  .  .	206	7	129	136	0	70
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	64	6	37	43	0	21
				0		
				0		
Comptroller of Public Accounts				0		
Vote for  1				0		
Glenn Hegar.  .  .  .  .  .  .  .  .  .  .	196	6	126	132	0	64
Total .  .  .  .  .  .  .  .  .  .	196	6	126	132	0	64
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	74	7	40	47	0	27
0001 PRECINCT 101				0		
TOTA	L VOTES	EV Plains	EV Den. City	#VALUE!	ED Plains	ED Den.City
				0		
Commissioner of the General Land Office				0		
Vote for  1				0		
Davey Edwards .  .  .  .  .  .  .  .  .  .	16	1	10	11	0	5
Jerry Patterson  .  .  .  .  .  .  .  .  .	54	0	29	29	0	25
Rick Range .  .  .  .  .  .  .  .  .  .  .	8	3	2	5	0	3
George P. Bush.  .  .  .  .  .  .  .  .  .	153	6	102	108	0	45
Total .  .  .  .  .  .  .  .  .  .	231	10	143	153	0	78
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	39	3	23	26	0	13
				0		
				0		
Commissioner of Agriculture				0		
Vote for  1				0		
Sid Miller .  .  .  .  .  .  .  .  .  .  .	121	6	70	76	0	45
Jim Hogan  .  .  .  .  .  .  .  .  .  .  .	58	1	38	39	0	19
Trey Blocker  .  .  .  .  .  .  .  .  .  .	41	2	28	30	0	11
Total .  .  .  .  .  .  .  .  .  .	220	9	136	145	0	75
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	50	4	30	34	0	16
				0		
				0		
Railroad Commissioner				0		
Vote for  1				0		
Weston Martinez  .  .  .  .  .  .  .  .  .	74	2	43	45	0	29
Christi Craddick .  .  .  .  .  .  .  .  .	145	9	90	99	0	46
Total .  .  .  .  .  .  .  .  .  .	219	11	133	144	0	75
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	51	2	33	35	0	16
				0		
				0		
"Justice, Supreme Court, Place 2"				0		
Vote for  1				0		
Jimmy Blacklock  .  .  .  .  .  .  .  .  .	193	7	119	126	0	67
Total .  .  .  .  .  .  .  .  .  .	193	7	119	126	0	67
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	77	6	47	53	0	24
				0		
				0		
"Justice, Supreme Court, Place 4"				0		
Vote for  1				0		
John Devine.  .  .  .  .  .  .  .  .  .  .	195	7	119	126	0	69
Total .  .  .  .  .  .  .  .  .  .	195	7	119	126	0	69
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	75	6	47	53	0	22
				0		
				0		
"Justice, Supreme Court, Place 6"				0		
Vote for  1				0		
Jeff Brown .  .  .  .  .  .  .  .  .  .  .	193	7	119	126	0	67
Total .  .  .  .  .  .  .  .  .  .	193	7	119	126	0	67
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	77	6	47	53	0	24
0001 PRECINCT 101				0		
TOTA	L VOTES	EV Plains	EV Den. City	#VALUE!	ED Plains	ED Den.City
				0		
"Presiding Judge, Ct of Criminal Appeals"				0		
Vote for  1				0		
David Bridges .  .  .  .  .  .  .  .  .  .	120	6	61	67	0	53
Sharon Keller .  .  .  .  .  .  .  .  .  .	89	2	65	67	0	22
Total .  .  .  .  .  .  .  .  .  .	209	8	126	134	0	75
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	61	5	40	45	0	16
				0		
				0		
"Judge, Court of Criminal Appeals, Pl 7"				0		
Vote for  1				0		
Barbara Parker Hervey  .  .  .  .  .  .  .	190	7	115	122	0	68
Total .  .  .  .  .  .  .  .  .  .	190	7	115	122	0	68
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	80	6	51	57	0	23
				0		
				0		
"Judge, Court of Criminal Appeals, Pl 8"				0		
Vote for  1				0		
Michelle Slaughter  .  .  .  .  .  .  .  .	102	3	63	66	0	36
Jay Brandon.  .  .  .  .  .  .  .  .  .  .	73	3	48	51	0	22
Dib Waldrip.  .  .  .  .  .  .  .  .  .  .	31	3	14	17	0	14
Total .  .  .  .  .  .  .  .  .  .	206	9	125	134	0	72
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	64	4	41	45	0	19
				0		
				0		
"State Senator, District 31"				0		
Vote for  1				0		
Victor Leal.  .  .  .  .  .  .  .  .  .  .	36	2	20	22	0	14
Mike Canon .  .  .  .  .  .  .  .  .  .  .	79	3	47	50	0	29
Kel Seliger.  .  .  .  .  .  .  .  .  .  .	125	7	79	86	0	39
