political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,party code,early_votes,election_votes,Absentee Voting Votes,Early Voting Votes
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,United States Senator,Sema Hernandez,DEM,97,71,3,94
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,United States Senator,Edward Kimbrough,DEM,40,24,1,16
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,United States Senator,Beto O'Rourke,DEM,182,87,5,95
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,"United States Representative, District No. 28",Henry Cuellar,DEM,408,195,8,213
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,Governor,James Jolly Clark,DEM,17,8,0,9
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,Governor,"Cedric Davis, Sr.",DEM,5,2,1,3
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,Governor,Joe Mumbach,DEM,9,7,0,2
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,Governor,Adrian Ocegueda,DEM,53,31,1,22
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,Governor,Jeffrey Payne,DEM,17,6,0,11
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,Governor,Lupe Valdez,DEM,176,83,2,93
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,Governor,Tom Wakely,DEM,4,1,0,3
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,Governor,Andrew White,DEM,23,10,4,13
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,Governor,Grady Yarbrough,DEM,31,16,1,15
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,Lieutenant Governor,Mike Collier,DEM,122,64,2,58
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,Lieutenant Governor,Michael Cooper,DEM,188,84,6,104
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,Attorney General,Justin Nelson,DEM,280,135,8,145
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,Comptroller of Public Accounts,Joi Chevalier,DEM,82,47,2,35
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,Comptroller of Public Accounts,Tim Mahoney,DEM,214,97,7,117
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,Commissioner of the General Land Office,Tex Morgan,DEM,67,30,2,37
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,Commissioner of the General Land Office,Miguel Suazo,DEM,265,131,7,134
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,Commissioner of Agriculture,Kim Olson,DEM,266,128,8,138
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,Railroad Commissioner,Chris Spellmon,DEM,93,43,1,50
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,Railroad Commissioner,Roman McAllen,DEM,209,100,8,109
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,"Justice, Supreme Court, Place 2",Steven Kirkland,DEM,264,131,7,133
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,"Justice, Supreme Court, Place 4",R.K. Sandill,DEM,253,126,8,127
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,"Justice, Supreme Court, Place 6",Kathy Cheng,DEM,256,127,8,129
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,"Presiding Judge, Court of Criminal Appeals",Maria T. (Terri) Jackson,DEM,272,131,8,141
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,"Judge, Court of Criminal Appeals, Place 7",Ramona Franklin,DEM,267,127,8,140
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,"State Representative,
District No. 80",Tracy King,DEM,370,178,10,192
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,"Justice, 4th Court of Appeals District, Place No. 2",Beth Watkins,DEM,260,127,7,133
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,"Justice, 4th Court of Appeals District, Place No. 3",Patricia O'Connell Alvarez,DEM,297,141,9,156
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,"Justice, 4th Court of Appeals District, Place No. 4",Luz Elena Chapa,DEM,300,143,8,157
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,"Justice, 4th Court of Appeals District, Place No. 5",Liza Rodriguez,DEM,294,140,8,154
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,"Justice, 4th Court of Appeals District, Place No. 7",Rebeca Martinez,DEM,307,146,8,161
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,"District Judge, 49th Judicial District",Joe Lopez,DEM,417,197,11,220
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,County Judge,Joe Rathmell,DEM,454,214,12,240
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,District Clerk,Dora Mtz. Castañon,DEM,413,194,13,219
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,County Clerk,Mary Jayne Villarreal-Bonoan,DEM,421,198,13,223
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,County Treasurer,Romeo Salinas,DEM,417,192,13,225
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,"Justice of the Peace,
Precinct No. 1","Eliza Yvonne Garcia ""EY""",DEM,228,116,4,112
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,"Justice of the Peace,
Precinct No. 1",Anna Muñoz Guerra,DEM,339,157,9,182
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,Proposition #1,Yes,DEM,368,169,10,199
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,Proposition #1,No,DEM,13,10,1,3
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,Proposition #2,Yes,DEM,360,166,11,194
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,Proposition #2,No,DEM,20,13,0,7
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,Proposition #3,Yes,DEM,359,169,10,190
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,Proposition #3,No,DEM,26,15,1,11
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,Proposition #4,Yes,DEM,363,166,11,197
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,Proposition #4,No,DEM,12,6,0,6
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,Proposition #5,Yes,DEM,321,150,9,171
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,Proposition #5,No,DEM,27,13,2,14
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,Proposition #6,Yes,DEM,358,166,10,192
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,Proposition #6,No,DEM,3,3,1,0
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,Proposition #7,Yes,DEM,343,160,10,183
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,Proposition #7,No,DEM,14,6,0,8
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,Proposition #8,Yes,DEM,317,144,9,173
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,Proposition #8,No,DEM,39,20,1,19
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,Proposition #9,Yes,DEM,322,151,10,171
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,Proposition #9,No,DEM,31,13,1,18
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,Proposition #10,Yes,DEM,337,157,11,180
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,Proposition #10,No,DEM,16,8,0,8
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,Proposition #11,Yes,DEM,322,141,9,181
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,Proposition #11,No,DEM,39,24,1,15
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,Proposition #12,Yes,DEM,342,159,7,183
Zapata County Courthouse,3/6/2018,Primary Election,6,3,1,1753,Proposition #12,No,DEM,13,6,2,7
Falcon Community Center,3/6/2018,Primary Election,6,3,1 - A,109,United States Senator,Sema Hernandez,DEM,21,17,0,4
Falcon Community Center,3/6/2018,Primary Election,6,3,1 - A,109,United States Senator,Edward Kimbrough,DEM,1,1,0,0
Falcon Community Center,3/6/2018,Primary Election,6,3,1 - A,109,United States Senator,Beto O'Rourke,DEM,13,11,0,2
Falcon Community Center,3/6/2018,Primary Election,6,3,1 - A,109,"United States Representative, District No. 28",Henry Cuellar,DEM,34,29,0,5
Falcon Community Center,3/6/2018,Primary Election,6,3,1 - A,109,Governor,James Jolly Clark,DEM,0,0,0,0
