,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ARMSTRONG COUNTY, TEXAS
MAY 6, 2018",Precinct Total Votes,FEDERAL,US SENATOR,"BRUCE JACOBSON, JR",MARY MILLER,TED CRUZ,Stefano de Stefano,GERALDINE SAM,Undervote,Race Total,"U. S.  Representative, District 13",MAC THORNBERRY,Undervote,Race Total,STATE,Governor,GREG ABBOTT,SECEDE KILGORE,BARBARA KRUEGER,Undervote,Race Total,Lieutenant Governor,DAN PATRICK,SCOTT MILDER,Undervote,Race Total,Attorney General,KEN PAXTON,Undervote,Race Total,COMPTOLLER OF PUBLIC ACCOUNTS,GLEN HEGAR,Undervote,Race Total,COMMISSIONER OF THE GENRAL LAND OFFICE ,JERRY PATTERSON,DAVEY EDWARD,RICK RANGE,GEORGE P BUSH ,Undervote,Race Total,COMMISSIONER OF AGRICULTURE,JIM HOGAN,TREY BLOCKER,SID MILLER,Undervote,Race Total,RAILROAD COMMISSIONER ,WESTON MARTINEZ,CHRISTI CRADDICK,Undervote,Race Total,"Justice, Supreme Court, Place 2",JIMMY BLACKLOCK,Undervote,Race Total,"JUSTICE SUPREME COURT, PLACE 4",JOHN DEVINE,Undervote,Race Total,"Justice, Supreme Court, Place 6",JEFF BROWN,Undervote,Race Total,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS",DAVID BRIDGES,SHARON KELLER,Undervote,Race Total,"Judge, Court of Criminal Appeals, Place 7",BARBARA PARKER HERVEY,Undervote,Race Total,"Judge, Court of criminal Appeals Place 8",JAY BRANDON,DIP WALDRIP,MICHELLE SLAUGHTER,Undervote,Race Total,STATE SENATOR DISTRICT 31,VICTOR LEAL,MIKE CANNON,KEL SELIGER,Undervote,Race Total,"State Representative, District 88",KEN KING,RICHARD BEYEA,JASON HUDDLESTON,Undervote,Race Total,"Justice, 7th Court of Appeals District, Place 2",JUDY PARKER,Undervote,Race Total,"Justice, 7th Court of Appeals District, Place 3",PAT PIRTLE,Undervote,Race Total,"District jUDGE, 47th Judicial District",DAN L SCHAAP,Undervote,Race Total,COUNTY,COUNTY JUDGE,MARTHA JO ROBERTS,HUGH REED,Undervote,Race Total,COUNTY & DISTRICT CLERK,TAWNEE IRENE BLODGETT,Undervote,Race Total,COUNTY TREASURER,SUSAN OVERCAST MCGRATH,JULIE EDWARDS,Undervote,Race Total,County Tax Assessor Collector,SHANE RIEKEN ,JAMIE CRAIG,Undervote,Race Total,"County Commissionner, Precinct No. 2",DUSTIN SANDERS,JODY EDWARDS,PHILLIP A CAUDILL,PARKER STEWART,Undervote,Race Total,"County Commissionner, Precinct No. 4",MIKE OLLINGER,TOMMY LINDLEY,PHIL FLETCHER,Undervote,Race Total,JUSTICE OF THE PEACE ,DIANNE STAVENHAGEN SAMANIEGO,DARRELL S PHILLEY,Undervote,Race Total,REFERENDUMS,,Proposition 1 Yes,1 No,Undervote,Race Total,Proposition 2 Yes,2 No,Undervote,Race Total,Proposition 3 Yes,3 No,Undervote,Race Total,Proposition 4 Yes,4 No,Undervote,Race Total,Propostition 5 Yes,5 No,Undervote,Race Total,Proposition 6 Yes,6 No,Undervote,Race Total,Proposition 7 Yes,7 No,Undervote,Race Total,Proposition 8 Yes,8 No,Undervote,Race Total,Proposition 9 Yes,9 No,Undervote,Race Total,Proposition 10 Yes,10 No,Undervote,Race Total,Proposition 11 Yes,11 No,Undervote,Race Total,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early Voting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct 101,74, , ,4,6,59,1,2,2,74,,65,9,74,,,61,1,8,4,74,,46,25,3,74,,56,18,74,,52,22,74,,19,8,5,32,10,74,,16,16,29,13,74,,27,31,16,74,,51,23,74,,51,23,74,,53,21,74,,41,15,18,74,,49,25,74,,28,14,14,18,74,,16,21,36,1,74,,44,9,15,6,74,,50,24,74,,50,24,74,,52,22,74,,,23,51,0,74,,54,20,74,,55,18,1,74,,26,45,3,74,,,,,,,0,,,,,,0,,41,32,1,74,,,39,29,6,74,71,3,0,74,56,11,7,74,64,6,4,74,49,20,5,74,66,5,3,74,55,12,7,74,69,3,2,74,67,5,2,74,66,6,2,74,66,6,2,74,,
Precinct 201 ,46,,,4,1,36,0,2,3,46,,39,7,46,,,42,1,2,1,46,,32,9,5,46,,32,14,46,,33,13,46,,7,5,3,23,8,46,,7,10,15,14,46,,8,25,13,46,,29,17,46,,29,17,46,,29,17,46,,16,13,17,46,,27,19,46,,13,6,8,19,46,,13,8,21,4,46,,21,9,5,11,46,,28,18,46,,28,18,46,,29,17,46,,,16,30,0,46,,40,6,46,,30,15,1,46,,14,27,5,46,,19,13,6,7,1,46,,,,,,0,,24,22,0,46,,,25,15,6,46,40,4,2,46,43,1,2,46,40,3,3,46,30,12,4,46,40,2,4,46,24,17,5,46,40,3,3,46,39,3,4,46,37,4,5,46,37,6,3,46,,
Precinct 202,13,,,0,0,11,0,0,2,13,,8,5,13,,,11,0,1,1,13,,7,2,4,13,,9,4,13,,8,5,13,,4,0,2,5,2,13,,0,1,10,2,13,,2,6,5,13,,7,6,13,,7,6,13,,7,6,13,,3,4,6,13,,7,6,13,,3,1,2,7,13,,6,1,5,1,13,,5,2,4,2,13,,6,7,13,,6,7,13,,9,4,13,,,3,9,1,13,,7,6,13,,9,1,3,13,,6,5,2,13,,8,0,2,2,1,13,,,,,,0,,4,6,3,13,,,6,3,4,13,10,1,2,13,10,1,2,13,11,0,2,13,10,1,2,13,11,0,2,13,7,4,2,13,11,0,2,13,11,0,2,13,10,1,2,13,11,0,2,13,,
Precinct 301 ,57,,,2,1,47,2,0,5,57,,50,7,57,,,49,3,1,4,57,,36,14,7,57,,41,16,57,,36,21,57,,9,8,5,23,12,57,,8,19,17,13,57,,13,28,16,57,,37,20,57,,34,23,57,,37,20,57,,26,16,15,57,,36,21,57,,21,7,12,17,57,,26,5,24,2,57,,36,10,6,5,57,,39,18,57,,41,16,57,,40,17,57,,,15,42,0,57,,44,13,57,,45,10,2,57,,23,30,4,57,,,,,,,0,,,,,,0,,34,22,1,57,,,40,14,3,57,53,3,1,57,53,1,3,57,49,4,4,57,34,19,4,57,52,0,5,57,38,13,6,57,54,0,3,57,55,1,1,57,48,5,4,57,43,11,3,57,,
Precinct 303,1,,,0,0,1,0,0,0,1,,1,0,1,,,1,0,0,0,1,,0,1,0,1,,0,1,1,,0,1,1,,0,0,0,1,0,1,,0,0,0,1,1,,0,0,1,1,,0,1,1,,0,1,1,,0,1,1,,0,0,1,1,,0,1,1,,0,0,0,1,1,,0,0,1,0,1,,0,0,1,0,1,,0,1,1,,0,1,1,,0,1,1,,,0,1,0,1,,0,1,1,,0,0,1,1,,0,1,0,1,,,,,,,0,,,,,,0,,1,0,0,1,,,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,,
Precinct 401 ,52,,,1,4,45,0,0,2,52,,44,8,52,,,46,1,1,4,52,,32,16,4,52,,42,10,52,,36,16,52,,11,5,2,30,4,52,,9,7,26,10,52,,10,31,11,52,,34,18,52,,35,17,52,,35,17,52,,24,17,11,52,,34,18,52,,20,5,15,12,52,,17,6,29,0,52,,35,5,10,2,52,,32,20,52,,34,18,52,,37,15,52,,,14,37,1,52,,38,14,52,,39,13,0,52,,22,27,3,52,,,,,,,0,,24,16,12,0,52,,19,32,1,52,,,31,20,1,52,44,7,1,52,41,6,5,52,45,5,2,52,28,22,2,52,48,3,1,52,42,9,1,52,50,1,1,52,46,5,1,52,45,6,1,52,42,6,4,52,,
Precinct 402,10,,,0,1,8,0,0,1,10,,7,3,10,,,8,1,0,1,10,,8,2,0,10,,7,3,10,,7,3,10,,4,2,0,4,0,10,,4,2,2,2,10,,2,6,2,10,,7,3,10,,7,3,10,,7,3,10,,1,6,3,10,,5,5,10,,1,1,4,4,10,,5,4,1,0,10,,3,3,4,0,10,,6,4,10,,5,5,10,,5,5,10,,,6,4,0,10,,8,2,10,,10,0,0,10,,4,5,1,10,,,,,,,0,,8,1,1,0,10,,5,5,0,10,,,6,3,1,10,9,1,0,10,10,0,0,10,10,0,0,10,9,1,0,10,10,0,0,10,7,2,1,10,10,0,0,10,10,0,0,10,10,0,0,10,10,0,0,10,,
Precinct 404,8,,,0,0,8,0,0,0,8,,8,0,8,,,8,0,0,0,8,,6,2,0,8,,8,0,8,,8,0,8,,3,0,0,5,0,8,,1,1,6,0,8,,3,5,0,8,,8,0,8,,8,0,8,,8,0,8,,5,3,0,8,,6,2,8,,2,1,4,1,8,,2,1,5,0,8,,4,0,4,0,8,,8,0,8,,8,0,8,,8,0,8,,,3,5,0,8,,7,1,8,,4,4,0,8,,1,7,0,8,,,,,,,0,,4,0,4,0,8,,4,4,0,8,,,5,3,0,8,7,1,0,8,8,0,0,8,8,0,0,8,5,3,0,8,8,0,0,8,5,3,0,8,8,0,0,8,8,0,0,8,7,1,0,8,6,2,0,8,,
