Political Subdivision,Election Date,Election Name,Total Provisional Ballots,Total Provisional Ballots Counted,Precinct Number,Race Name,Candidate Name,Party Code,Early Votes,Election Votes
Republican Party,3/6/18,Republican Party Primary Election,1,0,1,United State Senator,Bruce Jacobson Jr.,,,40
,,,,,,United State Senator,Red Cruz,,,381
,,,,,,United State Senator,Mary Miller,,,13
,,,,,,United State Senator,Stefano De Stefano,,,2
,,,,,,United State Senator,Geraldine Sam,,,4
,,,,,,United State Senator,,,,
,,,,,,United State Senator,Total,,,440
,,,,,,United State Senator,Overvotes,,,0
,,,,,,United State Senator,Undervotes,,,27
,,,,,,United State Senator,,,,
,,,,,,United State Senator,,,,
,,,,,,"US Representative, District 27",Eddie Gassman,,,15
,,,,,,"US Representative, District 27",Jerry Hall,,,48
,,,,,,"US Representative, District 27",Bech Bruun,,,84
,,,,,,"US Representative, District 27",Christopher K. Mapp,,,58
,,,,,,"US Representative, District 27",John Grunwald,,,20
,,,,,,"US Representative, District 27",Michael Cloud,,,180
,,,,,,"US Representative, District 27",,,,
,,,,,,"US Representative, District 27",Total,,,405
,,,,,,"US Representative, District 27",Overvotes,,,0
,,,,,,"US Representative, District 27",Undervotes,,,62
,,,,,,"US Representative, District 27",,,,
,,,,,,"US Representative, District 27",,,,
,,,,,,Governor,Greg Abbott,,,410
,,,,,,Governor,Barbara Krueger,,,34
,,,,,,Governor,SECEDE Kilgore,,,8
,,,,,,Governor,,,,
,,,,,,Governor,Total,,,452
,,,,,,Governor,Overvotes,,,0
,,,,,,Governor,Undervotes,,,15
,,,,,,Governor,,,,
,,,,,,Governor,,,,
,,,,,,Lieutenant Governor,Scott Milder,,,105
,,,,,,Lieutenant Governor,Dan Patrick,,,343
,,,,,,Lieutenant Governor,,,,
,,,,,,Lieutenant Governor,Total,,,448
,,,,,,Lieutenant Governor,Overvotes,,,2
,,,,,,Lieutenant Governor,Undervotes,,,17
,,,,,,Lieutenant Governor,,,,
,,,,,,Lieutenant Governor,,,,
,,,,,,Attorney General,Ken Paxton,,,400
,,,,,,Attorney General,,,,
,,,,,,Attorney General,Total,,,400
,,,,,,Attorney General,Overvotes,,,0
,,,,,,Attorney General,Undervotes,,,67
,,,,,,Attorney General,,,,
,,,,,,Attorney General,,,,
,,,,,,Comptroller of Public Accounts,Glenn Hegar,,,405
,,,,,,Comptroller of Public Accounts,,,,
,,,,,,Comptroller of Public Accounts,Total,,,405
,,,,,,Comptroller of Public Accounts,Overvotes,,,0
,,,,,,Comptroller of Public Accounts,Undervotes,,,62
,,,,,,Comptroller of Public Accounts,,,,
,,,,,,Comptroller of Public Accounts,,,,
,,,,,,Commissioner of the General Land Office,George P. Bush,,,272
,,,,,,Commissioner of the General Land Office,Jerry Patterson,,,126
,,,,,,Commissioner of the General Land Office,Rick Range,,,13
,,,,,,Commissioner of the General Land Office,Davey Edwards,,,18
,,,,,,Commissioner of the General Land Office,,,,
,,,,,,Commissioner of the General Land Office,Total,,,429
