political_subdivision,election_date,election_name,total_provisional_ballots,total_provisional_ballots_counted,precinct_name,reg_voters,race_name,candidate_name,early_votes,election_votes
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,2,1,104,1229,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,89,109
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,5,1,109,2394,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,115,217
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,10,4,110,5650,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,247,401
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,8,1,111,4567,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,232,374
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,3,,123,4577,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,172,303
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,6,4,136,3164,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,161,217
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,6,2,137,7923,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,317,551
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,1,,145,2888,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,138,243
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,4,1,146,3038,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,189,192
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,1,,148,4524,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,196,285
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,2,1,150,2275,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,100,137
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,2,,160,2446,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,94,162
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,2,1,161,2151,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,73,114
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,,,163,328,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,9,14
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,1,,203,992,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,31,69
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,8,,205,2860,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,149,246
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,22,7,207,4869,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,268,403
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,2,1,209,1259,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,77,87
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,1,,211,1988,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,129,208
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,2,,215,2302,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,118,207
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,12,2,216,2631,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,79,170
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,19,3,218,5253,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,298,441
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,8,1,219,3253,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,141,255
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,4,2,222,2971,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,177,294
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,5,2,225,4020,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,164,310
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,2,1,228,1854,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,156,146
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,1,,229,2041,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,137,231
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,4,1,232,6568,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,235,257
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,1,,244,3931,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,190,177
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,2,,245,1342,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,53,93
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,3,,246,1822,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,139,210
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,,,247,777,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,57,84
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,5,2,249,3057,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,236,307
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,3,1,253,2990,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,229,241
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,6,1,254,3577,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,230,272
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,4,,258,2721,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,202,241
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,3,2,259,2850,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,198,319
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,4,,260,1530,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,51,101
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,12,3,262,4741,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,405,432
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,8,2,263,3029,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,208,348
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,,,267,1622,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,145,122
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,3,,268,1323,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,65,112
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,,,305,10,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,2,1
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,4,1,306,3073,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,147,110
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,2,,312,2221,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,108,117
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,1,,319,2513,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,92,87
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,3,1,320,2098,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,96,55
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,2,1,321,766,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,55,69
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,7,4,323,2186,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,162,201
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,3,,326,2421,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,127,170
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,3,,327,3004,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,202,253
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,7,,328,4341,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,318,364
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,3,1,331,2866,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,155,316
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,,,333,3040,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,96,287
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,7,3,334,3100,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,118,173
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,4,2,335,2631,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,150,194
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,,,336,2264,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,119,186
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,3,2,337,4029,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,206,348
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,1,,343,3131,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,80,144
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,,,345,3,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,1,0
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,2,1,359,4960,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,213,254
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,1,,369,2738,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,52,114
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,3,2,370,1647,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,19,111
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,2,,371,2568,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,86,128
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,,,372,2143,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,50,101
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,3,1,373,4982,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,134,200
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,5,1,374,6095,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,151,273
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,2,1,375,1000,"PRECINCT NO. 2, CONSTABLE - DEM",Adan Ballesteros,28,54
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,4,1,232,6568,"DISTRICT 47, STATE REPRESENTATIVE - DEM",Ana Jordan,239,257
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,7,3,233,3941,"DISTRICT 47, STATE REPRESENTATIVE - DEM",Ana Jordan,148,244
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,1,1,234,2348,"DISTRICT 47, STATE REPRESENTATIVE - DEM",Ana Jordan,101,125
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,1,,244,3931,"DISTRICT 47, STATE REPRESENTATIVE - DEM",Ana Jordan,192,181
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,2,,245,1342,"DISTRICT 47, STATE REPRESENTATIVE - DEM",Ana Jordan,52,94
Travis County Democratic Primary Election,3/1/2016,Joint Primary Election,1,,302,3220,"DISTRICT 47, STATE REPRESENTATIVE - DEM",Ana Jordan,260,224
