Political Subdivision,Election Date,Election Name,Total Provisional Ballots,Total Provisional Ballots Counted,Precinct Number,Reg_voters,Race Name,Candidate Name,Party Code,early_votes,election_votes
Burleson County,3/1/2016,Democratic Party Primary,0,0,113,671,President  DEM,Keith Judd,DEM,0,0
Burleson County,3/1/2016,Democratic Party Primary,0,0,113,671,President  DEM,Willie L. Wilson,DEM,0,0
Burleson County,3/1/2016,Democratic Party Primary,0,0,113,671,President  DEM,Star Locke,DEM,0,0
Burleson County,3/1/2016,Democratic Party Primary,0,0,113,671,President  DEM,Martin J. O'Malley,DEM,0,0
Burleson County,3/1/2016,Democratic Party Primary,0,0,113,671,President  DEM,Calvis L. Hawes,DEM,0,0
Burleson County,3/1/2016,Democratic Party Primary,0,0,113,671,President  DEM,Bernie Sanders,DEM,0,2
Burleson County,3/1/2016,Democratic Party Primary,0,0,113,671,President  DEM,"Roque ""Rocky"" De La Fuente",DEM,0,0
Burleson County,3/1/2016,Democratic Party Primary,0,0,113,671,President  DEM,Hillary Clinton,DEM,9,13
Burleson County,3/1/2016,Democratic Party Primary,0,0,113,671,"United States Representative, District 17  DEM",William Matta,DEM,8,11
Burleson County,3/1/2016,Democratic Party Primary,0,0,113,671,Railroad Commissioner  DEM,Lon Burnam,DEM,1,2
Burleson County,3/1/2016,Democratic Party Primary,0,0,113,671,Railroad Commissioner  DEM,Cody Garrett,DEM,2,6
Burleson County,3/1/2016,Democratic Party Primary,0,0,113,671,Railroad Commissioner  DEM,Grady Yarbrough,DEM,4,4
Burleson County,3/1/2016,Democratic Party Primary,0,0,113,671,"Justice, Supreme Court, Place 3  DEM",Mike Westergren,DEM,7,10
Burleson County,3/1/2016,Democratic Party Primary,0,0,113,671,"Justice, Supreme Court, Place 5  DEM",Dori Contreras Garza,DEM,7,9
Burleson County,3/1/2016,Democratic Party Primary,0,0,113,671,"Justice, Supreme Court, Place 9  DEM",Savannah Robinson,DEM,8,10
Burleson County,3/1/2016,Democratic Party Primary,0,0,113,671,"Judge, Court of Criminal Appeals, Place 2  DEM","Lawrence ""Larry"" Meyers",DEM,6,8
Burleson County,3/1/2016,Democratic Party Primary,0,0,113,671,"Judge, Court of Criminal Appeals, Place 5  DEM",Betsy Johnson,DEM,6,9
Burleson County,3/1/2016,Democratic Party Primary,0,0,113,671,"Judge, Court of Criminal Appeals, Place 6  DEM",Robert Burns,DEM,6,12
Burleson County,3/1/2016,Democratic Party Primary,0,0,113,671,"Member, State Board of Education, District 10  DEM",Judy Jennings,DEM,7,10
Burleson County,3/1/2016,Democratic Party Primary,0,0,113,671,"State Representative, District 13  DEM",Cecil R. Webster,DEM,7,11
Burleson County,3/1/2016,Democratic Party Primary,0,0,113,671,County Chairman  DEM,Linda R. Autrey,DEM,7,10
Burleson County,3/1/2016,Democratic Party Primary,0,0,113,671,REFERENDA ITEM #1  DEM,For,DEM,5,9
Burleson County,3/1/2016,Democratic Party Primary,0,0,113,671,REFERENDA ITEM #1  DEM,Against,DEM,3,4
Burleson County,3/1/2016,Democratic Party Primary,0,0,113,671,REFERENDA ITEM #2   DEM,For,DEM,5,12
Burleson County,3/1/2016,Democratic Party Primary,0,0,113,671,REFERENDA ITEM #2   DEM,Against,DEM,3,2
Burleson County,3/1/2016,Democratic Party Primary,0,0,113,671,REFERENDA ITEM #3   DEM,For,DEM,6,10
Burleson County,3/1/2016,Democratic Party Primary,0,0,113,671,REFERENDA ITEM #3   DEM,Against,DEM,3,4
Burleson County,3/1/2016,Democratic Party Primary,0,0,113,671,REFERENDA ITEM #4   DEM,For,DEM,4,10
Burleson County,3/1/2016,Democratic Party Primary,0,0,113,671,REFERENDA ITEM #4   DEM,Against,DEM,4,4
Burleson County,3/1/2016,Democratic Party Primary,0,0,113,671,REFERENDA ITEM #5   DEM,For,DEM,5,10
Burleson County,3/1/2016,Democratic Party Primary,0,0,113,671,REFERENDA ITEM #5   DEM,Against,DEM,4,4
Burleson County,3/1/2016,Democratic Party Primary,0,0,113,671,REFERENDA ITEM #6   DEM,For,DEM,3,8
Burleson County,3/1/2016,Democratic Party Primary,0,0,113,671,REFERENDA ITEM #6   DEM,Against,DEM,5,6
Burleson County,3/1/2016,Democratic Party Primary,0,0,114,1700,President  DEM,Keith Judd,DEM,0,0
Burleson County,3/1/2016,Democratic Party Primary,0,0,114,1700,President  DEM,Willie L. Wilson,DEM,1,0
Burleson County,3/1/2016,Democratic Party Primary,0,0,114,1700,President  DEM,Star Locke,DEM,0,0
Burleson County,3/1/2016,Democratic Party Primary,0,0,114,1700,President  DEM,Martin J. O'Malley,DEM,0,0
Burleson County,3/1/2016,Democratic Party Primary,0,0,114,1700,President  DEM,Calvis L. Hawes,DEM,0,0
Burleson County,3/1/2016,Democratic Party Primary,0,0,114,1700,President  DEM,Bernie Sanders,DEM,7,15
Burleson County,3/1/2016,Democratic Party Primary,0,0,114,1700,President  DEM,"Roque ""Rocky"" De La Fuente",DEM,0,0
Burleson County,3/1/2016,Democratic Party Primary,0,0,114,1700,President  DEM,Hillary Clinton,DEM,29,34
Burleson County,3/1/2016,Democratic Party Primary,0,0,114,1700,"United States Representative, District 17  DEM",William Matta,DEM,27,38
Burleson County,3/1/2016,Democratic Party Primary,0,0,114,1700,Railroad Commissioner  DEM,Lon Burnam,DEM,7,6
Burleson County,3/1/2016,Democratic Party Primary,0,0,114,1700,Railroad Commissioner  DEM,Cody Garrett,DEM,10,17
Burleson County,3/1/2016,Democratic Party Primary,0,0,114,1700,Railroad Commissioner  DEM,Grady Yarbrough,DEM,12,16
Burleson County,3/1/2016,Democratic Party Primary,0,0,114,1700,"Justice, Supreme Court, Place 3  DEM",Mike Westergren,DEM,26,36
Burleson County,3/1/2016,Democratic Party Primary,0,0,114,1700,"Justice, Supreme Court, Place 5  DEM",Dori Contreras Garza,DEM,27,33
Burleson County,3/1/2016,Democratic Party Primary,0,0,114,1700,"Justice, Supreme Court, Place 9  DEM",Savannah Robinson,DEM,29,36
Burleson County,3/1/2016,Democratic Party Primary,0,0,114,1700,"Judge, Court of Criminal Appeals, Place 2  DEM","Lawrence ""Larry"" Meyers",DEM,27,36
Burleson County,3/1/2016,Democratic Party Primary,0,0,114,1700,"Judge, Court of Criminal Appeals, Place 5  DEM",Betsy Johnson,DEM,29,37
Burleson County,3/1/2016,Democratic Party Primary,0,0,114,1700,"Judge, Court of Criminal Appeals, Place 6  DEM",Robert Burns,DEM,28,37
Burleson County,3/1/2016,Democratic Party Primary,0,0,114,1700,"Member, State Board of Education, District 10  DEM",Judy Jennings,DEM,28,37
Burleson County,3/1/2016,Democratic Party Primary,0,0,114,1700,"State Representative, District 13  DEM",Cecil R. Webster,DEM,26,37
