"172-RIO VALLE WOMANS" ,130 ,"FABENS ISD SCHOOL BOARD PLACE I" ,10 ,"MARCO MARTINEZ" ,"NP" ,"ELECTION DAY" ,110 ,
"172-RIO VALLE WOMANS" ,130 ,"FABENS ISD SCHOOL BOARD PLACE I" ,10 ,"MARCO MARTINEZ" ,"NP" ,"PAPER EDAY" ,0 ,
"172-RIO VALLE WOMANS" ,130 ,"FABENS ISD SCHOOL BOARD PLACE I" ,10 ,"MARCO MARTINEZ" ,"NP" ,"EARLY VOTING" ,147 ,
"172-RIO VALLE WOMANS" ,130 ,"FABENS ISD SCHOOL BOARD PLACE I" ,10 ,"MARCO MARTINEZ" ,"NP" ,"PAPER EV" ,8 ,
"172-RIO VALLE WOMANS" ,130 ,"FABENS ISD SCHOOL BOARD PLACE I" ,10 ,"MARCO MARTINEZ" ,"NP" ,"Total" ,265 ,
"172-RIO VALLE WOMANS" ,130 ,"FABENS ISD SCHOOL BOARD PLACE I" ,20 ,"MARCOS SALCIDO III" ,"NP" ,"ELECTION DAY" ,218 ,
"172-RIO VALLE WOMANS" ,130 ,"FABENS ISD SCHOOL BOARD PLACE I" ,20 ,"MARCOS SALCIDO III" ,"NP" ,"PAPER EDAY" ,2 ,
"172-RIO VALLE WOMANS" ,130 ,"FABENS ISD SCHOOL BOARD PLACE I" ,20 ,"MARCOS SALCIDO III" ,"NP" ,"EARLY VOTING" ,253 ,
"172-RIO VALLE WOMANS" ,130 ,"FABENS ISD SCHOOL BOARD PLACE I" ,20 ,"MARCOS SALCIDO III" ,"NP" ,"PAPER EV" ,32 ,
"172-RIO VALLE WOMANS" ,130 ,"FABENS ISD SCHOOL BOARD PLACE I" ,20 ,"MARCOS SALCIDO III" ,"NP" ,"Total" ,505 ,
"172-RIO VALLE WOMANS" ,140 ,"FABENS ISD SCHOOL BOARD PLACE II" ,10 ,"BENJAMIN MORALES" ,"NP" ,"ELECTION DAY" ,107 ,
"172-RIO VALLE WOMANS" ,140 ,"FABENS ISD SCHOOL BOARD PLACE II" ,10 ,"BENJAMIN MORALES" ,"NP" ,"PAPER EDAY" ,2 ,
"172-RIO VALLE WOMANS" ,140 ,"FABENS ISD SCHOOL BOARD PLACE II" ,10 ,"BENJAMIN MORALES" ,"NP" ,"EARLY VOTING" ,171 ,
"172-RIO VALLE WOMANS" ,140 ,"FABENS ISD SCHOOL BOARD PLACE II" ,10 ,"BENJAMIN MORALES" ,"NP" ,"PAPER EV" ,21 ,
"172-RIO VALLE WOMANS" ,140 ,"FABENS ISD SCHOOL BOARD PLACE II" ,10 ,"BENJAMIN MORALES" ,"NP" ,"Total" ,301 ,
"172-RIO VALLE WOMANS" ,140 ,"FABENS ISD SCHOOL BOARD PLACE II" ,20 ,"GUSTAVO TAVO PEREZ" ,"NP" ,"ELECTION DAY" ,89 ,
"172-RIO VALLE WOMANS" ,140 ,"FABENS ISD SCHOOL BOARD PLACE II" ,20 ,"GUSTAVO TAVO PEREZ" ,"NP" ,"PAPER EDAY" ,0 ,
"172-RIO VALLE WOMANS" ,140 ,"FABENS ISD SCHOOL BOARD PLACE II" ,20 ,"GUSTAVO TAVO PEREZ" ,"NP" ,"EARLY VOTING" ,132 ,
"172-RIO VALLE WOMANS" ,140 ,"FABENS ISD SCHOOL BOARD PLACE II" ,20 ,"GUSTAVO TAVO PEREZ" ,"NP" ,"PAPER EV" ,6 ,
"172-RIO VALLE WOMANS" ,140 ,"FABENS ISD SCHOOL BOARD PLACE II" ,20 ,"GUSTAVO TAVO PEREZ" ,"NP" ,"Total" ,227 ,
