"BOX 101" ,20 ,"UNITED STATES SENATOR" ,10 ,"TED CRUZ" ,"REP" ,"ELECTION DAY" ,19 ,
"BOX 101" ,20 ,"UNITED STATES SENATOR" ,10 ,"TED CRUZ" ,"REP" ,"EARLY VOTING - TS" ,19 ,
"BOX 101" ,20 ,"UNITED STATES SENATOR" ,10 ,"TED CRUZ" ,"REP" ,"EARLY VOTING - OS" ,0 ,
"BOX 101" ,20 ,"UNITED STATES SENATOR" ,10 ,"TED CRUZ" ,"REP" ,"Total" ,38 ,
"BOX 101" ,20 ,"UNITED STATES SENATOR" ,20 ,"BETO O'ROURKE" ,"DEM" ,"ELECTION DAY" ,0 ,
"BOX 101" ,20 ,"UNITED STATES SENATOR" ,20 ,"BETO O'ROURKE" ,"DEM" ,"EARLY VOTING - TS" ,3 ,
"BOX 101" ,20 ,"UNITED STATES SENATOR" ,20 ,"BETO O'ROURKE" ,"DEM" ,"EARLY VOTING - OS" ,1 ,
"BOX 101" ,20 ,"UNITED STATES SENATOR" ,20 ,"BETO O'ROURKE" ,"DEM" ,"Total" ,4 ,
"BOX 101" ,20 ,"UNITED STATES SENATOR" ,30 ,"NEAL M. DIKEMAN" ,"LIB" ,"ELECTION DAY" ,0 ,
"BOX 101" ,20 ,"UNITED STATES SENATOR" ,30 ,"NEAL M. DIKEMAN" ,"LIB" ,"EARLY VOTING - TS" ,1 ,
"BOX 101" ,20 ,"UNITED STATES SENATOR" ,30 ,"NEAL M. DIKEMAN" ,"LIB" ,"EARLY VOTING - OS" ,0 ,
"BOX 101" ,20 ,"UNITED STATES SENATOR" ,30 ,"NEAL M. DIKEMAN" ,"LIB" ,"Total" ,1 ,
"BOX 101" ,30 ,"UNITED STATES REPRESENTATIVE, DISTRICT 13" ,10 ,"MAC THORNBERRY" ,"REP" ,"ELECTION DAY" ,19 ,
"BOX 101" ,30 ,"UNITED STATES REPRESENTATIVE, DISTRICT 13" ,10 ,"MAC THORNBERRY" ,"REP" ,"EARLY VOTING - TS" ,19 ,
"BOX 101" ,30 ,"UNITED STATES REPRESENTATIVE, DISTRICT 13" ,10 ,"MAC THORNBERRY" ,"REP" ,"EARLY VOTING - OS" ,0 ,
"BOX 101" ,30 ,"UNITED STATES REPRESENTATIVE, DISTRICT 13" ,10 ,"MAC THORNBERRY" ,"REP" ,"Total" ,38 ,
"BOX 101" ,30 ,"UNITED STATES REPRESENTATIVE, DISTRICT 13" ,20 ,"GREG SAGAN" ,"DEM" ,"ELECTION DAY" ,0 ,
"BOX 101" ,30 ,"UNITED STATES REPRESENTATIVE, DISTRICT 13" ,20 ,"GREG SAGAN" ,"DEM" ,"EARLY VOTING - TS" ,3 ,
"BOX 101" ,30 ,"UNITED STATES REPRESENTATIVE, DISTRICT 13" ,20 ,"GREG SAGAN" ,"DEM" ,"EARLY VOTING - OS" ,1 ,
"BOX 101" ,30 ,"UNITED STATES REPRESENTATIVE, DISTRICT 13" ,20 ,"GREG SAGAN" ,"DEM" ,"Total" ,4 ,
"BOX 101" ,30 ,"UNITED STATES REPRESENTATIVE, DISTRICT 13" ,30 ,"CALVIN DeWEESE" ,"LIB" ,"ELECTION DAY" ,1 ,
"BOX 101" ,30 ,"UNITED STATES REPRESENTATIVE, DISTRICT 13" ,30 ,"CALVIN DeWEESE" ,"LIB" ,"EARLY VOTING - TS" ,1 ,
"BOX 101" ,30 ,"UNITED STATES REPRESENTATIVE, DISTRICT 13" ,30 ,"CALVIN DeWEESE" ,"LIB" ,"EARLY VOTING - OS" ,0 ,
"BOX 101" ,30 ,"UNITED STATES REPRESENTATIVE, DISTRICT 13" ,30 ,"CALVIN DeWEESE" ,"LIB" ,"Total" ,2 ,
"BOX 101" ,40 ,"GOVERNOR" ,10 ,"GREG ABBOTT" ,"REP" ,"ELECTION DAY" ,18 ,
"BOX 101" ,40 ,"GOVERNOR" ,10 ,"GREG ABBOTT" ,"REP" ,"EARLY VOTING - TS" ,20 ,
