political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,party_code,early_votes,election_votes,Absentee Voting Votes,Early Voting Votes
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,Straight Party,Republican Party    REP,REP,357,136,43,314
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,Straight Party,Democratic Party   DEM,DEM,57,54,9,48
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,Straight Party,Libertarian Party    LIB,LIB,1,1,0,1
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,United States Senator,Ted Cruz,REP,492,186,49,443
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,United States Senator,Beto O'Rourke,DEM,104,86,12,92
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,United States Senator,Neal M. Dikeman,LIB,3,1,0,3
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,"United States Representative,
District No. 8",Kevin Brady,REP,499,187,48,451
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,"United States Representative,
District No. 8",Steven David,DEM,95,77,13,82
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,"United States Representative,
District No. 8",Chris Duncan,LIB,6,6,0,6
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,Governor,Greg Abbott,REP,503,186,49,454
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,Governor,Lupe Valdez,DEM,97,81,12,85
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,Governor,Mark Jay Tippetts,LIB,2,6,0,2
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,Lieutenant Governor,Dan Patrick,REP,442,167,49,393
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,Lieutenant Governor,Mike Collier,DEM,150,101,12,138
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,Lieutenant Governor,Kerry Douglas McKennon,LIB,8,6,0,8
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,Attorney General,Ken Paxton,REP,482,186,47,435
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,Attorney General,Justin Nelson,DEM,109,83,13,96
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,Attorney General,Michael Ray Harris,LIB,8,3,1,7
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,Comptroller of Public Accounts,Glenn Hegar,REP,498,185,47,451
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,Comptroller of Public Accounts,Joi Chevalier,DEM,88,76,13,75
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,Comptroller of Public Accounts,Ben Sanders,LIB,14,10,1,13
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,"Commissioner of the General
Land Office",George P. Bush,REP,484,184,47,437
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,"Commissioner of the General
Land Office",Miguel Suazo,DEM,94,77,13,81
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,"Commissioner of the General
Land Office",Matt Piña,LIB,17,10,1,16
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,Commissioner of Agriculture,Sid Miller,REP,486,186,48,438
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,Commissioner of Agriculture,Kim Olson,DEM,107,78,13,94
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,Commissioner of Agriculture,Richard Carpenter,LIB,7,6,0,7
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,Railroad Commissioner,Christi Craddick,REP,495,189,47,448
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,Railroad Commissioner,Roman McAllen,DEM,94,75,13,81
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,Railroad Commissioner,Mike Wright,LIB,9,6,1,8
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,"Justice, Supreme Court, Place 2",Jimmy Blacklock,REP,492,185,47,445
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,"Justice, Supreme Court, Place 2",Steven Kirkland,DEM,102,83,13,89
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,"Justice, Supreme Court, Place 4",John Devine,REP,496,188,48,448
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,"Justice, Supreme Court, Place 4",R.K. Sandill,DEM,98,80,13,85
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,"Justice, Supreme Court, Place 6",Jeff Brown,REP,496,190,48,448
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,"Justice, Supreme Court, Place 6",Kathy Cheng,DEM,98,80,13,85
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,"Presiding Judge, Court of
Criminal Appeals",Sharon Keller,REP,493,188,47,446
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,"Presiding Judge, Court of
Criminal Appeals",Maria T. (Terri) Jackson,DEM,92,76,13,79
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,"Presiding Judge, Court of
Criminal Appeals",William Bryan Strange III,LIB,10,6,1,9
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,"Judge, Court of Criminal Appeals,
Place 7",Barbara Parker Hervey,REP,496,190,47,449
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,"Judge, Court of Criminal Appeals,
Place 7",Ramona Franklin,DEM,96,80,14,82
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,"Judge, Court of Criminal Appeals,
Place 8",Michelle Slaughter,REP,508,194,47,461
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,"Judge, Court of Criminal Appeals,
Place 8",Mark Ash,LIB,45,40,4,41
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,"State Senator, District No. 5",Charles Schwertner,REP,489,185,48,441
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,"State Senator, District No. 5",Meg Walsh,DEM,105,76,13,92
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,"State Senator, District No. 5",Amy Lyons,LIB,4,9,0,4
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,"State Representative, 
District No. 57",Trent Ashby,REP,511,190,48,463
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,"State Representative, 
District No. 57",Jason Rogers,DEM,89,80,13,76
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,"Chief Justice, 10th Court of
Appeals District",Tom Gray,REP,525,217,48,477
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,"District Judge, 278th Judicial District",Hal R. Ridley,REP,528,214,49,479
Madison County,11-Nov-18,2018 NOVEMBER 6th GENERAL Election,5,1,101,1747,Criminal District Attorney Madison County,Brian L. Risinger,REP,528,219,50,478
