political subdivision,election date,election name,total provisional ballots,total prov. Ballots counted,precinct number,reg voters,race name,candidate name,Choice Party,early votes,election votes
Reagan County,11/6/2018,General Election,0,0,1 - BS 11,0,Straight Party,Republican Party    REP,REP,2,0
Reagan County,11/6/2018,General Election,0,0,1 - BS 11,0,Straight Party,Democratic Party   DEM,DEM,0,1
Reagan County,11/6/2018,General Election,0,0,1 - BS 11,0,Straight Party,Libertarian Party    LIB,LIB,0,0
Reagan County,11/6/2018,General Election,0,0,1 - BS 11,0,United States Senator,Ted Cruz,REP,3,0
Reagan County,11/6/2018,General Election,0,0,1 - BS 11,0,United States Senator,Beto O'Rourke,DEM,0,2
Reagan County,11/6/2018,General Election,0,0,1 - BS 11,0,United States Senator,Neal M. Dikeman,LIB,0,0
Reagan County,11/6/2018,General Election,0,0,1 - BS 11,0,"United States Representative,
District No. 23",Will Hurd,REP,3,1
Reagan County,11/6/2018,General Election,0,0,1 - BS 11,0,"United States Representative,
District No. 23",Gina Ortiz Jones,DEM,0,1
Reagan County,11/6/2018,General Election,0,0,1 - BS 11,0,"United States Representative,
District No. 23",Ruben Corvalan,LIB,0,0
Reagan County,11/6/2018,General Election,0,0,1 - BS 11,0,Governor,Greg Abbott,REP,3,1
Reagan County,11/6/2018,General Election,0,0,1 - BS 11,0,Governor,Lupe Valdez,DEM,0,1
Reagan County,11/6/2018,General Election,0,0,1 - BS 11,0,Governor,Mark Jay Tippetts,LIB,0,0
Reagan County,11/6/2018,General Election,0,0,1 - BS 11,0,Lieutenant Governor,Dan Patrick,REP,3,1
Reagan County,11/6/2018,General Election,0,0,1 - BS 11,0,Lieutenant Governor,Mike Collier,DEM,0,1
Reagan County,11/6/2018,General Election,0,0,1 - BS 11,0,Lieutenant Governor,Kerry Douglas McKennon,LIB,0,0
Reagan County,11/6/2018,General Election,0,0,1 - BS 11,0,Attorney General,Ken Paxton,REP,2,1
Reagan County,11/6/2018,General Election,0,0,1 - BS 11,0,Attorney General,Justin Nelson,DEM,0,1
Reagan County,11/6/2018,General Election,0,0,1 - BS 11,0,Attorney General,Michael Ray Harris,LIB,0,0
Reagan County,11/6/2018,General Election,0,0,1 - BS 11,0,Comptroller of Public Accounts,Glenn Hegar,REP,2,0
Reagan County,11/6/2018,General Election,0,0,1 - BS 11,0,Comptroller of Public Accounts,Joi Chevalier,DEM,0,2
Reagan County,11/6/2018,General Election,0,0,1 - BS 11,0,Comptroller of Public Accounts,Ben Sanders,LIB,0,0
Reagan County,11/6/2018,General Election,0,0,1 - BS 11,0,"Commissioner of the General
Land Office",George P. Bush,REP,3,1
Reagan County,11/6/2018,General Election,0,0,1 - BS 11,0,"Commissioner of the General
Land Office",Miguel Suazo,DEM,0,1
Reagan County,11/6/2018,General Election,0,0,1 - BS 11,0,"Commissioner of the General
Land Office",Matt Piña,LIB,0,0
Reagan County,11/6/2018,General Election,0,0,1 - BS 11,0,Commissioner of Agriculture,Sid Miller,REP,2,1
Reagan County,11/6/2018,General Election,0,0,1 - BS 11,0,Commissioner of Agriculture,Kim Olson,DEM,0,1
Reagan County,11/6/2018,General Election,0,0,1 - BS 11,0,Commissioner of Agriculture,Richard Carpenter,LIB,0,0
Reagan County,11/6/2018,General Election,0,0,1 - BS 11,0,Railroad Commissioner,Christi Craddick,REP,3,1
Reagan County,11/6/2018,General Election,0,0,1 - BS 11,0,Railroad Commissioner,Roman McAllen,DEM,0,1
Reagan County,11/6/2018,General Election,0,0,1 - BS 11,0,Railroad Commissioner,Mike Wright,LIB,0,0
Reagan County,11/6/2018,General Election,0,0,1 - BS 11,0,"Justice, Supreme Court, Place 2",Jimmy Blacklock,REP,2,0
Reagan County,11/6/2018,General Election,0,0,1 - BS 11,0,"Justice, Supreme Court, Place 2",Steven Kirkland,DEM,0,2
Reagan County,11/6/2018,General Election,0,0,1 - BS 11,0,"Justice, Supreme Court, Place 4",John Devine,REP,2,0
Reagan County,11/6/2018,General Election,0,0,1 - BS 11,0,"Justice, Supreme Court, Place 4",R.K. Sandill,DEM,0,2
Reagan County,11/6/2018,General Election,0,0,1 - BS 11,0,"Justice, Supreme Court, Place 6",Jeff Brown,REP,2,2
Reagan County,11/6/2018,General Election,0,0,1 - BS 11,0,"Justice, Supreme Court, Place 6",Kathy Cheng,DEM,0,0
