Contest,Precinct,Choice,Votes,CastTotal,UnderVotes,OverVotes,InvalidVotes,RejectedCategoryName,RejectedWriteInVotes,UnresolvedCategoryName,UnresolvedWriteInVotes,VotingTypeName,BallotsCast,TotalBallotsCast,RegisteredVotes,TurnoutPercentage
United States Senator - REPUBLICAN PARTY,1,Mary Miller,9,63,8,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,71,406,17.49 %
United States Senator - REPUBLICAN PARTY,1,Ted Cruz,53,63,8,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,71,406,17.49 %
United States Senator - REPUBLICAN PARTY,1,"Bruce Jacobson, Jr.",1,63,8,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,71,406,17.49 %
United States Senator - REPUBLICAN PARTY,1,Geraldine Sam,0,63,8,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,71,406,17.49 %
United States Senator - REPUBLICAN PARTY,1,Stefano de Stefano,0,63,8,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,71,406,17.49 %
United States Senator - REPUBLICAN PARTY,1,,,63,8,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,34,71,406,17.49 %
United States Senator - REPUBLICAN PARTY,1,,,63,8,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,13,71,406,17.49 %
United States Senator - REPUBLICAN PARTY,1,,,63,8,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,24,71,406,17.49 %
United States Senator - REPUBLICAN PARTY,2,Mary Miller,3,54,1,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,55,528,10.42 %
United States Senator - REPUBLICAN PARTY,2,Ted Cruz,49,54,1,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,55,528,10.42 %
United States Senator - REPUBLICAN PARTY,2,"Bruce Jacobson, Jr.",2,54,1,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,55,528,10.42 %
United States Senator - REPUBLICAN PARTY,2,Geraldine Sam,0,54,1,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,55,528,10.42 %
United States Senator - REPUBLICAN PARTY,2,Stefano de Stefano,0,54,1,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,55,528,10.42 %
United States Senator - REPUBLICAN PARTY,2,,,54,1,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,25,55,528,10.42 %
United States Senator - REPUBLICAN PARTY,2,,,54,1,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,5,55,528,10.42 %
United States Senator - REPUBLICAN PARTY,2,,,54,1,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,25,55,528,10.42 %
United States Senator - REPUBLICAN PARTY,3,Mary Miller,30,296,31,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,327,1815,18.02 %
United States Senator - REPUBLICAN PARTY,3,Ted Cruz,244,296,31,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,327,1815,18.02 %
United States Senator - REPUBLICAN PARTY,3,"Bruce Jacobson, Jr.",14,296,31,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,327,1815,18.02 %
United States Senator - REPUBLICAN PARTY,3,Geraldine Sam,1,296,31,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,327,1815,18.02 %
United States Senator - REPUBLICAN PARTY,3,Stefano de Stefano,7,296,31,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,327,1815,18.02 %
United States Senator - REPUBLICAN PARTY,3,,,296,31,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,145,327,1815,18.02 %
United States Senator - REPUBLICAN PARTY,3,,,296,31,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,16,327,1815,18.02 %
United States Senator - REPUBLICAN PARTY,3,,,296,31,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,166,327,1815,18.02 %
United States Senator - REPUBLICAN PARTY,4,Mary Miller,44,317,21,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,338,1515,22.31 %
United States Senator - REPUBLICAN PARTY,4,Ted Cruz,266,317,21,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,338,1515,22.31 %
United States Senator - REPUBLICAN PARTY,4,"Bruce Jacobson, Jr.",3,317,21,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,338,1515,22.31 %
United States Senator - REPUBLICAN PARTY,4,Geraldine Sam,3,317,21,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,338,1515,22.31 %
United States Senator - REPUBLICAN PARTY,4,Stefano de Stefano,1,317,21,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,338,1515,22.31 %
United States Senator - REPUBLICAN PARTY,4,,,317,21,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,71,338,1515,22.31 %
United States Senator - REPUBLICAN PARTY,4,,,317,21,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,28,338,1515,22.31 %
United States Senator - REPUBLICAN PARTY,4,,,317,21,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,239,338,1515,22.31 %
United States Senator - REPUBLICAN PARTY,5,Mary Miller,46,494,12,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,506,2675,18.92 %
United States Senator - REPUBLICAN PARTY,5,Ted Cruz,420,494,12,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,506,2675,18.92 %
United States Senator - REPUBLICAN PARTY,5,"Bruce Jacobson, Jr.",12,494,12,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,506,2675,18.92 %
United States Senator - REPUBLICAN PARTY,5,Geraldine Sam,8,494,12,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,506,2675,18.92 %
United States Senator - REPUBLICAN PARTY,5,Stefano de Stefano,8,494,12,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,506,2675,18.92 %
United States Senator - REPUBLICAN PARTY,5,,,494,12,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,218,506,2675,18.92 %
United States Senator - REPUBLICAN PARTY,5,,,494,12,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,69,506,2675,18.92 %
United States Senator - REPUBLICAN PARTY,5,,,494,12,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,219,506,2675,18.92 %
United States Senator - REPUBLICAN PARTY,6,Mary Miller,70,914,32,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,946,4617,20.49 %
United States Senator - REPUBLICAN PARTY,6,Ted Cruz,798,914,32,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,946,4617,20.49 %
United States Senator - REPUBLICAN PARTY,6,"Bruce Jacobson, Jr.",30,914,32,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,946,4617,20.49 %
United States Senator - REPUBLICAN PARTY,6,Geraldine Sam,7,914,32,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,946,4617,20.49 %
United States Senator - REPUBLICAN PARTY,6,Stefano de Stefano,9,914,32,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,946,4617,20.49 %
United States Senator - REPUBLICAN PARTY,6,,,914,32,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,295,946,4617,20.49 %
United States Senator - REPUBLICAN PARTY,6,,,914,32,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,67,946,4617,20.49 %
United States Senator - REPUBLICAN PARTY,6,,,914,32,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,584,946,4617,20.49 %
United States Senator - REPUBLICAN PARTY,7,Mary Miller,13,144,14,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,158,728,21.70 %
United States Senator - REPUBLICAN PARTY,7,Ted Cruz,121,144,14,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,158,728,21.70 %
United States Senator - REPUBLICAN PARTY,7,"Bruce Jacobson, Jr.",6,144,14,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,158,728,21.70 %
United States Senator - REPUBLICAN PARTY,7,Geraldine Sam,0,144,14,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,158,728,21.70 %
United States Senator - REPUBLICAN PARTY,7,Stefano de Stefano,4,144,14,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,158,728,21.70 %
United States Senator - REPUBLICAN PARTY,7,,,144,14,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,45,158,728,21.70 %
United States Senator - REPUBLICAN PARTY,7,,,144,14,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,12,158,728,21.70 %
United States Senator - REPUBLICAN PARTY,7,,,144,14,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,101,158,728,21.70 %
United States Senator - REPUBLICAN PARTY,8,Mary Miller,8,133,12,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,145,1112,13.04 %
United States Senator - REPUBLICAN PARTY,8,Ted Cruz,121,133,12,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,145,1112,13.04 %
United States Senator - REPUBLICAN PARTY,8,"Bruce Jacobson, Jr.",4,133,12,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,145,1112,13.04 %
United States Senator - REPUBLICAN PARTY,8,Geraldine Sam,0,133,12,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,145,1112,13.04 %
United States Senator - REPUBLICAN PARTY,8,Stefano de Stefano,0,133,12,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,145,1112,13.04 %
United States Senator - REPUBLICAN PARTY,8,,,133,12,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,62,145,1112,13.04 %
United States Senator - REPUBLICAN PARTY,8,,,133,12,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,11,145,1112,13.04 %
United States Senator - REPUBLICAN PARTY,8,,,133,12,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,72,145,1112,13.04 %
United States Senator - REPUBLICAN PARTY,9,Mary Miller,8,131,7,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,138,809,17.06 %
United States Senator - REPUBLICAN PARTY,9,Ted Cruz,120,131,7,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,138,809,17.06 %
United States Senator - REPUBLICAN PARTY,9,"Bruce Jacobson, Jr.",3,131,7,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,138,809,17.06 %
United States Senator - REPUBLICAN PARTY,9,Geraldine Sam,0,131,7,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,138,809,17.06 %
United States Senator - REPUBLICAN PARTY,9,Stefano de Stefano,0,131,7,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,138,809,17.06 %
United States Senator - REPUBLICAN PARTY,9,,,131,7,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,49,138,809,17.06 %
United States Senator - REPUBLICAN PARTY,9,,,131,7,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,13,138,809,17.06 %
United States Senator - REPUBLICAN PARTY,9,,,131,7,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,76,138,809,17.06 %
United States Senator - REPUBLICAN PARTY,10,Mary Miller,20,250,26,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,276,2313,11.93 %
United States Senator - REPUBLICAN PARTY,10,Ted Cruz,215,250,26,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,276,2313,11.93 %
United States Senator - REPUBLICAN PARTY,10,"Bruce Jacobson, Jr.",11,250,26,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,276,2313,11.93 %
United States Senator - REPUBLICAN PARTY,10,Geraldine Sam,2,250,26,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,276,2313,11.93 %
United States Senator - REPUBLICAN PARTY,10,Stefano de Stefano,2,250,26,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,276,2313,11.93 %
United States Senator - REPUBLICAN PARTY,10,,,250,26,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,120,276,2313,11.93 %
United States Senator - REPUBLICAN PARTY,10,,,250,26,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,19,276,2313,11.93 %
United States Senator - REPUBLICAN PARTY,10,,,250,26,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,137,276,2313,11.93 %
United States Senator - REPUBLICAN PARTY,11,Mary Miller,5,82,2,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,84,377,22.28 %
United States Senator - REPUBLICAN PARTY,11,Ted Cruz,74,82,2,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,84,377,22.28 %
