political_subdivision,election_date,election_name,total_provisional_ballots,total_provisional_ballots_counted,Precinct_name,Reg_voters,race_name,candidate_name,early_votes,election_votes
Travis County Republican Primary Election,3/6/2018,Joint Primary Election,1,1,101,6121,UNITED STATES SENATOR - REP,"Bruce Jacobson, Jr.",4,3
Travis County Republican Primary Election,3/6/2018,Joint Primary Election,1,1,101,6121,UNITED STATES SENATOR - REP,Geraldine Sam,0,4
Travis County Republican Primary Election,3/6/2018,Joint Primary Election,1,1,101,6121,UNITED STATES SENATOR - REP,Stefano de Stefano,6,2
Travis County Republican Primary Election,3/6/2018,Joint Primary Election,1,1,101,6121,UNITED STATES SENATOR - REP,Mary Miller,10,13
Travis County Republican Primary Election,3/6/2018,Joint Primary Election,1,1,101,6121,UNITED STATES SENATOR - REP,Ted Cruz,35,39
Travis County Republican Primary Election,3/6/2018,Joint Primary Election,1,1,101,6121,"DISTRICT 35, UNITED STATES REPRESENTATIVE - REP",David Smalling,28,28
Travis County Republican Primary Election,3/6/2018,Joint Primary Election,1,1,101,6121,"DISTRICT 35, UNITED STATES REPRESENTATIVE - REP",Sherrill Kenneth (SK) Alexander,18,22
Travis County Republican Primary Election,3/6/2018,Joint Primary Election,1,1,101,6121,GOVERNOR - REP,Greg Abbott,44,44
Travis County Republican Primary Election,3/6/2018,Joint Primary Election,1,1,101,6121,GOVERNOR - REP,Barbara Krueger,11,14
Travis County Republican Primary Election,3/6/2018,Joint Primary Election,1,1,101,6121,GOVERNOR - REP,SECEDE Kilgore,0,3
Travis County Republican Primary Election,3/6/2018,Joint Primary Election,1,1,101,6121,LIEUTENANT GOVERNOR - REP,Dan Patrick,35,39
Travis County Republican Primary Election,3/6/2018,Joint Primary Election,1,1,101,6121,LIEUTENANT GOVERNOR - REP,Scott Milder,21,22
Travis County Republican Primary Election,3/6/2018,Joint Primary Election,1,1,101,6121,ATTORNEY GENERAL - REP,Ken Paxton,43,52
Travis County Republican Primary Election,3/6/2018,Joint Primary Election,1,1,101,6121,COMPTROLLER OF PUBLIC ACCOUNTS - REP,Glenn Hegar,44,51
Travis County Republican Primary Election,3/6/2018,Joint Primary Election,1,1,101,6121,COMMISSIONER OF THE GENERAL LAND OFFICE - REP,Davey Edwards,5,7
Travis County Republican Primary Election,3/6/2018,Joint Primary Election,1,1,101,6121,COMMISSIONER OF THE GENERAL LAND OFFICE - REP,George P. Bush,30,31
Travis County Republican Primary Election,3/6/2018,Joint Primary Election,1,1,101,6121,COMMISSIONER OF THE GENERAL LAND OFFICE - REP,Rick Range,2,5
Travis County Republican Primary Election,3/6/2018,Joint Primary Election,1,1,101,6121,COMMISSIONER OF THE GENERAL LAND OFFICE - REP,Jerry Patterson,18,15
Travis County Republican Primary Election,3/6/2018,Joint Primary Election,1,1,101,6121,COMMISSIONER OF AGRICULTURE - REP,Jim Hogan,16,19
Travis County Republican Primary Election,3/6/2018,Joint Primary Election,1,1,101,6121,COMMISSIONER OF AGRICULTURE - REP,Trey Blocker,19,12
Travis County Republican Primary Election,3/6/2018,Joint Primary Election,1,1,101,6121,COMMISSIONER OF AGRICULTURE - REP,Sid Miller,19,25
