Political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,,precinct_number,reg_voters,REP Ballots Cast,DEM Ballots Cast,NON Ballots Cast,race_name,candidate_name,party code,election_votes,early_votes,Absentee Voting Votes,Early Voting Votes
Repulican/Democratic Party,3/6/2018,Jt Primary Election,18,7,,1,2789,760,93,0,United States Senator,"Bruce Jacobson, Jr.",,9,,2,21
,,,,,,1,2789,760,93,0,United States Senator,Mary Miller,,11,,1,20
,,,,,,1,2789,760,93,0,United States Senator,Geraldine Sam,,0,,0,5
,,,,,,1,2789,760,93,0,United States Senator,Ted Cruz,,222,,23,404
,,,,,,1,2789,760,93,0,United States Senator,Stefano de Stefano,,6,,0,5
,,,,,,1,2789,760,93,0,"United States Representative, District No. 8",Kevin Brady,,226,,26,408
,,,,,,1,2789,760,93,0,Governor,SECEDE Kilgore,,9,,0,7
,,,,,,1,2789,760,93,0,Governor,Barbara Krueger,,13,,3,29
,,,,,,1,2789,760,93,0,Governor,Greg Abbott,,224,,22,419
,,,,,,1,2789,760,93,0,Lieutenant Governor,Dan Patrick,,200,,25,364
,,,,,,1,2789,760,93,0,Lieutenant Governor,Scott Milder,,41,,2,82
,,,,,,1,2789,760,93,0,Attorney General,Ken Paxton,,222,,25,398
,,,,,,1,2789,760,93,0,Comptroller of Public Accounts,Glenn Hegar,,213,,24,388
,,,,,,1,2789,760,93,0,Commissioner of the General Land Office,Davey Edwards,,16,,2,39
,,,,,,1,2789,760,93,0,Commissioner of the General Land Office,Jerry Patterson,,76,,6,111
,,,,,,1,2789,760,93,0,Commissioner of the General Land Office,George P. Bush,,137,,17,268
,,,,,,1,2789,760,93,0,Commissioner of the General Land Office,Rick Range,,7,,0,18
,,,,,,1,2789,760,93,0,Commissioner of Agriculture,Trey Blocker,,44,,3,69
,,,,,,1,2789,760,93,0,Commissioner of Agriculture,Jim Hogan,,72,,8,122
,,,,,,1,2789,760,93,0,Commissioner of Agriculture,Sid Miller,,96,,11,197
,,,,,,1,2789,760,93,0,Railroad Commissioner,Christi Craddick,,161,,17,313
,,,,,,1,2789,760,93,0,Railroad Commissioner,Weston Martinez,,57,,4,75
