Political Subdivision,Election Date,Election Name,Total Provisional Ballots,Total Provisional Ballots Counted,Precinct Number,Reg voters,Race Name,Candidate Name,Party Code,Early Votes,Election Votes
Burleson County,3/6/2018,Republican Primary,0,0,113,660,United States Senator  ,Geraldine Sam,REP,0,0
Burleson County,3/6/2018,Republican Primary,0,0,113,660,United States Senator  ,Mary Miller,REP,1,3
Burleson County,3/6/2018,Republican Primary,0,0,113,660,United States Senator  ,"Bruce Jacobson, Jr.",REP,2,1
Burleson County,3/6/2018,Republican Primary,0,0,113,660,United States Senator  ,Stefano de Stefano,REP,0,1
Burleson County,3/6/2018,Republican Primary,0,0,113,660,United States Senator  ,Ted Cruz,REP,35,46
Burleson County,3/6/2018,Republican Primary,0,0,113,660,"United States Representative, District No. 17  ",Bill Flores,REP,37,45
Burleson County,3/6/2018,Republican Primary,0,0,113,660,Governor  ,Barbara Krueger,REP,2,3
Burleson County,3/6/2018,Republican Primary,0,0,113,660,Governor  ,SECEDE Kilgore,REP,1,0
Burleson County,3/6/2018,Republican Primary,0,0,113,660,Governor  ,Greg Abbott,REP,37,47
Burleson County,3/6/2018,Republican Primary,0,0,113,660,Lieutenant Governor  ,Dan Patrick,REP,35,41
Burleson County,3/6/2018,Republican Primary,0,0,113,660,Lieutenant Governor  ,Scott Milder,REP,4,10
Burleson County,3/6/2018,Republican Primary,0,0,113,660,Attorney General  ,Ken Paxton,REP,36,47
Burleson County,3/6/2018,Republican Primary,0,0,113,660,Comptroller of Public Accounts  ,Glenn Hegar,REP,36,47
Burleson County,3/6/2018,Republican Primary,0,0,113,660,Commissioner of the General Land Office  ,Davey Edwards,REP,3,4
Burleson County,3/6/2018,Republican Primary,0,0,113,660,Commissioner of the General Land Office  ,Jerry Patterson,REP,13,13
Burleson County,3/6/2018,Republican Primary,0,0,113,660,Commissioner of the General Land Office  ,Rick Range,REP,0,4
Burleson County,3/6/2018,Republican Primary,0,0,113,660,Commissioner of the General Land Office  ,George P. Bush,REP,24,28
Burleson County,3/6/2018,Republican Primary,0,0,113,660,Commissioner of Agriculture  ,Trey Blocker,REP,6,10
Burleson County,3/6/2018,Republican Primary,0,0,113,660,Commissioner of Agriculture  ,Jim Hogan,REP,12,13
Burleson County,3/6/2018,Republican Primary,0,0,113,660,Commissioner of Agriculture  ,Sid Miller,REP,17,25
Burleson County,3/6/2018,Republican Primary,0,0,113,660,Railroad Commissioner  ,Christi Craddick,REP,31,36
Burleson County,3/6/2018,Republican Primary,0,0,113,660,Railroad Commissioner  ,Weston Martinez,REP,5,11
Burleson County,3/6/2018,Republican Primary,0,0,113,660,"Justice, Supreme Court, Place 2  ",Jimmy Blacklock,REP,34,44
Burleson County,3/6/2018,Republican Primary,0,0,113,660,"Justice, Supreme Court, Place 4  ",John Devine,REP,33,42
Burleson County,3/6/2018,Republican Primary,0,0,113,660,"Justice, Supreme Court, Place 6  ",Jeff Brown,REP,32,43
Burleson County,3/6/2018,Republican Primary,0,0,113,660,"Presiding Judge, Court of Criminal Appeals  ",Sharon Keller,REP,19,22
Burleson County,3/6/2018,Republican Primary,0,0,113,660,"Presiding Judge, Court of Criminal Appeals  ",David Bridges,REP,17,24
Burleson County,3/6/2018,Republican Primary,0,0,113,660,"Judge, Court of Criminal Appeals, Place 7  ",Barbara Parker Hervey,REP,33,44
Burleson County,3/6/2018,Republican Primary,0,0,113,660,"Judge, Court of Criminal Appeals, Place 8  ",Jay Brandon,REP,10,22
Burleson County,3/6/2018,Republican Primary,0,0,113,660,"Judge, Court of Criminal Appeals, Place 8  ",Dib Waldrip,REP,8,13
Burleson County,3/6/2018,Republican Primary,0,0,113,660,"Judge, Court of Criminal Appeals, Place 8  ",Michelle Slaughter,REP,17,12
Burleson County,3/6/2018,Republican Primary,0,0,113,660,"State Representative, District No. 13  ",Jill Wolfskill,REP,11,8
