political_subdivision,election_date,election_name,total provision ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,party_code,early_votes,election_votes
Bee County,3/6/2018,2018 Democrat Primary,8,7,1,2147,United States Senator,Edward Kimbrough,DEM,8,3
Bee County,3/6/2018,2018 Democrat Primary,8,7,1,2147,United States Senator,Beto O'Rourke,DEM,19,19
Bee County,3/6/2018,2018 Democrat Primary,8,7,1,2147,United States Senator,Sema Hernandez,DEM,13,22
Bee County,3/6/2018,2018 Democrat Primary,8,7,1,2147,"United States Representative, District No. 34",Filemon B. Vela,DEM,36,41
Bee County,3/6/2018,2018 Democrat Primary,8,7,1,2147,Governor,Andrew White,DEM,6,9
Bee County,3/6/2018,2018 Democrat Primary,8,7,1,2147,Governor,Grady Yarbrough,DEM,8,2
Bee County,3/6/2018,2018 Democrat Primary,8,7,1,2147,Governor,"Cedric Davis, Sr.",DEM,1,0
Bee County,3/6/2018,2018 Democrat Primary,8,7,1,2147,Governor,Tom Wakely,DEM,1,2
Bee County,3/6/2018,2018 Democrat Primary,8,7,1,2147,Governor,James Jolly Clark,DEM,0,0
Bee County,3/6/2018,2018 Democrat Primary,8,7,1,2147,Governor,Jeffrey Payne,DEM,1,1
Bee County,3/6/2018,2018 Democrat Primary,8,7,1,2147,Governor,Joe Mumbach,DEM,0,0
Bee County,3/6/2018,2018 Democrat Primary,8,7,1,2147,Governor,Adrian Ocegueda,DEM,1,3
Bee County,3/6/2018,2018 Democrat Primary,8,7,1,2147,Governor,Lupe Valdez,DEM,22,26
Bee County,3/6/2018,2018 Democrat Primary,8,7,1,2147,Lieutenant Governor,Michael Cooper,DEM,10,24
Bee County,3/6/2018,2018 Democrat Primary,8,7,1,2147,Lieutenant Governor,Mike Collier,DEM,25,13
Bee County,3/6/2018,2018 Democrat Primary,8,7,1,2147,Attorney General,Justin Nelson,DEM,29,37
Bee County,3/6/2018,2018 Democrat Primary,8,7,1,2147,Comptroller of Public Accounts,Tim Mahoney,DEM,22,17
Bee County,3/6/2018,2018 Democrat Primary,8,7,1,2147,Comptroller of Public Accounts,Joi Chevalier,DEM,15,22
Bee County,3/6/2018,2018 Democrat Primary,8,7,1,2147,Commissioner of the General Land Office,Tex Morgan,DEM,11,8
Bee County,3/6/2018,2018 Democrat Primary,8,7,1,2147,Commissioner of the General Land Office,Miguel Suazo,DEM,28,34
Bee County,3/6/2018,2018 Democrat Primary,8,7,1,2147,Commissioner of Agriculture,Kim Olson,DEM,32,36
Bee County,3/6/2018,2018 Democrat Primary,8,7,1,2147,Railroad Commissioner,Roman McAllen,DEM,15,27
Bee County,3/6/2018,2018 Democrat Primary,8,7,1,2147,Railroad Commissioner,Chris Spellmon,DEM,22,14
Bee County,3/6/2018,2018 Democrat Primary,8,7,1,2147,"Justice, Supreme Court, Place 2",Steven Kirkland,DEM,29,37
Bee County,3/6/2018,2018 Democrat Primary,8,7,1,2147,"Justice, Supreme Court, Place 4",R.K. Sandill,DEM,28,35
Bee County,3/6/2018,2018 Democrat Primary,8,7,1,2147,"Justice, Supreme Court, Place 6",Kathy Cheng,DEM,31,37
Bee County,3/6/2018,2018 Democrat Primary,8,7,1,2147,"Presiding Judge, Court of Criminal Appeals",Maria T. (Terri) Jackson,DEM,30,38
Bee County,3/6/2018,2018 Democrat Primary,8,7,1,2147,"Judge, Court of Criminal Appeals, Place 7",Ramona Franklin,DEM,31,37
Bee County,3/6/2018,2018 Democrat Primary,8,7,1,2147,"Member, State Board of Education, District No. 3",Dan Arellano,DEM,6,5
Bee County,3/6/2018,2018 Democrat Primary,8,7,1,2147,"Member, State Board of Education, District No. 3",Marisa B. Perez,DEM,34,37
Bee County,3/6/2018,2018 Democrat Primary,8,7,1,2147,"State Representative, District No. 43",Dee Ann Torres Miller,DEM,34,36
Bee County,3/6/2018,2018 Democrat Primary,8,7,1,2147,"Chief Justice, 13th Court of Appeals District",Ray Thomas,DEM,7,11
Bee County,3/6/2018,2018 Democrat Primary,8,7,1,2147,"Chief Justice, 13th Court of Appeals District",Dori Contreras,DEM,31,33
Bee County,3/6/2018,2018 Democrat Primary,8,7,1,2147,"Justice, 13th Court of Appeals District, Place No. 2",Nora Longoria,DEM,36,39
Bee County,3/6/2018,2018 Democrat Primary,8,7,1,2147,"Justice, 13th Court of Appeals District, Place No. 4",Rudy Delgado,DEM,37,39
Bee County,3/6/2018,2018 Democrat Primary,8,7,1,2147,"Justice, 13th Court of Appeals District, Place No. 5",Gina Benavides,DEM,37,38
Bee County,3/6/2018,2018 Democrat Primary,8,7,1,2147,District Clerk,Sara Trevino,DEM,37,37
Bee County,3/6/2018,2018 Democrat Primary,8,7,1,2147,County Clerk,Susana Moron,DEM,38,37
Bee County,3/6/2018,2018 Democrat Primary,8,7,1,2147,"Justice of the Peace, Precinct No. 3",Abel Suniga,DEM,38,37
Bee County,3/6/2018,2018 Democrat Primary,8,7,1,2147,County Chairman,Dela Castillo,DEM,35,39
Bee County,3/6/2018,2018 Democrat Primary,8,7,2,274,United States Senator,Edward Kimbrough,DEM,0,1
Bee County,3/6/2018,2018 Democrat Primary,8,7,2,274,United States Senator,Beto O'Rourke,DEM,0,1
Bee County,3/6/2018,2018 Democrat Primary,8,7,2,274,United States Senator,Sema Hernandez,DEM,0,0
Bee County,3/6/2018,2018 Democrat Primary,8,7,2,274,"United States Representative, District No. 34",Filemon B. Vela,DEM,0,0
Bee County,3/6/2018,2018 Democrat Primary,8,7,2,274,Governor,Andrew White,DEM,0,1
Bee County,3/6/2018,2018 Democrat Primary,8,7,2,274,Governor,Grady Yarbrough,DEM,0,0
Bee County,3/6/2018,2018 Democrat Primary,8,7,2,274,Governor,"Cedric Davis, Sr.",DEM,0,1
Bee County,3/6/2018,2018 Democrat Primary,8,7,2,274,Governor,Tom Wakely,DEM,0,0
Bee County,3/6/2018,2018 Democrat Primary,8,7,2,274,Governor,James Jolly Clark,DEM,0,0
Bee County,3/6/2018,2018 Democrat Primary,8,7,2,274,Governor,Jeffrey Payne,DEM,0,0
Bee County,3/6/2018,2018 Democrat Primary,8,7,2,274,Governor,Joe Mumbach,DEM,0,0
Bee County,3/6/2018,2018 Democrat Primary,8,7,2,274,Governor,Adrian Ocegueda,DEM,0,0
Bee County,3/6/2018,2018 Democrat Primary,8,7,2,274,Governor,Lupe Valdez,DEM,0,0
Bee County,3/6/2018,2018 Democrat Primary,8,7,2,274,Lieutenant Governor,Michael Cooper,DEM,0,1
Bee County,3/6/2018,2018 Democrat Primary,8,7,2,274,Lieutenant Governor,Mike Collier,DEM,0,1
Bee County,3/6/2018,2018 Democrat Primary,8,7,2,274,Attorney General,Justin Nelson,DEM,0,1
Bee County,3/6/2018,2018 Democrat Primary,8,7,2,274,Comptroller of Public Accounts,Tim Mahoney,DEM,0,1
Bee County,3/6/2018,2018 Democrat Primary,8,7,2,274,Comptroller of Public Accounts,Joi Chevalier,DEM,0,1
Bee County,3/6/2018,2018 Democrat Primary,8,7,2,274,Commissioner of the General Land Office,Tex Morgan,DEM,0,1
Bee County,3/6/2018,2018 Democrat Primary,8,7,2,274,Commissioner of the General Land Office,Miguel Suazo,DEM,0,1
Bee County,3/6/2018,2018 Democrat Primary,8,7,2,274,Commissioner of Agriculture,Kim Olson,DEM,0,1
Bee County,3/6/2018,2018 Democrat Primary,8,7,2,274,Railroad Commissioner,Roman McAllen,DEM,0,0
Bee County,3/6/2018,2018 Democrat Primary,8,7,2,274,Railroad Commissioner,Chris Spellmon,DEM,0,1
Bee County,3/6/2018,2018 Democrat Primary,8,7,2,274,"Justice, Supreme Court, Place 2",Steven Kirkland,DEM,0,2
Bee County,3/6/2018,2018 Democrat Primary,8,7,2,274,"Justice, Supreme Court, Place 4",R.K. Sandill,DEM,0,1
Bee County,3/6/2018,2018 Democrat Primary,8,7,2,274,"Justice, Supreme Court, Place 6",Kathy Cheng,DEM,0,1
Bee County,3/6/2018,2018 Democrat Primary,8,7,2,274,"Presiding Judge, Court of Criminal Appeals",Maria T. (Terri) Jackson,DEM,0,1
