political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,party_code,candidate_name,early_votes,election_votes
BRAZORIA COUNTY,5/24/2022,Republican Party Primary Runoff Election,,,1 - BS3,4534,Attorney General,REP,George P. Bush,64,38
BRAZORIA COUNTY,5/24/2022,Republican Party Primary Runoff Election,,,1 - BS3,4534,Attorney General,REP,Ken Paxton,138,83
BRAZORIA COUNTY,5/24/2022,Republican Party Primary Runoff Election,,,1 - BS3,4534,Commissioner of the General Land Office,REP,Tim Westley,59,31
BRAZORIA COUNTY,5/24/2022,Republican Party Primary Runoff Election,,,1 - BS3,4534,Commissioner of the General Land Office,REP,Dawn Buckingham,124,77
BRAZORIA COUNTY,5/24/2022,Republican Party Primary Runoff Election,,,1 - BS3,4534,Railroad Commissioner,REP,Wayne Christian,129,65
BRAZORIA COUNTY,5/24/2022,Republican Party Primary Runoff Election,,,1 - BS3,4534,Railroad Commissioner,REP,Sarah Stogner,60,48
BRAZORIA COUNTY,5/24/2022,Republican Party Primary Runoff Election,,,1 - BS3,4534,"District Judge, 149th Judicial District",REP,Jessica Pulcher,106,47
BRAZORIA COUNTY,5/24/2022,Republican Party Primary Runoff Election,,,1 - BS3,4534,"District Judge, 149th Judicial District",REP,Michelle R. Townsend,102,71
BRAZORIA COUNTY,5/24/2022,Republican Party Primary Runoff Election,,,1 - BS3,4534,"Judge, County Court at Law No. 2 & Probate",REP,Natalie Broaddus,108,72
BRAZORIA COUNTY,5/24/2022,Republican Party Primary Runoff Election,,,1 - BS3,4534,"Judge, County Court at Law No. 2 & Probate",REP,Thomas Pfeiffer,98,52
BRAZORIA COUNTY,5/24/2022,Republican Party Primary Runoff Election,,,1 - BS3,4534,District Clerk,REP,Dana Read,61,34
BRAZORIA COUNTY,5/24/2022,Republican Party Primary Runoff Election,,,1 - BS3,4534,District Clerk,REP,Cassandra Tigner,139,86
BRAZORIA COUNTY,5/24/2022,Republican Party Primary Runoff Election,,,2 - BS3,4090,Attorney General,REP,George P. Bush,56,25
BRAZORIA COUNTY,5/24/2022,Republican Party Primary Runoff Election,,,2 - BS3,4090,Attorney General,REP,Ken Paxton,190,132
BRAZORIA COUNTY,5/24/2022,Republican Party Primary Runoff Election,,,2 - BS3,4090,Commissioner of the General Land Office,REP,Tim Westley,46,43
BRAZORIA COUNTY,5/24/2022,Republican Party Primary Runoff Election,,,2 - BS3,4090,Commissioner of the General Land Office,REP,Dawn Buckingham,190,101
BRAZORIA COUNTY,5/24/2022,Republican Party Primary Runoff Election,,,2 - BS3,4090,Railroad Commissioner,REP,Wayne Christian,182,97
BRAZORIA COUNTY,5/24/2022,Republican Party Primary Runoff Election,,,2 - BS3,4090,Railroad Commissioner,REP,Sarah Stogner,58,49
BRAZORIA COUNTY,5/24/2022,Republican Party Primary Runoff Election,,,2 - BS3,4090,"District Judge, 149th Judicial District",REP,Jessica Pulcher,151,103
BRAZORIA COUNTY,5/24/2022,Republican Party Primary Runoff Election,,,2 - BS3,4090,"District Judge, 149th Judicial District",REP,Michelle R. Townsend,90,49
BRAZORIA COUNTY,5/24/2022,Republican Party Primary Runoff Election,,,2 - BS3,4090,"Judge, County Court at Law No. 2 & Probate",REP,Natalie Broaddus,105,78
