political _subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,party code,early_votes,election_votes
Randall County,5/24/2022,Republican Primary Runoff,0,0,103,936,Attorney General,Ken Paxton,,12,8
Randall County,5/24/2022,Republican Primary Runoff,0,0,103,936,Attorney General,George P. Bush,,7,7
Randall County,5/24/2022,Republican Primary Runoff,0,0,103,936,Commissioner of the General Land Office,Tim Westley,,9,7
Randall County,5/24/2022,Republican Primary Runoff,0,0,103,936,Commissioner of the General Land Office,Dawn Buckingham,,8,4
Randall County,5/24/2022,Republican Primary Runoff,0,0,103,936,Railroad Commissioner,Wayne Christian,,14,7
Randall County,5/24/2022,Republican Primary Runoff,0,0,103,936,Railroad Commissioner,Sarah Stogner,,3,2
Randall County,5/24/2022,Republican Primary Runoff,0,0,103,936,"District Judge, 47th Judicial District",Dee Johnson,,9,4
Randall County,5/24/2022,Republican Primary Runoff,0,0,103,936,"District Judge, 47th Judicial District",Joe Marr Wilson,,8,10
Randall County,5/24/2022,Republican Primary Runoff,3,2,110,3839,Attorney General,Ken Paxton,,110,103
Randall County,5/24/2022,Republican Primary Runoff,3,2,110,3839,Attorney General,George P. Bush,,32,15
Randall County,5/24/2022,Republican Primary Runoff,3,2,110,3839,Commissioner of the General Land Office,Tim Westley,,55,55
Randall County,5/24/2022,Republican Primary Runoff,3,2,110,3839,Commissioner of the General Land Office,Dawn Buckingham,,83,58
Randall County,5/24/2022,Republican Primary Runoff,3,2,110,3839,Railroad Commissioner,Wayne Christian,,97,64
Randall County,5/24/2022,Republican Primary Runoff,3,2,110,3839,Railroad Commissioner,Sarah Stogner,,41,50
Randall County,5/24/2022,Republican Primary Runoff,3,2,110,3839,"District Judge, 47th Judicial District",Dee Johnson,,73,74
Randall County,5/24/2022,Republican Primary Runoff,3,2,110,3839,"District Judge, 47th Judicial District",Joe Marr Wilson,,67,45
Randall County,5/24/2022,Republican Primary Runoff,3,2,110,3839,"Justice of the Peace, Precinct No. 4",Kyle Balke,,70,58
Randall County,5/24/2022,Republican Primary Runoff,3,2,110,3839,"Justice of the Peace, Precinct No. 4",Joanne Garcia Flores,,69,55
Randall County,5/24/2022,Republican Primary Runoff,0,0,111,5024,Attorney General,Ken Paxton,,110,91
Randall County,5/24/2022,Republican Primary Runoff,0,0,111,5024,Attorney General,George P. Bush,,31,26
Randall County,5/24/2022,Republican Primary Runoff,0,0,111,5024,Commissioner of the General Land Office,Tim Westley,,67,43
Randall County,5/24/2022,Republican Primary Runoff,0,0,111,5024,Commissioner of the General Land Office,Dawn Buckingham,,69,59
Randall County,5/24/2022,Republican Primary Runoff,0,0,111,5024,Railroad Commissioner,Wayne Christian,,107,67
Randall County,5/24/2022,Republican Primary Runoff,0,0,111,5024,Railroad Commissioner,Sarah Stogner,,26,37
Randall County,5/24/2022,Republican Primary Runoff,0,0,111,5024,"District Judge, 47th Judicial District",Dee Johnson,,74,60
Randall County,5/24/2022,Republican Primary Runoff,0,0,111,5024,"District Judge, 47th Judicial District",Joe Marr Wilson,,64,53
Randall County,5/24/2022,Republican Primary Runoff,0,0,111,5024,"Justice of the Peace, Precinct No. 4",Kyle Balke,,62,44
Randall County,5/24/2022,Republican Primary Runoff,0,0,111,5024,"Justice of the Peace, Precinct No. 4",Joanne Garcia Flores,,74,67
Randall County,5/24/2022,Republican Primary Runoff,1,0,112,3912,Attorney General,Ken Paxton,,65,61
Randall County,5/24/2022,Republican Primary Runoff,1,0,112,3912,Attorney General,George P. Bush,,31,15
Randall County,5/24/2022,Republican Primary Runoff,1,0,112,3912,Commissioner of the General Land Office,Tim Westley,,41,35
Randall County,5/24/2022,Republican Primary Runoff,1,0,112,3912,Commissioner of the General Land Office,Dawn Buckingham,,48,35
Randall County,5/24/2022,Republican Primary Runoff,1,0,112,3912,Railroad Commissioner,Wayne Christian,,55,44
Randall County,5/24/2022,Republican Primary Runoff,1,0,112,3912,Railroad Commissioner,Sarah Stogner,,34,26
Randall County,5/24/2022,Republican Primary Runoff,1,0,112,3912,"District Judge, 47th Judicial District",Dee Johnson,,49,42
Randall County,5/24/2022,Republican Primary Runoff,1,0,112,3912,"District Judge, 47th Judicial District",Joe Marr Wilson,,47,33
Randall County,5/24/2022,Republican Primary Runoff,1,0,112,3912,"Justice of the Peace, Precinct No. 4",Kyle Balke,,35,22
Randall County,5/24/2022,Republican Primary Runoff,1,0,112,3912,"Justice of the Peace, Precinct No. 4",Joanne Garcia Flores,,58,52
Randall County,5/24/2022,Republican Primary Runoff,0,0,114,3617,Attorney General,Ken Paxton,,85,67
Randall County,5/24/2022,Republican Primary Runoff,0,0,114,3617,Attorney General,George P. Bush,,35,14
Randall County,5/24/2022,Republican Primary Runoff,0,0,114,3617,Commissioner of the General Land Office,Tim Westley,,61,52
Randall County,5/24/2022,Republican Primary Runoff,0,0,114,3617,Commissioner of the General Land Office,Dawn Buckingham,,53,31
Randall County,5/24/2022,Republican Primary Runoff,0,0,114,3617,Railroad Commissioner,Wayne Christian,,82,56
Randall County,5/24/2022,Republican Primary Runoff,0,0,114,3617,Railroad Commissioner,Sarah Stogner,,31,28
Randall County,5/24/2022,Republican Primary Runoff,0,0,114,3617,"District Judge, 47th Judicial District",Dee Johnson,,50,57
Randall County,5/24/2022,Republican Primary Runoff,0,0,114,3617,"District Judge, 47th Judicial District",Joe Marr Wilson,,68,28
Randall County,5/24/2022,Republican Primary Runoff,0,0,114,3617,"Justice of the Peace, Precinct No. 4",Kyle Balke,,64,37
Randall County,5/24/2022,Republican Primary Runoff,0,0,114,3617,"Justice of the Peace, Precinct No. 4",Joanne Garcia Flores,,52,46
Randall County,5/24/2022,Republican Primary Runoff,0,0,123,879,Attorney General,Ken Paxton,,32,24
Randall County,5/24/2022,Republican Primary Runoff,0,0,123,879,Attorney General,George P. Bush,,5,8
Randall County,5/24/2022,Republican Primary Runoff,0,0,123,879,Commissioner of the General Land Office,Tim Westley,,9,10
Randall County,5/24/2022,Republican Primary Runoff,0,0,123,879,Commissioner of the General Land Office,Dawn Buckingham,,24,20
Randall County,5/24/2022,Republican Primary Runoff,0,0,123,879,Railroad Commissioner,Wayne Christian,,32,24
Randall County,5/24/2022,Republican Primary Runoff,0,0,123,879,Railroad Commissioner,Sarah Stogner,,3,4
Randall County,5/24/2022,Republican Primary Runoff,0,0,123,879,"District Judge, 47th Judicial District",Dee Johnson,,27,24
Randall County,5/24/2022,Republican Primary Runoff,0,0,123,879,"District Judge, 47th Judicial District",Joe Marr Wilson,,9,7
Randall County,5/24/2022,Republican Primary Runoff,0,0,131,1666,Attorney General,Ken Paxton,,68,84
Randall County,5/24/2022,Republican Primary Runoff,0,0,131,1666,Attorney General,George P. Bush,,25,24
Randall County,5/24/2022,Republican Primary Runoff,0,0,131,1666,Commissioner of the General Land Office,Tim Westley,,28,39
Randall County,5/24/2022,Republican Primary Runoff,0,0,131,1666,Commissioner of the General Land Office,Dawn Buckingham,,55,59
Randall County,5/24/2022,Republican Primary Runoff,0,0,131,1666,Railroad Commissioner,Wayne Christian,,62,71
Randall County,5/24/2022,Republican Primary Runoff,0,0,131,1666,Railroad Commissioner,Sarah Stogner,,22,31
Randall County,5/24/2022,Republican Primary Runoff,0,0,131,1666,"District Judge, 47th Judicial District",Dee Johnson,,54,52
Randall County,5/24/2022,Republican Primary Runoff,0,0,131,1666,"District Judge, 47th Judicial District",Joe Marr Wilson,,37,54
Randall County,5/24/2022,Republican Primary Runoff,0,0,131,1666,"Justice of the Peace, Precinct No. 4",Kyle Balke,,46,62
Randall County,5/24/2022,Republican Primary Runoff,0,0,131,1666,"Justice of the Peace, Precinct No. 4",Joanne Garcia Flores,,42,35
Randall County,5/24/2022,Republican Primary Runoff,1,1,204,4422,Attorney General,Ken Paxton,,228,137
Randall County,5/24/2022,Republican Primary Runoff,1,1,204,4422,Attorney General,George P. Bush,,95,66
Randall County,5/24/2022,Republican Primary Runoff,1,1,204,4422,Commissioner of the General Land Office,Tim Westley,,125,84
Randall County,5/24/2022,Republican Primary Runoff,1,1,204,4422,Commissioner of the General Land Office,Dawn Buckingham,,155,97
Randall County,5/24/2022,Republican Primary Runoff,1,1,204,4422,Railroad Commissioner,Wayne Christian,,234,129
Randall County,5/24/2022,Republican Primary Runoff,1,1,204,4422,Railroad Commissioner,Sarah Stogner,,60,53
Randall County,5/24/2022,Republican Primary Runoff,1,1,204,4422,"District Judge, 47th Judicial District",Dee Johnson,,189,105
Randall County,5/24/2022,Republican Primary Runoff,1,1,204,4422,"District Judge, 47th Judicial District",Joe Marr Wilson,,134,99
Randall County,5/24/2022,Republican Primary Runoff,1,1,204,4422,"County Commissioner, Precinct No. 2",Eric Barry,,162,115
Randall County,5/24/2022,Republican Primary Runoff,1,1,204,4422,"County Commissioner, Precinct No. 2",Terry Wright,,148,83
Randall County,5/24/2022,Republican Primary Runoff,1,1,204,4422,"Justice of the Peace, Precinct No. 4",Kyle Balke,,162,102
Randall County,5/24/2022,Republican Primary Runoff,1,1,204,4422,"Justice of the Peace, Precinct No. 4",Joanne Garcia Flores,,149,98
Randall County,5/24/2022,Republican Primary Runoff,0,0,208,1582,Attorney General,Ken Paxton,,34,52
Randall County,5/24/2022,Republican Primary Runoff,0,0,208,1582,Attorney General,George P. Bush,,22,16
Randall County,5/24/2022,Republican Primary Runoff,0,0,208,1582,Commissioner of the General Land Office,Tim Westley,,25,26
Randall County,5/24/2022,Republican Primary Runoff,0,0,208,1582,Commissioner of the General Land Office,Dawn Buckingham,,28,34
Randall County,5/24/2022,Republican Primary Runoff,0,0,208,1582,Railroad Commissioner,Wayne Christian,,44,45
Randall County,5/24/2022,Republican Primary Runoff,0,0,208,1582,Railroad Commissioner,Sarah Stogner,,10,17
Randall County,5/24/2022,Republican Primary Runoff,0,0,208,1582,"District Judge, 47th Judicial District",Dee Johnson,,30,35
Randall County,5/24/2022,Republican Primary Runoff,0,0,208,1582,"District Judge, 47th Judicial District",Joe Marr Wilson,,26,31
Randall County,5/24/2022,Republican Primary Runoff,0,0,208,1582,"County Commissioner, Precinct No. 2",Eric Barry,,24,32
Randall County,5/24/2022,Republican Primary Runoff,0,0,208,1582,"County Commissioner, Precinct No. 2",Terry Wright,,32,31
Randall County,5/24/2022,Republican Primary Runoff,0,0,208,1582,"Justice of the Peace, Precinct No. 4",Kyle Balke,,27,25
Randall County,5/24/2022,Republican Primary Runoff,0,0,208,1582,"Justice of the Peace, Precinct No. 4",Joanne Garcia Flores,,29,38
Randall County,5/24/2022,Republican Primary Runoff,0,0,216,1980,Attorney General,Ken Paxton,,28,25
Randall County,5/24/2022,Republican Primary Runoff,0,0,216,1980,Attorney General,George P. Bush,,27,9
Randall County,5/24/2022,Republican Primary Runoff,0,0,216,1980,Commissioner of the General Land Office,Tim Westley,,30,19
Randall County,5/24/2022,Republican Primary Runoff,0,0,216,1980,Commissioner of the General Land Office,Dawn Buckingham,,18,12
Randall County,5/24/2022,Republican Primary Runoff,0,0,216,1980,Railroad Commissioner,Wayne Christian,,38,18
Randall County,5/24/2022,Republican Primary Runoff,0,0,216,1980,Railroad Commissioner,Sarah Stogner,,11,13
