,,,,,#FormatVersion 1,,,,,,
political_subdivision,election_date,election_name,total provisional ballots ,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,party code,early_votes,election_votes
Fannin County,5/7/2022,2022 MAY 7TH CONSTITUTIONAL AMENDMENT 5/7/2022,6,5,1 W. Bonham,0,State of Texas Proposition 1,For,,0,76
Fannin County,5/7/2022,2023 MAY 7TH CONSTITUTIONAL AMENDMENT 5/7/2022,6,5,1 W. Bonham,0,State of Texas Proposition 1,Against,,251,6
Fannin County,5/7/2022,2024 MAY 7TH CONSTITUTIONAL AMENDMENT 5/7/2022,6,5,1 W. Bonham,0,State of Texas Proposition 2,For,,260,75
Fannin County,5/7/2022,2025 MAY 7TH CONSTITUTIONAL AMENDMENT 5/7/2022,6,5,1 W. Bonham,0,State of Texas Proposition 2,Against,,241,7
Fannin County,5/7/2022,2026 MAY 7TH CONSTITUTIONAL AMENDMENT 5/7/2022,6,5,2 Savoy,0,State of Texas Proposition 1,For,,150,168
Fannin County,5/7/2022,2027 MAY 7TH CONSTITUTIONAL AMENDMENT 5/7/2022,6,5,2 Savoy,0,State of Texas Proposition 1,Against,,159,11
Fannin County,5/7/2022,2028 MAY 7TH CONSTITUTIONAL AMENDMENT 5/7/2022,6,5,2 Savoy,0,State of Texas Proposition 2,For,,3,154
Fannin County,5/7/2022,2029 MAY 7TH CONSTITUTIONAL AMENDMENT 5/7/2022,6,5,2 Savoy,0,State of Texas Proposition 2,Against,,18,24
Fannin County,5/7/2022,2030 MAY 7TH CONSTITUTIONAL AMENDMENT 5/7/2022,6,5,3 Ladonia,0,State of Texas Proposition 1,For,,6,103
Fannin County,5/7/2022,2031 MAY 7TH CONSTITUTIONAL AMENDMENT 5/7/2022,6,5,3 Ladonia,0,State of Texas Proposition 1,Against,,6,19
Fannin County,5/7/2022,2032 MAY 7TH CONSTITUTIONAL AMENDMENT 5/7/2022,6,5,3 Ladonia,0,State of Texas Proposition 2,For,,5,86
Fannin County,5/7/2022,2033 MAY 7TH CONSTITUTIONAL AMENDMENT 5/7/2022,6,5,3 Ladonia,0,State of Texas Proposition 2,Against,,6,38
Fannin County,5/7/2022,2034 MAY 7TH CONSTITUTIONAL AMENDMENT 5/7/2022,6,5,4 No. Bonham,0,State of Texas Proposition 1,For,,3,88
Fannin County,5/7/2022,2035 MAY 7TH CONSTITUTIONAL AMENDMENT 5/7/2022,6,5,4 No. Bonham,0,State of Texas Proposition 1,Against,,25,21
Fannin County,5/7/2022,2036 MAY 7TH CONSTITUTIONAL AMENDMENT 5/7/2022,6,5,4 No. Bonham,0,State of Texas Proposition 2,For,,6,88
Fannin County,5/7/2022,2037 MAY 7TH CONSTITUTIONAL AMENDMENT 5/7/2022,6,5,4 No. Bonham,0,State of Texas Proposition 2,Against,,15,19
Fannin County,5/7/2022,2038 MAY 7TH CONSTITUTIONAL AMENDMENT 5/7/2022,6,5,5 Ivanhoe,0,State of Texas Proposition 1,For,,10,14
Fannin County,5/7/2022,2039 MAY 7TH CONSTITUTIONAL AMENDMENT 5/7/2022,6,5,5 Ivanhoe,0,State of Texas Proposition 1,Against,,9,0
Fannin County,5/7/2022,2040 MAY 7TH CONSTITUTIONAL AMENDMENT 5/7/2022,6,5,5 Ivanhoe,0,State of Texas Proposition 2,For,,9,14
Fannin County,5/7/2022,2041 MAY 7TH CONSTITUTIONAL AMENDMENT 5/7/2022,6,5,5 Ivanhoe,0,State of Texas Proposition 2,Against,,17,0
