000000000300000000003000000000000000000PRECINCTS COUNTED - TOTAL                               PRECINCTS COUNTED - TOTAL                                      00 
00010010030005762000300057620          REGISTERED VOTERS - TOTAL                               REGISTERED VOTERS - TOTAL                                      00 
00020010030000000000300000000          REGISTERED VOTERS - Republican Party                    REGISTERED VOTERS - Republican Party                           00 
00030010030000000000300000000          REGISTERED VOTERS - Democratic Party                    REGISTERED VOTERS - Democratic Party                           00 
00040010030005762000300057620          REGISTERED VOTERS - NONPARTISAN                         REGISTERED VOTERS - NONPARTISAN                                00 
0005001003000040500030000000           BALLOTS CAST - TOTAL                                    BALLOTS CAST - TOTAL                                           00 
0006001003000034730030000000 REP       BALLOTS CAST - Republican Party                         BALLOTS CAST - Republican Party                                00 
0007001003000005770030000000 DEM       BALLOTS CAST - Democratic Party                         BALLOTS CAST - Democratic Party                                00 
0008001003000000000030000000 NON       BALLOTS CAST - NONPARTISAN                              BALLOTS CAST - NONPARTISAN                                     00 
0009001003000000010030000000           BALLOTS CAST - BLANK                                    BALLOTS CAST - BLANK                                           00 
0010001003000009090030000000 REP       REP Attorney General                                    George P. Bush                                                 01 
0010002003000025460030000000 REP       REP Attorney General                                    Ken Paxton                                                     01 
0011001003000011590030000000 REP       REP Comm General Land Office                            Tim Westley                                                    01 
0011002003000021340030000000 REP       REP Comm General Land Office                            Dawn Buckingham                                                01 
0012001003000014460030000000 REP       REP Railroad Commissioner                               Sarah Stogner                                                  01 
0012002003000018960030000000 REP       REP Railroad Commissioner                               Wayne Christian                                                01 
0013001000100000710001000000 REPPCH2PSSREP Precinct Chair 2PSS                                 Randall E. Johnston                   2PSS                     01 
0013002000100000720001000000 REPPCH2PSSREP Precinct Chair 2PSS                                 Kerri Hargrove Russ                   2PSS                     01 
