COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,REGISTERED VOTERS - Republican Party,REGISTERED VOTERS - Democratic Party,REGISTERED VOTERS - NONPARTISAN,BALLOTS CAST TOTAL,BALLOTS CAST - Republican Party,BALLOTS CAST - Democratic Party,BALLOTS CAST - NONPARTISAN,BALLOTS CAST BLANK,REP Attorney General,REP Attorney General,REP Comm General Land Office,REP Comm General Land Office,REP Railroad Commissioner,REP Railroad Commissioner,"REP State Rep, Dist 85","REP State Rep, Dist 85",REP County Judge,REP County Judge,DEM Lieutenant Governor,DEM Lieutenant Governor,DEM Attorney General,DEM Attorney General,DEM Comptroller of Public Accounts,DEM Comptroller of Public Accounts,DEM Comm General Land Office,DEM Comm General Land Office
,,,,REP,DEM,NON,,REP,DEM,NON,,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM
,,,VOTERS,VOTERS,VOTERS,VOTERS,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,George P. Bush,Ken Paxton,Tim Westley,Dawn Buckingham,Wayne Christian,Sarah Stogner,Stan Kitzman,Phil W. Stephenson,Dan Mueller,Craig Moreau,Michelle Beckley,Mike Collier,Joe Jaworski,Rochelle Mercedes Garza,Angel Luis Vega,Janet T. Dudding,Sandragrace Martinez,Jay Kleberg
FAYET,1,101N La Grange,2013,0,0,2013,564,515,49,0,0,259,232,186,230,308,118,230,220,278,234,19,29,25,23,13,33,14,32
FAYET,2,110 Warda,1006,0,0,1006,279,263,16,0,0,114,139,93,122,147,71,138,96,138,115,4,12,8,8,7,9,5,11
FAYET,3,112 Plum,1256,0,0,1256,274,256,18,0,0,121,130,91,126,162,63,129,107,137,118,9,9,11,7,4,14,6,12
FAYET,4,201E La Grange,1270,0,0,1270,412,393,19,0,0,164,210,118,181,201,102,171,163,178,211,6,13,9,10,9,9,10,9
FAYET,5,204 Fayetteville,1467,0,0,1467,486,463,23,0,0,172,276,162,235,309,96,254,160,222,238,4,18,16,7,3,18,6,17
FAYET,6,207 Round Top,1919,0,0,1919,640,604,36,0,0,236,348,198,297,361,143,398,145,290,308,11,25,27,9,11,25,10,26
FAYET,7,301W La Grange,1747,0,0,1747,571,532,39,0,0,242,273,192,250,303,142,264,204,251,278,14,25,27,12,10,27,10,28
FAYET,8,315 Cistern,694,0,0,694,178,171,7,0,0,55,110,63,91,121,35,93,61,108,60,1,5,5,2,2,4,2,4
FAYET,9,316 Flatonia,2072,0,0,2072,503,465,38,0,0,178,271,147,253,334,74,280,137,295,165,14,23,17,19,14,23,16,21
FAYET,10,422 Ammannsville,685,0,0,685,278,263,15,0,0,102,150,83,128,151,70,133,88,171,90,6,9,5,10,3,12,5,10
FAYET,11,423 Holman,865,0,0,865,307,298,9,0,1,119,158,106,130,178,68,153,104,184,111,3,6,4,5,4,5,4,5
FAYET,12,425 Schulenburg,2605,0,0,2605,761,708,53,0,4,283,406,254,344,472,150,459,187,463,241,17,31,25,24,20,28,20,28
FAYET,ZZZ,COUNTY TOTALS,17599,0,0,17599,5253,4931,322,0,5,2045,2703,1693,2387,3047,1132,2702,1672,2715,2169,108,205,179,136,100,207,108,203
