COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,REGISTERED VOTERS - Republican Party,REGISTERED VOTERS - Democratic Party,REGISTERED VOTERS - NONPARTISAN,BALLOTS CAST TOTAL,BALLOTS CAST - Republican Party,BALLOTS CAST - Democratic Party,BALLOTS CAST - NONPARTISAN,BALLOTS CAST BLANK,REP Attorney General,REP Attorney General,REP Attorney General,REP Attorney General,REP Comm General Land Office,REP Comm General Land Office,REP Comm General Land Office,REP Comm General Land Office,REP Railroad Commissioner,REP Railroad Commissioner,REP Railroad Commissioner,REP Railroad Commissioner,DEM Lieutenant Governor,DEM Lieutenant Governor,DEM Lieutenant Governor,DEM Lieutenant Governor,DEM Attorney General,DEM Attorney General,DEM Attorney General,DEM Attorney General,DEM Comptroller of Public Accounts,DEM Comptroller of Public Accounts,DEM Comptroller of Public Accounts,DEM Comptroller of Public Accounts,DEM Comm General Land Office,DEM Comm General Land Office,DEM Comm General Land Office,DEM Comm General Land Office,
,,,,REP,DEM,NON,,REP,DEM,NON,,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,
,,,VOTERS,VOTERS,VOTERS,VOTERS,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,Ken Paxton,George P. Bush,OVER VOTES,UNDER VOTES,Dawn Buckingham,Tim Westley,OVER VOTES,UNDER VOTES,Wayne Christian,Sarah Stogner,OVER VOTES,UNDER VOTES,Mike Collier,Michelle Beckley,OVER VOTES,UNDER VOTES,Joe Jaworski,Rochelle Mercedes Garza,OVER VOTES,UNDER VOTES,Janet T. Dudding,Angel Luis Vega,OVER VOTES,UNDER VOTES,Jay Kleberg,Sandragrace Martinez,OVER VOTES,UNDER VOTES,
FISHE,0001,Box 1,656,0,0,656,13,6,7,0,0,5,1,0,0,6,0,0,0,6,0,0,0,4,3,0,0,7,0,0,0,6,0,0,1,6,1,0,0,
FISHE,0001,Box 1,656,0,0,656,7,7,0,0,0,6,1,0,0,6,1,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FISHE,0001,Box 1,656,0,0,656,28,26,2,0,0,25,1,0,0,20,6,0,0,23,3,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,
FISHE,0002,Box 4,655,0,0,655,9,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,1,5,3,0,1,7,0,0,2,7,1,0,1,
FISHE,0002,Box 4,655,0,0,655,7,7,0,0,0,3,4,0,0,7,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FISHE,0002,Box 4,655,0,0,655,34,33,1,0,0,29,4,0,0,30,1,0,2,24,7,0,2,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,
FISHE,0003,Box 10,624,0,0,624,8,2,6,0,0,2,0,0,0,2,0,0,0,2,0,0,0,1,5,0,0,3,3,0,0,5,1,0,0,3,3,0,0,
FISHE,0003,Box 10,624,0,0,624,6,6,0,0,0,4,2,0,0,4,2,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FISHE,0003,Box 10,624,0,0,624,32,30,2,0,0,28,2,0,0,26,4,0,0,27,3,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,
FISHE,0004,Box 12,732,0,0,732,10,3,7,0,1,3,0,0,0,1,2,0,0,2,1,0,0,5,1,0,1,4,2,0,1,2,4,0,1,3,3,0,1,
FISHE,0004,Box 12,732,0,0,732,10,10,0,0,0,9,1,0,0,8,2,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FISHE,0004,Box 12,732,0,0,732,32,29,3,0,0,26,3,0,0,24,3,0,2,23,4,0,2,3,0,0,0,3,0,0,0,0,3,0,0,1,2,0,0,
FISHE,ZZZ,COUNTY TOTALS,2667,0,0,2667,196,159,37,0,2,140,19,0,0,134,21,0,4,130,23,0,6,22,13,0,2,25,10,0,2,21,12,0,4,22,13,0,2,
