000000000080000000000800000000000000000PRECINCTS COUNTED - TOTAL                               PRECINCTS COUNTED - TOTAL                                      00 
00010010008000229900080002299          REGISTERED VOTERS - TOTAL                               REGISTERED VOTERS - TOTAL                                      00 
00020010008000000000080000000          REGISTERED VOTERS - Republican Party                    REGISTERED VOTERS - Republican Party                           00 
00030010008000000000080000000          REGISTERED VOTERS - Democratic Party                    REGISTERED VOTERS - Democratic Party                           00 
00040010008000229900080002299          REGISTERED VOTERS - NONPARTISAN                         REGISTERED VOTERS - NONPARTISAN                                00 
0005001000800002170008008008           BALLOTS CAST - TOTAL                                    BALLOTS CAST - TOTAL                                           00 
0006001000800002050008008008 REP       BALLOTS CAST - Republican Party                         BALLOTS CAST - Republican Party                                00 
0007001000800000120008008008 DEM       BALLOTS CAST - Democratic Party                         BALLOTS CAST - Democratic Party                                00 
0008001000800000000008008008 NON       BALLOTS CAST - NONPARTISAN                              BALLOTS CAST - NONPARTISAN                                     00 
0009001000800000010008008008           BALLOTS CAST - BLANK                                    BALLOTS CAST - BLANK                                           00 
0010001000800000050008008008 DEM       DEM Lieutenant Governor                                 Michelle Beckley                                               01 
0010002000800000070008008008 DEM       DEM Lieutenant Governor                                 Mike Collier                                                   01 
0011001000800000030008008008 DEM       DEM Attorney General                                    Joe Jaworski                                                   01 
0011002000800000080008008008 DEM       DEM Attorney General                                    Rochelle Mercedes Garza                                        01 
0012001000800000020008008008 DEM       DEM Comptroller of Public Accounts                      Angel Luis Vega                                                01 
0012002000800000100008008008 DEM       DEM Comptroller of Public Accounts                      Janet T. Dudding                                               01 
0013001000800000100008008008 DEM       DEM Comm General Land Office                            Jay Kleberg                                                    01 
0013002000800000020008008008 DEM       DEM Comm General Land Office                            Sandragrace Martinez                                           01 
