Bexar County,May 24 2022 - Democrats,Joint Primary Runoff,Total Provisionals:  24,Total Provisionals Counted:  14,,,,,,,,,
1001,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,878,,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,148,,59,,15,,74,,,,,
Ballots Cast - Democratic Party,,131,,52,,14,,65,,,,,
Ballots Cast - Blank,,0,,0,,0,,0,,,,,
Voter Turnout - Total,,16.86%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,60,,49.59%,,25,,4,,,31,,
Mike Collier,,61,,50.41%,,21,,10,,,30,,
Total Votes Cast,,121,,100.00%,,46,,14,,,61,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,10,,,,6,,0,,,4,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,93,,73.81%,,41,,7,,,45,,
Joe Jaworski,,33,,26.19%,,7,,7,,,19,,
Total Votes Cast,,126,,100.00%,,48,,14,,,64,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,5,,,,4,,0,,,1,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,53,,46.09%,,20,,6,,,27,,
Janet T. Dudding,,62,,53.91%,,24,,8,,,30,,
Total Votes Cast,,115,,100.00%,,44,,14,,,57,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,16,,,,8,,0,,,8,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,67,,54.03%,,30,,4,,,33,,
Jay Kleberg,,57,,45.97%,,18,,10,,,29,,
Total Votes Cast,,124,,100.00%,,48,,14,,,62,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,7,,,,4,,0,,,3,,
,,,,,,,,,,1,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1001,,,,,,,,,,,,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,64,,50.00%,,30,,7,,,27,,
Peter Sakai,,64,,50.00%,,22,,7,,,35,,
Total Votes Cast,,128,,100.00%,,52,,14,,,62,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,3,,,,0,,0,,,3,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,61,,53.04%,,20,,7,,,34,,
Maria Teresa Garcia,,54,,46.96%,,25,,7,,,22,,
Total Votes Cast,,115,,100.00%,,45,,14,,,56,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,16,,,,7,,0,,,9,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,45,,37.19%,,13,,5,,,27,,
"Christine ""Chris"" Castillo",,76,,62.81%,,35,,9,,,32,,
Total Votes Cast,,121,,100.00%,,48,,14,,,59,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,10,,,,4,,0,,,6,,
,,,,,,,,,,2,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1002,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,671,,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,57,,23,,14,,20,,,,,
Ballots Cast - Democratic Party,,32,,9,,11,,12,,,,,
Ballots Cast - Blank,,1,,1,,0,,0,,,,,
Voter Turnout - Total,,8.49%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,25,,83.33%,,8,,10,,,7,,
Mike Collier,,5,,16.67%,,0,,1,,,4,,
Total Votes Cast,,30,,100.00%,,8,,11,,,11,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,2,,,,1,,0,,,1,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,24,,80.00%,,6,,9,,,9,,
Joe Jaworski,,6,,20.00%,,2,,2,,,2,,
Total Votes Cast,,30,,100.00%,,8,,11,,,11,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,2,,,,1,,0,,,1,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,18,,60.00%,,4,,7,,,7,,
Janet T. Dudding,,12,,40.00%,,3,,4,,,5,,
Total Votes Cast,,30,,100.00%,,7,,11,,,12,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,2,,,,2,,0,,,0,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,26,,86.67%,,7,,10,,,9,,
Jay Kleberg,,4,,13.33%,,0,,1,,,3,,
Total Votes Cast,,30,,100.00%,,7,,11,,,12,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,2,,,,2,,0,,,0,,
,,,,,,,,,,3,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1002,,,,,,,,,,,,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,13,,43.33%,,2,,4,,,7,,
Peter Sakai,,17,,56.67%,,5,,7,,,5,,
Total Votes Cast,,30,,100.00%,,7,,11,,,12,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,2,,,,2,,0,,,0,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,12,,41.38%,,4,,4,,,4,,
Maria Teresa Garcia,,17,,58.62%,,3,,7,,,7,,
Total Votes Cast,,29,,100.00%,,7,,11,,,11,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,3,,,,2,,0,,,1,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,18,,60.00%,,5,,6,,,7,,
"Christine ""Chris"" Castillo",,12,,40.00%,,2,,5,,,5,,
Total Votes Cast,,30,,100.00%,,7,,11,,,12,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,2,,,,2,,0,,,0,,
,,,,,,,,,,4,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1003,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,"2,191",,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,165,,87,,14,,64,,,,,
Ballots Cast - Democratic Party,,140,,74,,14,,52,,,,,
Ballots Cast - Blank,,1,,1,,0,,0,,,,,
Voter Turnout - Total,,7.53%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,78,,61.90%,,41,,7,,,30,,
Mike Collier,,48,,38.10%,,25,,5,,,18,,
Total Votes Cast,,126,,100.00%,,66,,12,,,48,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,14,,,,8,,2,,,4,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,101,,77.69%,,56,,8,,,37,,
Joe Jaworski,,29,,22.31%,,11,,5,,,13,,
Total Votes Cast,,130,,100.00%,,67,,13,,,50,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,10,,,,7,,1,,,2,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,59,,48.36%,,31,,4,,,24,,
Janet T. Dudding,,63,,51.64%,,32,,8,,,23,,
Total Votes Cast,,122,,100.00%,,63,,12,,,47,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,18,,,,11,,2,,,5,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,84,,66.67%,,42,,9,,,33,,
Jay Kleberg,,42,,33.33%,,24,,3,,,15,,
Total Votes Cast,,126,,100.00%,,66,,12,,,48,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,14,,,,8,,2,,,4,,
,,,,,,,,,,5,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1003,,,,,,,,,,,,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,66,,48.53%,,35,,6,,,25,,
Peter Sakai,,70,,51.47%,,38,,7,,,25,,
Total Votes Cast,,136,,100.00%,,73,,13,,,50,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,4,,,,1,,1,,,2,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,73,,58.87%,,41,,7,,,25,,
Maria Teresa Garcia,,51,,41.13%,,25,,5,,,21,,
Total Votes Cast,,124,,100.00%,,66,,12,,,46,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,16,,,,8,,2,,,6,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,64,,50.39%,,33,,5,,,26,,
"Christine ""Chris"" Castillo",,63,,49.61%,,33,,7,,,23,,
Total Votes Cast,,127,,100.00%,,66,,12,,,49,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,13,,,,8,,2,,,3,,
,,,,,,,,,,6,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1004,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,"1,024",,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,83,,38,,15,,30,,,,,
