00000000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000400000000000000000PRECINCTS COUNTED - TOTAL                               PRECINCTS COUNTED - TOTAL                                      00 
0001001000400057160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040005716          REGISTERED VOTERS - TOTAL                               REGISTERED VOTERS - TOTAL                                      00 
0002001000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040000000          REGISTERED VOTERS - Republican Party                    REGISTERED VOTERS - Republican Party                           00 
0003001000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040000000          REGISTERED VOTERS - Democratic Party                    REGISTERED VOTERS - Democratic Party                           00 
0004001000400057160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040005716          REGISTERED VOTERS - NONPARTISAN                         REGISTERED VOTERS - NONPARTISAN                                00 
000500100040003749000023700021420001370000000000000000000000000000000000000000000000000000000000000000000000000000000004004004           BALLOTS CAST - TOTAL                                    BALLOTS CAST - TOTAL                                           00 
000600100040003407000016800019860001253000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 REP       BALLOTS CAST - Republican Party                         BALLOTS CAST - Republican Party                                00 
000700100040000342000006900001560000117000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 DEM       BALLOTS CAST - Democratic Party                         BALLOTS CAST - Democratic Party                                00 
000800100040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 NON       BALLOTS CAST - NONPARTISAN                              BALLOTS CAST - NONPARTISAN                                     00 
000900100040000002000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000004004004           BALLOTS CAST - BLANK                                    BALLOTS CAST - BLANK                                           00 
001000100040001001000007100005850000345000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 REP       REP Attorney General                                    George P. Bush                                                 01 
001000200040002377000009700013840000896000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 REP       REP Attorney General                                    Ken Paxton                                                     01 
001000300040000001000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000004004004           REP Attorney General                                    OVER VOTES                                                     01 
001000400040000028000000000000160000012000000000000000000000000000000000000000000000000000000000000000000000000000000004004004           REP Attorney General                                    UNDER VOTES                                                    01 
001100100040000943000004600005380000359000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 REP       REP Comm of the General Land Office                     Tim Westley                                                    01 
001100200040002162000009700012880000777000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 REP       REP Comm of the General Land Office                     Dawn Buckingham                                                01 
001100300040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004004004           REP Comm of the General Land Office                     OVER VOTES                                                     01 
001100400040000302000002500001600000117000000000000000000000000000000000000000000000000000000000000000000000000000000004004004           REP Comm of the General Land Office                     UNDER VOTES                                                    01 
001200100040001207000004500006810000481000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 REP       REP Railroad Commissioner                               Sarah Stogner                                                  01 
001200200040002017000010600012200000691000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 REP       REP Railroad Commissioner                               Wayne Christian                                                01 
001200300040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004004004           REP Railroad Commissioner                               OVER VOTES                                                     01 
001200400040000183000001700000850000081000000000000000000000000000000000000000000000000000000000000000000000000000000004004004           REP Railroad Commissioner                               UNDER VOTES                                                    01 
001300100040001517000009500008430000579000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 REP       REP State Representative, District 12                   Kyle Kacal                                                     01 
001300200040001855000007100011240000660000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 REP       REP State Representative, District 12                   Ben Bius                                                       01 
001300300040000001000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000004004004           REP State Representative, District 12                   OVER VOTES                                                     01 
001300400040000034000000200000180000014000000000000000000000000000000000000000000000000000000000000000000000000000000004004004           REP State Representative, District 12                   UNDER VOTES                                                    01 
001400100040000246000004700001190000080000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 DEM       DEM Lieutenant Governor                                 Mike Collier                                                   01 
001400200040000094000002200000370000035000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 DEM       DEM Lieutenant Governor                                 Michelle Beckley                                               01 
001400300040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004004004           DEM Lieutenant Governor                                 OVER VOTES                                                     01 
001400400040000002000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000004004004           DEM Lieutenant Governor                                 UNDER VOTES                                                    01 
001500100040000227000004400001120000071000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 DEM       DEM Attorney General                                    Joe Jaworski                                                   01 
001500200040000110000002500000420000043000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 DEM       DEM Attorney General                                    Rochelle Mercedes Garza                                        01 
001500300040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004004004           DEM Attorney General                                    OVER VOTES                                                     01 
001500400040000005000000000000020000003000000000000000000000000000000000000000000000000000000000000000000000000000000004004004           DEM Attorney General                                    UNDER VOTES                                                    01 
001600100040000078000001600000320000030000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 DEM       DEM Comptroller of Public Accounts                      Angel Luis Vega                                                01 
001600200040000254000005300001210000080000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 DEM       DEM Comptroller of Public Accounts                      Janet T. Dudding                                               01 
001600300040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004004004           DEM Comptroller of Public Accounts                      OVER VOTES                                                     01 
001600400040000010000000000000030000007000000000000000000000000000000000000000000000000000000000000000000000000000000004004004           DEM Comptroller of Public Accounts                      UNDER VOTES                                                    01 
001700100040000098000002300000440000031000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 DEM       DEM Comm of the General Land Office                     Sandragrace Martinez                                           01 
001700200040000236000004600001090000081000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 DEM       DEM Comm of the General Land Office                     Jay Kleberg                                                    01 
001700300040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004004004           DEM Comm of the General Land Office                     OVER VOTES                                                     01 
001700400040000008000000000000030000005000000000000000000000000000000000000000000000000000000000000000000000000000000004004004           DEM Comm of the General Land Office                     UNDER VOTES                                                    01 
