Precinct,Choice,Votes,CastTotal,UnderVotes,OverVotes,InvalidVotes,RejectedCategoryName,RejectedWriteInVotes,UnresolvedCategoryName,UnresolvedWriteInVotes,VotingTypeName,PrecinctBallotsCast_VT1,VotingTypeName3,PrecinctBallotsCast_VT2,VotingTypeName4,PrecinctBallotsCast_VT3,VotingTypeName5,PrecinctBallotsCast_VT4,VotingTypeName6,PrecinctBallotsCast_VT5,TotalBallotsCast,RegisteredVotes,TurnoutPercentage
110,"Michael Rodriguez, REP",25,60,3,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,8,Early Voting Ballots Cast,28,Election Day Voting Ballots Cast,27, Ballots Cast,0, Ballots Cast,0,63,"2,580",2.44%
110,"Dan McQueen, REP",35,60,3,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,8,Early Voting Ballots Cast,28,Election Day Voting Ballots Cast,27, Ballots Cast,0, Ballots Cast,0,63,"2,580",2.44%
112,"Michael Rodriguez, REP",14,23,4,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,2,Early Voting Ballots Cast,7,Election Day Voting Ballots Cast,18, Ballots Cast,0, Ballots Cast,0,27,"2,419",1.12%
112,"Dan McQueen, REP",9,23,4,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,2,Early Voting Ballots Cast,7,Election Day Voting Ballots Cast,18, Ballots Cast,0, Ballots Cast,0,27,"2,419",1.12%
113,"Michael Rodriguez, REP",13,21,2,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,3,Early Voting Ballots Cast,7,Election Day Voting Ballots Cast,13, Ballots Cast,0, Ballots Cast,0,23,"2,742",0.84%
113,"Dan McQueen, REP",8,21,2,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,3,Early Voting Ballots Cast,7,Election Day Voting Ballots Cast,13, Ballots Cast,0, Ballots Cast,0,23,"2,742",0.84%
114,"Michael Rodriguez, REP",14,31,2,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,8,Early Voting Ballots Cast,12,Election Day Voting Ballots Cast,13, Ballots Cast,0, Ballots Cast,0,33,"1,889",1.75%
114,"Dan McQueen, REP",17,31,2,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,8,Early Voting Ballots Cast,12,Election Day Voting Ballots Cast,13, Ballots Cast,0, Ballots Cast,0,33,"1,889",1.75%
115,"Michael Rodriguez, REP",3,17,2,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,1,Early Voting Ballots Cast,10,Election Day Voting Ballots Cast,8, Ballots Cast,0, Ballots Cast,0,19,"2,494",0.76%
115,"Dan McQueen, REP",14,17,2,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,1,Early Voting Ballots Cast,10,Election Day Voting Ballots Cast,8, Ballots Cast,0, Ballots Cast,0,19,"2,494",0.76%
120,"Michael Rodriguez, REP",12,35,0,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,5,Early Voting Ballots Cast,15,Election Day Voting Ballots Cast,15, Ballots Cast,0, Ballots Cast,0,35,"1,743",2.01%
120,"Dan McQueen, REP",23,35,0,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,5,Early Voting Ballots Cast,15,Election Day Voting Ballots Cast,15, Ballots Cast,0, Ballots Cast,0,35,"1,743",2.01%
121,"Michael Rodriguez, REP",1,3,0,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,1,Early Voting Ballots Cast,1,Election Day Voting Ballots Cast,1, Ballots Cast,0, Ballots Cast,0,3,"2,369",0.13%
121,"Dan McQueen, REP",2,3,0,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,1,Early Voting Ballots Cast,1,Election Day Voting Ballots Cast,1, Ballots Cast,0, Ballots Cast,0,3,"2,369",0.13%
122,"Michael Rodriguez, REP",4,6,0,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,2,Early Voting Ballots Cast,0,Election Day Voting Ballots Cast,4, Ballots Cast,0, Ballots Cast,0,6,"1,238",0.48%
122,"Dan McQueen, REP",2,6,0,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,2,Early Voting Ballots Cast,0,Election Day Voting Ballots Cast,4, Ballots Cast,0, Ballots Cast,0,6,"1,238",0.48%
125,"Michael Rodriguez, REP",8,24,2,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,1,Early Voting Ballots Cast,13,Election Day Voting Ballots Cast,12, Ballots Cast,0, Ballots Cast,0,26,"1,338",1.94%
125,"Dan McQueen, REP",16,24,2,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,1,Early Voting Ballots Cast,13,Election Day Voting Ballots Cast,12, Ballots Cast,0, Ballots Cast,0,26,"1,338",1.94%
128,"Michael Rodriguez, REP",3,17,1,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,0,Early Voting Ballots Cast,8,Election Day Voting Ballots Cast,10, Ballots Cast,0, Ballots Cast,0,18,630,2.86%
128,"Dan McQueen, REP",14,17,1,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,0,Early Voting Ballots Cast,8,Election Day Voting Ballots Cast,10, Ballots Cast,0, Ballots Cast,0,18,630,2.86%
132,"Michael Rodriguez, REP",5,16,0,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,4,Early Voting Ballots Cast,4,Election Day Voting Ballots Cast,8, Ballots Cast,0, Ballots Cast,0,16,728,2.20%
