political_subdivision,election_date,election_name,total prov ballots,total prov ballots counted,precinct_number,reg_voters,race_name,candidate_name,party code,early_votes,election_voters
San Patricio County Democratic Party,5/24/2022,Primary Runoff,8,4,101,491,LIEUTENANT GOVERNOR,MICHELLE BECKLEY,,2,7
San Patricio County Democratic Party,5/24/2022,Primary Runoff,,,101,491,LIEUTENANT GOVERNOR,MIKE COLLIER,,3,0
San Patricio County Democratic Party,5/24/2022,Primary Runoff,,,101,491,ATTORNEY GENERAL,ROCHELLE MERCEDES GARZA,,4,6
San Patricio County Democratic Party,5/24/2022,Primary Runoff,,,101,491,ATTORNEY GENERAL,JOE JAWORSKI,,1,1
San Patricio County Democratic Party,5/24/2022,Primary Runoff,,,101,491,COMPTROLLER OF PUBLIC ACCOUNTS,ANGEL LUIS VEGA,,5,6
San Patricio County Democratic Party,5/24/2022,Primary Runoff,,,101,491,COMPTROLLER OF PUBLIC ACCOUNTS,JANET T. DUDDING,,0,1
San Patricio County Democratic Party,5/24/2022,Primary Runoff,,,101,491,COMMISSIONER OF THE GENERAL LAND OFFICE,SANDRAGRACE MARTINEZ,,5,5
San Patricio County Democratic Party,5/24/2022,Primary Runoff,,,101,491,COMMISSIONER OF THE GENERAL LAND OFFICE,JAY KLEBERG,,0,2
San Patricio County Democratic Party,5/24/2022,Primary Runoff,,,101,491,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 2",PETE GARCIA,,0,3
San Patricio County Democratic Party,5/24/2022,Primary Runoff,,,101,491,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 2",VICTOR PEREZ,,5,4
San Patricio County Democratic Party,5/24/2022,Primary Runoff,,,101,491,"STATE SENATOR, DISTRICT 27",MORGAN LAMANTIA,,1,6
San Patricio County Democratic Party,5/24/2022,Primary Runoff,,,101,491,"STATE SENATOR, DISTRICT 27",SARA STAPLETON-BARRERA,,4,1
San Patricio County Democratic Party,5/24/2022,Primary Runoff,,,102,2581,LIEUTENANT GOVERNOR,MICHELLE BECKLEY,,20,15
San Patricio County Democratic Party,5/24/2022,Primary Runoff,,,102,2581,LIEUTENANT GOVERNOR,MIKE COLLIER,,13,13
San Patricio County Democratic Party,5/24/2022,Primary Runoff,,,102,2581,ATTORNEY GENERAL,ROCHELLE MERCEDES GARZA,,24,24
