00000000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000600000000000000000PRECINCTS COUNTED - TOTAL                               PRECINCTS COUNTED - TOTAL                                      00 
0001001000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000060000000          REGISTERED VOTERS - TOTAL                               REGISTERED VOTERS - TOTAL                                      00 
0002001000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000060000000          REGISTERED VOTERS - Republican Party                    REGISTERED VOTERS - Republican Party                           00 
0003001000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000060000000          REGISTERED VOTERS - Democratic Party                    REGISTERED VOTERS - Democratic Party                           00 
0004001000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000060000000          REGISTERED VOTERS - NONPARTISAN                         REGISTERED VOTERS - NONPARTISAN                                00 
000500100060004889000049700015710002821000000000000000000000000000000000000000000000000000000000000000000000000000000006006006           BALLOTS CAST - TOTAL                                    BALLOTS CAST - TOTAL                                           00 
000600100060004123000025100013540002518000000000000000000000000000000000000000000000000000000000000000000000000000000006006006 REP       BALLOTS CAST - Republican Party                         BALLOTS CAST - Republican Party                                00 
000700100060000766000024600002170000303000000000000000000000000000000000000000000000000000000000000000000000000000000006006006 DEM       BALLOTS CAST - Democratic Party                         BALLOTS CAST - Democratic Party                                00 
000800100060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006006006 NON       BALLOTS CAST - NONPARTISAN                              BALLOTS CAST - NONPARTISAN                                     00 
000900100060000001000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006006006           BALLOTS CAST - BLANK                                    BALLOTS CAST - BLANK                                           00 
001000100060001155000009600003540000705000000000000000000000000000000000000000000000000000000000000000000000000000000006006006 REP       REP Attorney General                                    George P. Bush                                                 01 
001000200060002857000015300009580001746000000000000000000000000000000000000000000000000000000000000000000000000000000006006006 REP       REP Attorney General                                    Ken Paxton                                                     01 
001000300060000001000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006006006           REP Attorney General                                    OVER VOTES                                                     01 
001000400060000110000000100000420000067000000000000000000000000000000000000000000000000000000000000000000000000000000006006006           REP Attorney General                                    UNDER VOTES                                                    01 
001100100060002457000015000008180001489000000000000000000000000000000000000000000000000000000000000000000000000000000006006006 REP       REP Comm General Land Office                            Dawn Buckingham                                                01 
001100200060001249000007800003820000789000000000000000000000000000000000000000000000000000000000000000000000000000000006006006 REP       REP Comm General Land Office                            Tim Westley                                                    01 
001100300060000001000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006006006           REP Comm General Land Office                            OVER VOTES                                                     01 
001100400060000416000002200001540000240000000000000000000000000000000000000000000000000000000000000000000000000000000006006006           REP Comm General Land Office                            UNDER VOTES                                                    01 
001200100060001953000015100006370001165000000000000000000000000000000000000000000000000000000000000000000000000000000006006006 REP       REP Railroad Commissioner                               Wayne Christian                                                01 
001200200060001847000008000006010001166000000000000000000000000000000000000000000000000000000000000000000000000000000006006006 REP       REP Railroad Commissioner                               Sarah Stogner                                                  01 
001200300060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006006006           REP Railroad Commissioner                               OVER VOTES                                                     01 
001200400060000323000002000001160000187000000000000000000000000000000000000000000000000000000000000000000000000000000006006006           REP Railroad Commissioner                               UNDER VOTES                                                    01 
001300100060002259000015400007700001335000000000000000000000000000000000000000000000000000000000000000000000000000000006006006 REP       REP Dist Judge, 81st Judicial Dist                      Jennifer Ebrom Dillingham                                      01 
001300200060001768000008700005560001125000000000000000000000000000000000000000000000000000000000000000000000000000000006006006 REP       REP Dist Judge, 81st Judicial Dist                      Trent Rowell                                                   01 
001300300060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006006006           REP Dist Judge, 81st Judicial Dist                      OVER VOTES                                                     01 
001300400060000096000001000000280000058000000000000000000000000000000000000000000000000000000000000000000000000000000006006006           REP Dist Judge, 81st Judicial Dist                      UNDER VOTES                                                    01 
001400100020000840000003700003930000410000000000000000000000000000000000000000000000000000000000000000000000000000000002002002 REPCOM002 REP County Commissioner Pct 2                           Russell A. King                       Precinct No. 2           01 
001400200020000788000004000003000000448000000000000000000000000000000000000000000000000000000000000000000000000000000002002002 REPCOM002 REP County Commissioner Pct 2                           Mark A. Moczygemba                    Precinct No. 2           01 
001400300020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002002002    COM002 REP County Commissioner Pct 2                           OVER VOTES                            Precinct No. 2           01 
001400400020000022000000200000110000009000000000000000000000000000000000000000000000000000000000000000000000000000000002002002    COM002 REP County Commissioner Pct 2                           UNDER VOTES                           Precinct No. 2           01 
001500100020000898000003800003770000483000000000000000000000000000000000000000000000000000000000000000000000000000000002002002 REPJOP002 REP JOP Pct 2                                           Kenneth (Buck) Griffin                Precinct No. 2           01 
001500200020000676000003300002920000351000000000000000000000000000000000000000000000000000000000000000000000000000000002002002 REPJOP002 REP JOP Pct 2                                           Thomas Welfel                         Precinct No. 2           01 
001500300020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002002002    JOP002 REP JOP Pct 2                                           OVER VOTES                            Precinct No. 2           01 
001500400020000076000000800000350000033000000000000000000000000000000000000000000000000000000000000000000000000000000002002002    JOP002 REP JOP Pct 2                                           UNDER VOTES                           Precinct No. 2           01 
001600100060000374000015600001020000116000000000000000000000000000000000000000000000000000000000000000000000000000000006006006 DEM       DEM US Rep, District 15                                 Ruben Ramirez                                                  01 
001600200060000385000008900001130000183000000000000000000000000000000000000000000000000000000000000000000000000000000006006006 DEM       DEM US Rep, District 15                                 Michelle Vallejo                                               01 
001600300060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006006006           DEM US Rep, District 15                                 OVER VOTES                                                     01 
001600400060000007000000100000020000004000000000000000000000000000000000000000000000000000000000000000000000000000000006006006           DEM US Rep, District 15                                 UNDER VOTES                                                    01 
001700100060000319000012000000830000116000000000000000000000000000000000000000000000000000000000000000000000000000000006006006 DEM       DEM Lieutenant Governor                                 Mike Collier                                                   01 
001700200060000431000012000001300000181000000000000000000000000000000000000000000000000000000000000000000000000000000006006006 DEM       DEM Lieutenant Governor                                 Michelle Beckley                                               01 
001700300060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006006006           DEM Lieutenant Governor                                 OVER VOTES                                                     01 
001700400060000016000000600000040000006000000000000000000000000000000000000000000000000000000000000000000000000000000006006006           DEM Lieutenant Governor                                 UNDER VOTES                                                    01 
001800100060000562000016400001630000235000000000000000000000000000000000000000000000000000000000000000000000000000000006006006 DEM       DEM Attorney General                                    Rochelle Mercedes Garza                                        01 
001800200060000189000007600000490000064000000000000000000000000000000000000000000000000000000000000000000000000000000006006006 DEM       DEM Attorney General                                    Joe Jaworski                                                   01 
001800300060000001000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000006006006           DEM Attorney General                                    OVER VOTES                                                     01 
001800400060000014000000600000040000004000000000000000000000000000000000000000000000000000000000000000000000000000000006006006           DEM Attorney General                                    UNDER VOTES                                                    01 
