000000000300000000003000000000000000000PRECINCTS COUNTED - TOTAL                               PRECINCTS COUNTED - TOTAL                                      00 
00010010030005762000300057620          REGISTERED VOTERS - TOTAL                               REGISTERED VOTERS - TOTAL                                      00 
00020010030000000000300000000          REGISTERED VOTERS - Republican Party                    REGISTERED VOTERS - Republican Party                           00 
00030010030000000000300000000          REGISTERED VOTERS - Democratic Party                    REGISTERED VOTERS - Democratic Party                           00 
00040010030005762000300057620          REGISTERED VOTERS - NONPARTISAN                         REGISTERED VOTERS - NONPARTISAN                                00 
0005001003000040500030000000           BALLOTS CAST - TOTAL                                    BALLOTS CAST - TOTAL                                           00 
0006001003000034730030000000 REP       BALLOTS CAST - Republican Party                         BALLOTS CAST - Republican Party                                00 
0007001003000005770030000000 DEM       BALLOTS CAST - Democratic Party                         BALLOTS CAST - Democratic Party                                00 
0008001003000000000030000000 NON       BALLOTS CAST - NONPARTISAN                              BALLOTS CAST - NONPARTISAN                                     00 
0009001003000000010030000000           BALLOTS CAST - BLANK                                    BALLOTS CAST - BLANK                                           00 
0010001003000002410030000000 DEM       DEM Lieutenant Governor                                 Michelle Beckley                                               01 
0010002003000003310030000000 DEM       DEM Lieutenant Governor                                 Mike Collier                                                   01 
0011001003000002980030000000 DEM       DEM Attorney General                                    Rochelle Mercedes Garza                                        01 
0011002003000002740030000000 DEM       DEM Attorney General                                    Joe Jaworski                                                   01 
0012001003000001980030000000 DEM       DEM Comptroller of Public Accounts                      Angel Luis Vega                                                01 
0012002003000003660030000000 DEM       DEM Comptroller of Public Accounts                      Janet T. Dudding                                               01 
0013001003000002560030000000 DEM       DEM Comm General Land Office                            Sandragrace Martinez                                           01 
0013002003000003090030000000 DEM       DEM Comm General Land Office                            Jay Kleberg                                                    01 
