00000000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000400000000000000000PRECINCTS COUNTED - TOTAL                               PRECINCTS COUNTED - TOTAL                                      00 
0001001000400103820000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040010382          REGISTERED VOTERS - TOTAL                               REGISTERED VOTERS - TOTAL                                      00 
000200100040003841000006400021810001596000000000000000000000000000000000000000000000000000000000000000000000000000000004004004           BALLOTS CAST - TOTAL                                    BALLOTS CAST - TOTAL                                           00 
000300100040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004004004           BALLOTS CAST - BLANK                                    BALLOTS CAST - BLANK                                           00 
000400100040003276000005300018970001326000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 REP       US Representative, Dist 19                              REP Jodey C. Arrington                                         01 
000400200040000416000000800002070000201000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 IND       US Representative, Dist 19                              IND Nathan Lewis                                               01 
000500100040003301000005000019160001335000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 REP       Governor                                                REP Greg Abbott                                                01 
000500200040000479000001100002420000226000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 DEM       Governor                                                DEM Beto O'Rourke                                              01 
000500300040000029000000100000080000020000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 LIB       Governor                                                LIB Mark Tippetts                                              01 
000500400040000016000000000000070000009000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 GRN       Governor                                                GRN Delilah Barrios                                            01 
000600100040003197000005000018550001292000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 REP       Lieutenant Governor                                     REP Dan Patrick                                                01 
000600200040000482000001200002510000219000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 DEM       Lieutenant Governor                                     DEM Mike Collier                                               01 
000600300040000097000000200000470000048000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 LIB       Lieutenant Governor                                     LIB Shanna Steele                                              01 
000700100040003217000004900018680001300000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 REP       Attorney General                                        REP Ken Paxton                                                 01 
000700200040000496000001100002510000234000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 DEM       Attorney General                                        DEM Rochelle Mercedes Garza                                    01 
000700300040000070000000200000360000032000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 LIB       Attorney General                                        LIB Mark Ash                                                   01 
000800100040003232000005300018830001296000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 REP       Comptroller of Public Accounts                          REP Glenn Hegar                                                01 
000800200040000419000001000002150000194000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 DEM       Comptroller of Public Accounts                          DEM Janet T. Dudding                                           01 
000800300040000099000000100000340000064000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 LIB       Comptroller of Public Accounts                          LIB V. Alonzo Echevarria-Garza                                 01 
000900100040003240000005300018740001313000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 REP       Comm. General Land Office                               REP Dawn Buckingham                                            01 
000900200040000456000001100002410000204000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 DEM       Comm. General Land Office                               DEM Jay Kleberg                                                01 
000900300040000039000000000000100000029000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 GRN       Comm. General Land Office                               GRN Alfred Molison, Jr.                                        01 
001000100040003261000005300018810001327000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 REP       Commissioner of Agriculture                             REP Sid Miller                                                 01 
001000200040000486000001000002500000226000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 DEM       Commissioner of Agriculture                             DEM Susan Hays                                                 01 
001100100040003205000005100018570001297000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 REP       Railroad Commissioner                                   REP Wayne Christian                                            01 
001100200040000411000001200002140000185000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 DEM       Railroad Commissioner                                   DEM Luke Warford                                               01 
001100300040000112000000100000460000065000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 LIB       Railroad Commissioner                                   LIB Jaime Andres Diez                                          01 
001100400040000029000000000000150000014000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 GRN       Railroad Commissioner                                   GRN Hunter Wayne Crow                                          01 
001200100040003220000005000018720001298000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 REP       Justice, Supreme Ct. Pl. 3                              REP Debra Lehrmann                                             01 
001200200040000451000001100002320000208000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 DEM       Justice, Supreme Ct. Pl. 3                              DEM Erin A. Nowell                                             01 
001200300040000072000000000000240000048000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 LIB       Justice, Supreme Ct. Pl. 3                              LIB Thomas Edward Oxford                                       01 
001300100040003255000005000018780001327000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 REP       Justice, Supreme Ct. Pl. 5                              REP Rebeca Huddle                                              01 
001300200040000479000001100002450000223000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 DEM       Justice, Supreme Ct. Pl. 5                              DEM Amanda Reichek                                             01 
001400100040003237000005200018720001313000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 REP       Justice, Supreme Ct. Pl. 9                              REP Evan Young                                                 01 
001400200040000509000001100002550000243000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 DEM       Justice, Supreme Ct. Pl. 9                              DEM Julia Maldonado                                            01 
001500100040003266000005300018860001327000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 REP       Judge, Ct of Crim. Appeals, Pl 5                        REP Scott Walker                                               01 
001500200040000475000001000002430000222000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 DEM       Judge, Ct of Crim. Appeals, Pl 5                        DEM Dana Huffman                                               01 
001600100040003259000005200018790001328000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 REP       Judge, Ct of Crim. Appeals, Pl 6                        REP Jesse F. McClure, III                                      01 
001600200040000471000001100002380000222000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 DEM       Judge, Ct of Crim. Appeals, Pl 6                        DEM Robert Johnson                                             01 
001700100040003233000004900018740001310000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 REP       Justice, 8th Court of Appeals District, Place 2 - UnexpiREP Jeff Alley                                                 01 
001700200040000504000001200002510000241000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 DEM       Justice, 8th Court of Appeals District, Place 2 - UnexpiDEM Lisa Soto                                                  01 
001800100020001377000001300007720000592000000000000000000000000000000000000000000000000000000000000000000000000000000002002002 REPJOP003 Justice of the Peace, Pct. 1 Precinct No. 1             REP Mary Jane Baeza                   Precinct No. 1           01 
