00000000022000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002200000000000000000PRECINCTS COUNTED - TOTAL                               PRECINCTS COUNTED - TOTAL                                      00 
0001001002200293340000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000220029334          REGISTERED VOTERS - TOTAL                               REGISTERED VOTERS - TOTAL                                      00 
000200100220014512000038100083970005734000000000000000000000000000000000000000000000000000000000000000000000000000000022022022           BALLOTS CAST - TOTAL                                    BALLOTS CAST - TOTAL                                           00 
000300100220000004000000000000010000003000000000000000000000000000000000000000000000000000000000000000000000000000000022022022           BALLOTS CAST - BLANK                                    BALLOTS CAST - BLANK                                           00 
000400100220011979000017500069110004893000000000000000000000000000000000000000000000000000000000000000000000000000000022022022 REP       U.S. Representative, District 6                         REP Jake Ellzey                                                01 
000500100220011762000017400067660004822000000000000000000000000000000000000000000000000000000000000000000000000000000022022022 REP       Governor                                                REP Greg Abbott                                                01 
000500200220002545000020200015150000828000000000000000000000000000000000000000000000000000000000000000000000000000000022022022 DEM       Governor                                                DEM Beto O'Rourke                                              01 
000500300220000105000000100000590000045000000000000000000000000000000000000000000000000000000000000000000000000000000022022022 LIB       Governor                                                LIB Mark Tippetts                                              01 
000500400220000033000000100000170000015000000000000000000000000000000000000000000000000000000000000000000000000000000022022022 GRN       Governor                                                GRN Delilah Barrios                                            01 
000600100220011501000016300066100004728000000000000000000000000000000000000000000000000000000000000000000000000000000022022022 REP       Lieutenant Governor                                     REP Dan Patrick                                                01 
000600200220002605000020500015560000844000000000000000000000000000000000000000000000000000000000000000000000000000000022022022 DEM       Lieutenant Governor                                     DEM Mike Collier                                               01 
000600300220000242000000600001330000103000000000000000000000000000000000000000000000000000000000000000000000000000000022022022 LIB       Lieutenant Governor                                     LIB Shanna Steele                                              01 
000700100220011509000016600065980004745000000000000000000000000000000000000000000000000000000000000000000000000000000022022022 REP       Attorney General                                        REP Ken Paxton                                                 01 
000700200220002517000020300015210000793000000000000000000000000000000000000000000000000000000000000000000000000000000022022022 DEM       Attorney General                                        DEM Rochelle Mercedes Garza                                    01 
000700300220000295000000500001740000116000000000000000000000000000000000000000000000000000000000000000000000000000000022022022 LIB       Attorney General                                        LIB Mark Ash                                                   01 
000800100220011596000016800066750004753000000000000000000000000000000000000000000000000000000000000000000000000000000022022022 REP       Comptroller of Public Accounts                          REP Glenn Hegar                                                01 
000800200220002428000019800014580000772000000000000000000000000000000000000000000000000000000000000000000000000000000022022022 DEM       Comptroller of Public Accounts                          DEM Janet T. Dudding                                           01 
000800300220000207000000400001220000081000000000000000000000000000000000000000000000000000000000000000000000000000000022022022 LIB       Comptroller of Public Accounts                          LIB V. Alonzo Echevarria-Garza                                 01 
000900100220011586000016600066720004748000000000000000000000000000000000000000000000000000000000000000000000000000000022022022 REP       Comm. General Land Office                               REP Dawn Buckingham                                            01 
000900200220002505000019800015060000801000000000000000000000000000000000000000000000000000000000000000000000000000000022022022 DEM       Comm. General Land Office                               DEM Jay Kleberg                                                01 
000900300220000112000000300000620000047000000000000000000000000000000000000000000000000000000000000000000000000000000022022022 GRN       Comm. General Land Office                               GRN Alfred Molison, Jr.                                        01 
001000100220011629000016600066790004784000000000000000000000000000000000000000000000000000000000000000000000000000000022022022 REP       Commissioner of Agriculture                             REP Sid Miller                                                 01 
001000200220002594000020600015500000838000000000000000000000000000000000000000000000000000000000000000000000000000000022022022 DEM       Commissioner of Agriculture                             DEM Susan Hays                                                 01 
001100100220011499000016400066100004725000000000000000000000000000000000000000000000000000000000000000000000000000000022022022 REP       Railroad Commissioner                                   REP Wayne Christian                                            01 
001100200220002375000020200014350000738000000000000000000000000000000000000000000000000000000000000000000000000000000022022022 DEM       Railroad Commissioner                                   DEM Luke Warford                                               01 
001100300220000246000000200001410000103000000000000000000000000000000000000000000000000000000000000000000000000000000022022022 LIB       Railroad Commissioner                                   LIB Jaime Andres Diez                                          01 
001100400220000096000000200000460000048000000000000000000000000000000000000000000000000000000000000000000000000000000022022022 GRN       Railroad Commissioner                                   GRN Hunter Wayne Crow                                          01 
001200100220011586000016600066600004760000000000000000000000000000000000000000000000000000000000000000000000000000000022022022 REP       Justice, Supreme Ct. Pl. 3                              REP Debra Lehrmann                                             01 
001200200220002436000020100014640000771000000000000000000000000000000000000000000000000000000000000000000000000000000022022022 DEM       Justice, Supreme Ct. Pl. 3                              DEM Erin A. Nowell                                             01 
001200300220000208000000200001180000088000000000000000000000000000000000000000000000000000000000000000000000000000000022022022 LIB       Justice, Supreme Ct. Pl. 3                              LIB Thomas Edward Oxford                                       01 
001300100220011684000016500067160004803000000000000000000000000000000000000000000000000000000000000000000000000000000022022022 REP       Justice, Supreme Ct. Pl. 5                              REP Rebeca Huddle                                              01 
001300200220002512000020400015010000807000000000000000000000000000000000000000000000000000000000000000000000000000000022022022 DEM       Justice, Supreme Ct. Pl. 5                              DEM Amanda Reichek                                             01 
001400100220011625000016600066780004781000000000000000000000000000000000000000000000000000000000000000000000000000000022022022 REP       Justice, Supreme Ct. Pl. 9                              REP Evan Young                                                 01 
001400200220002535000019800015130000824000000000000000000000000000000000000000000000000000000000000000000000000000000022022022 DEM       Justice, Supreme Ct. Pl. 9                              DEM Julia Maldonado                                            01 
001500100220011615000016700066770004771000000000000000000000000000000000000000000000000000000000000000000000000000000022022022 REP       Judge, Ct of Crim. Appeals, Pl 5                        REP Scott Walker                                               01 
001500200220002562000020000015260000836000000000000000000000000000000000000000000000000000000000000000000000000000000022022022 DEM       Judge, Ct of Crim. Appeals, Pl 5                        DEM Dana Huffman                                               01 
001600100220011456000016300065960004697000000000000000000000000000000000000000000000000000000000000000000000000000000022022022 REP       Judge, Ct of Crim. Appeals, Pl 6                        REP Jesse F. McClure, III                                      01 
001600200220002690000020500015910000894000000000000000000000000000000000000000000000000000000000000000000000000000000022022022 DEM       Judge, Ct of Crim. Appeals, Pl 6                        DEM Robert Johnson                                             01 
001700100220011662000017100067100004781000000000000000000000000000000000000000000000000000000000000000000000000000000022022022 REP       State Senator, District 3                               REP Robert Nichols                                             01 
001700200220002369000019800014110000760000000000000000000000000000000000000000000000000000000000000000000000000000000022022022 DEM       State Senator, District 3                               DEM Steve Russell                                              01 
001700300220000229000000400001260000099000000000000000000000000000000000000000000000000000000000000000000000000000000022022022 LIB       State Senator, District 3                               LIB Desarae Lindsey                                            01 
001800100220012069000019400069470004928000000000000000000000000000000000000000000000000000000000000000000000000000000022022022 REP       State Representative, District 8                        REP Cody Harris                                                01 
001800200220001586000010200009520000532000000000000000000000000000000000000000000000000000000000000000000000000000000022022022 LIB       State Representative, District 8                        LIB R. Edwin Adams                                             01 
001900100060001254000003100007050000518000000000000000000000000000000000000000000000000000000000000000000000000000000006006006 REPCOM002 County Commissioner. Pct. 2                             REP David Braun                       Precinct 2               01 
