political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,#FormatVersion 1,,,,,,
Eastland County,11/8/2022,2022 November 8th General ,3,3,precinct_number,reg_voters,race_name,canidate_name,party code,early_votes,election_votes
Eastland County,11/8/2022,2022 November 8th General ,3,3,1-Eastland,2929,U.S. Representative District 25,Roger Williams,REP,788,445
Eastland County,11/8/2022,2022 November 8th General ,3,3,1-Eastland,2929,Governor,Greg Abbott,REP,777,434
Eastland County,11/8/2022,2022 November 8th General ,3,3,1-Eastland,2929,Governor,Beto O'Rourke,DEM,97,52
Eastland County,11/8/2022,2022 November 8th General ,3,3,1-Eastland,2929,Governor,Mark Tippetts,LIB,5,4
Eastland County,11/8/2022,2022 November 8th General ,3,3,1-Eastland,2929,Governor,Delilah Barrios,GRN,1,0
Eastland County,11/8/2022,2022 November 8th General ,3,3,1-Eastland,2929,Governor,Jacqueline Abernathy,,0,0
Eastland County,11/8/2022,2022 November 8th General ,3,3,1-Eastland,2929,Governor,Mark V. Goloby,,0,0
Eastland County,11/8/2022,2022 November 8th General ,3,3,1-Eastland,2929,Governor,Rejected write-ins,,0,0
Eastland County,11/8/2022,2022 November 8th General ,3,3,1-Eastland,2929,Governor,Unassigned write-ins,,0,0
Eastland County,11/8/2022,2022 November 8th General ,3,3,1-Eastland,2929,Lieutenant Governor,Dan Patrick,REP,765,425
Eastland County,11/8/2022,2022 November 8th General ,3,3,1-Eastland,2929,Lieutenant Governor,Mike Collier,DEM,102,56
Eastland County,11/8/2022,2022 November 8th General ,3,3,1-Eastland,2929,Lieutenant Governor,Shanna Steele,LIB,12,9
Eastland County,11/8/2022,2022 November 8th General ,3,3,1-Eastland,2929,Attorney General,Ken Paxton,REP,770,430
Eastland County,11/8/2022,2022 November 8th General ,3,3,1-Eastland,2929,Attorney General,Rochelle Mercedes Garza,DEM,102,56
Eastland County,11/8/2022,2022 November 8th General ,3,3,1-Eastland,2929,Attorney General,Mark Ash,LIB,7,4
Eastland County,11/8/2022,2022 November 8th General ,3,3,1-Eastland,2929,Comptroller of Public Accounts,Glenn Hegar,REP,782,432
Eastland County,11/8/2022,2022 November 8th General ,3,3,1-Eastland,2929,Comptroller of Public Accounts,Janet T. Dudding,DEM,88,48
Eastland County,11/8/2022,2022 November 8th General ,3,3,1-Eastland,2929,Comptroller of Public Accounts,V. Alonzo Echevarria-Garza,LIB,11,7
Eastland County,11/8/2022,2022 November 8th General ,3,3,1-Eastland,2929,Commissioner of the General Land Office,Dawn Buckingham,REP,777,435
Eastland County,11/8/2022,2022 November 8th General ,3,3,1-Eastland,2929,Commissioner of the General Land Office,Jay Kleberg,DEM,92,50
Eastland County,11/8/2022,2022 November 8th General ,3,3,1-Eastland,2929,Commissioner of the General Land Office,"Alfred Molison, Jr",GRN,4,3
Eastland County,11/8/2022,2022 November 8th General ,3,3,1-Eastland,2929,Commissioner of the General Land Office,Carrie Evelyn Menger,,2,0
