000000000050000000000000000000000000000PRECINCTS COUNTED - TOTAL                               PRECINCTS COUNTED - TOTAL                                      00 
00010010005000000000000000000          REGISTERED VOTERS - TOTAL                               REGISTERED VOTERS - TOTAL                                      00 
0002001000500000410000005005           BALLOTS CAST - TOTAL                                    BALLOTS CAST - TOTAL                                           00 
0003001000500000040000005005           BALLOTS CAST - BLANK                                    BALLOTS CAST - BLANK                                           00 
0004001000500000060000005005 REP       US Representative, Dist 13                              REP Ronny Jackson                                              01 
0004002000500000100000005005 DEM       US Representative, Dist 13                              DEM Kathleen Brown                                             01 
0005001000500000060000005005 REP       Governor                                                REP Greg Abbott                                                01 
0005002000500000100000005005 DEM       Governor                                                DEM Beto O'Rourke                                              01 
0005003000500000060000005005 LIB       Governor                                                LIB Mark Tippetts                                              01 
0005004000500000100000005005 GRN       Governor                                                GRN Delilah Barrios                                            01 
0006001000500000060000005005 REP       Lieutenant Governor                                     REP Dan Patrick                                                01 
0006002000500000100000005005 DEM       Lieutenant Governor                                     DEM Mike Collier                                               01 
0006003000500000060000005005 LIB       Lieutenant Governor                                     LIB Shanna Steele                                              01 
0007001000500000060000005005 REP       Attorney General                                        REP Ken Paxton                                                 01 
0007002000500000100000005005 DEM       Attorney General                                        DEM Rochelle Mercedes Garza                                    01 
0007003000500000060000005005 LIB       Attorney General                                        LIB Mark Ash                                                   01 
0008001000500000060000005005 REP       Comptroller of Public Accounts                          REP Glenn Hegar                                                01 
0008002000500000100000005005 DEM       Comptroller of Public Accounts                          DEM Janet T. Dudding                                           01 
0008003000500000060000005005 LIB       Comptroller of Public Accounts                          LIB V. Alonzo Echevarria-Garza                                 01 
0009001000500000060000005005 REP       Comm. General Land Office                               REP Dawn Buckingham                                            01 
0009002000500000100000005005 DEM       Comm. General Land Office                               DEM Jay Kleberg                                                01 
0009003000500000060000005005 GRN       Comm. General Land Office                               GRN Alfred Molison, Jr.                                        01 
0010001000500000060000005005 REP       Commissioner of Agriculture                             REP Sid Miller                                                 01 
0010002000500000100000005005 DEM       Commissioner of Agriculture                             DEM Susan Hays                                                 01 
0011001000500000060000005005 REP       Railroad Commissioner                                   REP Wayne Christian                                            01 
0011002000500000100000005005 DEM       Railroad Commissioner                                   DEM Luke Warford                                               01 
0011003000500000060000005005 LIB       Railroad Commissioner                                   LIB Jaime Andres Diez                                          01 
0011004000500000100000005005 GRN       Railroad Commissioner                                   GRN Hunter Wayne Crow                                          01 
0012001000500000060000005005 REP       Justice, Supreme Ct. Pl. 3                              REP Debra Lehrmann                                             01 
0012002000500000100000005005 DEM       Justice, Supreme Ct. Pl. 3                              DEM Erin A. Nowell                                             01 
0012003000500000060000005005 LIB       Justice, Supreme Ct. Pl. 3                              LIB Thomas Edward Oxford                                       01 
0013001000500000060000005005 REP       Justice, Supreme Ct. Pl. 5                              REP Rebeca Huddle                                              01 
0013002000500000100000005005 DEM       Justice, Supreme Ct. Pl. 5                              DEM Amanda Reichek                                             01 
0014001000500000060000005005 REP       Justice, Supreme Ct. Pl. 9                              REP Evan Young                                                 01 
0014002000500000100000005005 DEM       Justice, Supreme Ct. Pl. 9                              DEM Julia Maldonado                                            01 
0015001000500000060000005005 REP       Judge, Ct of Crim. Appeals, Pl 5                        REP Scott Walker                                               01 
0015002000500000100000005005 DEM       Judge, Ct of Crim. Appeals, Pl 5                        DEM Dana Huffman                                               01 
0016001000500000060000005005 REP       Judge, Ct of Crim. Appeals, Pl 6                        REP Jesse F. McClure, III                                      01 
0016002000500000100000005005 DEM       Judge, Ct of Crim. Appeals, Pl 6                        DEM Robert Johnson                                             01 
