COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,"US Representative, Dist 19","US Representative, Dist 19","US Representative, Dist 19","US Representative, Dist 19",Governor,Governor,Governor,Governor,Governor,Governor,Governor,Lieutenant Governor,Lieutenant Governor,Lieutenant Governor,Lieutenant Governor,Lieutenant Governor,Attorney General,Attorney General,Attorney General,Attorney General,Attorney General,Comptroller of Public Accounts,Comptroller of Public Accounts,Comptroller of Public Accounts,Comptroller of Public Accounts,Comptroller of Public Accounts,Comm. General Land Office,Comm. General Land Office,Comm. General Land Office,Comm. General Land Office,Comm. General Land Office,Comm. General Land Office,Commissioner of Agriculture,Commissioner of Agriculture,Commissioner of Agriculture,Commissioner of Agriculture,Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,Railroad Commissioner,"Justice, Supreme Ct. Pl. 3","Justice, Supreme Ct. Pl. 3","Justice, Supreme Ct. Pl. 3","Justice, Supreme Ct. Pl. 3","Justice, Supreme Ct. Pl. 3","Justice, Supreme Ct. Pl. 5","Justice, Supreme Ct. Pl. 5","Justice, Supreme Ct. Pl. 5","Justice, Supreme Ct. Pl. 5","Justice, Supreme Ct. Pl. 9","Justice, Supreme Ct. Pl. 9","Justice, Supreme Ct. Pl. 9","Justice, Supreme Ct. Pl. 9","Judge, Ct of Crim. Appeals, Pl 5","Judge, Ct of Crim. Appeals, Pl 5","Judge, Ct of Crim. Appeals, Pl 5","Judge, Ct of Crim. Appeals, Pl 5","Judge, Ct of Crim. Appeals, Pl 6","Judge, Ct of Crim. Appeals, Pl 6","Judge, Ct of Crim. Appeals, Pl 6","Judge, Ct of Crim. Appeals, Pl 6",Plains ISD Voter-Approval Tax Rate Election Plains,Plains ISD Voter-Approval Tax Rate Election Plains,Plains ISD Voter-Approval Tax Rate Election Plains,Plains ISD Voter-Approval Tax Rate Election Plains,Denver City ISD Voter-Approval Tax Rate Election Denver City,Denver City ISD Voter-Approval Tax Rate Election Denver City,Denver City ISD Voter-Approval Tax Rate Election Denver City,Denver City ISD Voter-Approval Tax Rate Election Denver City,
,,,,,,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,
,,,VOTERS,BALLOTS CAST,BALLOTS CAST,REP Jodey C. Arrington,IND Nathan Lewis,OVER VOTES,UNDER VOTES,REP Greg Abbott,DEM Beto O'Rourke,LIB Mark Tippetts,GRN Delilah Barrios,Write-in,OVER VOTES,UNDER VOTES,REP Dan Patrick,DEM Mike Collier,LIB Shanna Steele,OVER VOTES,UNDER VOTES,REP Ken Paxton,DEM Rochelle Mercedes Garza,LIB Mark Ash,OVER VOTES,UNDER VOTES,REP Glenn Hegar,DEM Janet T. Dudding,LIB V. Alonzo Echevarria-Garza,OVER VOTES,UNDER VOTES,REP Dawn Buckingham,DEM Jay Kleberg,"GRN Alfred Molison, Jr.",Write-in,OVER VOTES,UNDER VOTES,REP Sid Miller,DEM Susan Hays,OVER VOTES,UNDER VOTES,REP Wayne Christian,DEM Luke Warford,LIB Jaime Andres Diez,GRN Hunter Wayne Crow,OVER VOTES,UNDER VOTES,REP Debra Lehrmann,DEM Erin A. Nowell,LIB Thomas Edward Oxford,OVER VOTES,UNDER VOTES,REP Rebeca Huddle,DEM Amanda Reichek,OVER VOTES,UNDER VOTES,REP Evan Young,DEM Julia Maldonado,OVER VOTES,UNDER VOTES,REP Scott Walker,DEM Dana Huffman,OVER VOTES,UNDER VOTES,"REP Jesse F. McClure, III",DEM Robert Johnson,OVER VOTES,UNDER VOTES,For,Against,OVER VOTES,UNDER VOTES,For,Against,OVER VOTES,UNDER VOTES,
YOAKU,0001,101,1146,9,0,8,1,0,0,8,1,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,8,0,1,0,0,9,0,0,0,0,0,8,1,0,0,9,0,0,0,0,0,8,0,1,0,0,9,0,0,0,8,1,0,0,9,0,0,0,8,1,0,0,0,0,0,0,3,6,0,0,
YOAKU,0001,101,1146,257,0,237,17,0,3,238,17,2,0,0,0,0,235,17,5,0,0,233,15,6,0,3,233,13,6,0,5,233,18,1,0,0,5,233,16,0,8,226,16,5,0,0,10,230,13,6,0,8,230,17,0,10,229,18,0,10,231,19,0,7,230,19,0,8,1,1,0,0,176,74,0,4,
YOAKU,0001,101,1146,166,0,148,14,0,4,145,17,2,1,0,0,1,144,12,6,0,4,145,14,3,0,4,145,13,5,0,3,148,13,2,0,0,3,148,15,0,3,146,12,5,1,0,2,147,12,5,0,2,150,13,0,3,149,15,0,2,149,13,0,4,150,13,0,3,0,1,0,0,90,72,0,1,
YOAKU,0002,202,1100,7,0,5,2,0,0,5,2,0,0,0,0,0,5,2,0,0,0,5,2,0,0,0,5,2,0,0,0,5,2,0,0,0,0,6,1,0,0,5,2,0,0,0,0,5,2,0,0,0,5,2,0,0,5,2,0,0,5,2,0,0,5,2,0,0,0,0,0,0,2,5,0,0,
YOAKU,0002,202,1100,288,0,266,13,0,9,265,21,0,0,1,0,1,256,25,5,0,2,253,26,6,0,3,257,22,2,0,7,258,21,2,0,0,7,261,23,0,4,257,22,3,1,0,5,254,23,2,0,9,256,24,0,8,253,27,0,8,257,24,0,7,260,21,0,7,8,10,0,0,203,65,0,2,
YOAKU,0002,202,1100,139,0,123,10,0,6,123,15,1,0,0,0,0,120,15,2,0,2,119,17,2,0,1,116,15,4,0,4,118,16,1,0,0,4,118,18,0,3,118,12,5,1,0,3,118,15,3,0,3,121,15,0,3,119,17,0,3,120,16,0,3,118,15,0,6,3,4,0,0,57,73,0,2,
YOAKU,0003,303,540,9,0,9,0,0,0,8,1,0,0,0,0,0,8,1,0,0,0,8,1,0,0,0,8,1,0,0,0,8,1,0,0,0,0,9,0,0,0,8,1,0,0,0,0,8,1,0,0,0,7,1,0,1,8,1,0,0,8,1,0,0,8,1,0,0,1,8,0,0,0,0,0,0,
YOAKU,0003,303,540,100,0,89,7,0,4,89,9,1,1,0,0,0,82,8,5,0,5,84,10,3,0,3,83,6,2,0,9,81,7,2,0,0,10,88,7,0,5,87,6,3,1,0,3,81,8,3,0,8,83,10,0,7,82,11,0,7,84,9,0,7,82,11,0,7,72,20,0,8,0,0,0,0,
